"MON BONBON";"dayisds@hotmail.com";"Cel.: (57) 3182485118";"Calle 1B # 82 - 12 Bogotá, Colombia"
"Jugos Naturales Montoya";"jugosnaturalesmontoya@hotmail.com";"Tel: (57) (1) 4919995";"Cr80 A 76-68 Bogotá, Colombia"
"Lonchería y Cafetería Oskar desde 1968";"loncheriaoscar@gmail.com";"Tel: (57) (4) 2750835";"Av50 A 51-79 Bello Medellín, Colombia"
"Casal Casa Alimenticia";"comercial@casaalimenticia.com";"Tel: (57) (4) 4484678";"Cr76 43-44 Medellín, Colombia"
"RESTAURANTE CHINO CHANG XING";"changxing@hotmail.com";"Tel: (57) (4) 2389488";"Cr81 28-112 Belén La Palma Medellín, Colombia"
"El Bizcochuelo S.A.S.";"mercadeo@cjbakerysa.com";"Tel: (57) (4) 4449105";"Cr51 73-98 Medellín, Colombia"
"Banquetes Bello Recuerdo";"banquetebellorecuerdo@gmaial.com";"Cel.: (57) 3128601784";"Atiende Desde Su Sede Principal Rionegro, Colombia"
"Brillantez Chino";"emocool.520@hotmail.com";"Tel: (57) (4) 2566071";"Cr76 32-52 Medellín, Colombia"
"Restaurante Mundos";"mundosribs@hotmail.com";"Tel: (57) (4) 5371835";"Km 7 Vía Llano Grande Medellín, Colombia"
"HOT WINGS CLASSIC";"wlasimon42@hotmail.com";"Tel: (57) (4) 5204646";"Cr43 A 25-S 19 L 105 Envigado Medellín, Colombia"
"RESTAURANTE DRAGÓN CHINO DE BELLO";"calichenino@hotmail.com";"Tel: (57) (4) 4448712";"Cr52 50 A-12 Bello, Colombia"
"PIZZERIA HAWAII";"hawaiilospelaos@hotmail.com";"Tel: (57) (6) 3260043";"Av. 30 De Agosto 34 38 Multifamiliar Las Garzas L 39 Pereira, Colombia"
"Empanada Envigadeña";"ladeliciaenvigacena@hotmail.com";"Tel: (57) (6) 7486388";"Cr 14 N 12-18 Parque Sucre Armenia, Colombia"
"Mi Sandwich";"jonny.millan@hotmail.com";"Tel: (57) (2) 2734755";"Carrera 28 # 37-18 Palmira, Colombia"
"La Exquisita";"l_exquisita@hotmail.com";"Tel: (57) (6) 3260737";"Cl 28 Cr6 Esq Pereira, Colombia"
"Heladería y Fruteria Tatos";"heladeriayfruteriatatos@hotmail.com";"Cel.: (57) 3143820341";"Autop S Oriental 13-01 L 5 Cali, Colombia"
"ACENDRADO";"acendradotasyideas@gmail.com";"Cel.: (57) 3004955174";"Cr108 75 D-13 Bogotá, Colombia"
"Productos Alimenticios El Menu S.A.S";"productosalimenticioselmenu@gmail.com";"Tel: (57) (4) 5706635";"Cr47 76 D-S 25 Medellín, Colombia"
"HELADERÍA ANTARTIDA";"milucas17@hotmail.com";"Tel: (57) (7) 6828612";"Cr21 B 24 A-18 Villa Campestre 3 Girón, Colombia"
"Rosquillas D´Chaks...";"chaks@une.net.co";"Tel: (57) (4) 3723941";"Cl 50 A 41-C 32 Medellín, Colombia"
"Ristorante Villa Italia";"pizzavillaitalia@gmail.com";"Tel: (57) (6) 3258230";"Cl 19 4-20 Pereira, Colombia"
"Panaderia y Pasteleria Cepita";"cepita06@hotmail.com";"Tel: (57) (7) 6202104";"Cl 50 28-16 Br Palmira Barrancabermeja, Colombia"
"Panadería el Pastelito";"elpastelito@gmail.com";"Tel: (57) (4) 2769616";"Cr43 A 34 S-03 Envigado Medellín, Colombia"
"EL PORTAL";"pradaadriana.311@hotmail.com";"Cel.: (57) 3124578637";"Cl 50 17-41 Brr. Colombia Barrancabermeja, Colombia"
"ANIMACIONES JUNIOR DIVERTIDÍSIMOS";"juniordivertiDisimos@gmail.com";"Cel.: (57) 3006032290";"Cl 29 7-14 P-4 Pereira Pereira, Colombia"
"Casa de Té";"marialuh@yahoo.com";"Tel: (57) (4) 3120138";"Cr45 5-66 Medellín, Colombia"
"D' ARTE REFRIGERIOS SALUDABLES - CAFE";"refrigeriossaludables@gmail.com";"Tel: (57) (1) 3108473";"Cr71 52-88 Casa 101 Bogotá, Colombia"
"FRUTERIA HELADERIA Y CAFETERIA EL PORTAL DE LAS FRUTAS";"wilmer-2003@live.com";"Tel: (57) (1) 7782137";"Cl 65 S 80-52 P 1 Bogotá, Colombia"
"HELADOS GOLOSO";"nuriaspalleja@hotmail.com";"Tel: (57) (6) 3266108";"Cr7 34-37 Pereira, Colombia"
"Productos Alimenticios El Repostero S.A.";"elrepostero@une.net.co";"Tel: (57) (4) 3115543";"Cr36 8 A-09 Medellín, Colombia"
"Panadería el Pastelito";"elpastelito@gmail.com";"Tel: (57) (4) 2769616";"Cr43 A 34 S-03 Envigado Medellín, Colombia"
"PICADITAS";"picaditassincelejo@hotmail.com";"Tel: (57) (5) 4202977";"Av del Libertador 25-112 L-4 Santa Marta, Colombia"
"Panaderia y Pasteleria Cepita";"cepita06@hotmail.com";"Tel: (57) (7) 6202104";"Cl 50 28-16 Br Palmira Barrancabermeja, Colombia"
"ARRABBIATA COMIDA ITALIANA";"arrabbiatalasagna@gmail.com";"Tel: (57) (7) 6571815";"Cr 16# 70-66 Bucaramanga, Colombia"
"REFRIGERIOS GOURMET S.A.S.";"";"Cel.: (57) 3105637388";"Manz 19 Casa 5 Brr/aprovitef Flandes Girardot, Colombia"
"ASADOS LA 80";"mercadeo@asadosla80.com";"Tel: (57) (4) 4034040";"Cr81 30-07 Belen Medellín, Colombia"
"Todo Fresa";"pedror@todofresa.com.co";"Tel: (57) (4) 4444662";"Cl 60 S 43 A-118 Sabaneta Medellín, Colombia"
"Parmessano";"info@parmessano.com.co";"Tel: (57) (4) 4444662";"Cl 60 S 43 A-118 Sabaneta Medellín, Colombia"
"La Herradura Restaurante Típico";"laherradura767@hotmail.com";"Tel: (57) (5) 3458445";"Cr46 82-170 Barranquilla, Colombia"
"RESTAURANTE LA HERRADURA";"laherradura767@hotmail.com";"Tel: (57) (5) 3458445";"Cr46 82-170 Barranquilla, Colombia"
"PIZZERIA EDGARTELLO";"nohemi_devia81@hotmail.com";"Tel: (57) (7) 5846392";"Av 6 7-06 Cúcuta, Colombia"
"RESTAURANTE LA FRAGATA GIRATORIO";"eventos@lafragata.com";"Tel: (57) (1) 2184456";"Cl 100 8 A-55 Trr C Bogotá, Colombia"
"RESTAURANT CHOP SUEY";"restaurantechopsuey@hotmail.com";"Tel: (57) (5) 3450080";"Cr 49 72-86 Barranquilla, Colombia"
"FISH MARKET LA FRAGATA";"eventos@lafragata.com";"Tel: (57) (1) 2108587";"Av Eldorado 69 C-03 L 204 Bogotá, Colombia"
"TOSHIRO ROBATAYAKI";"";"Tel: (57) (1) 2566724";"Cl 90 11-13 L 5 Bogotá, Colombia"
"RESTAURANTE LINDO KING II";"lindoking@live.com";"Tel: (57) (5) 6562802";"Cr17 41-33 Paseo Bolívar Cartagena, Colombia"
"RESTAURANTE CASA MANDARIN";"dd.yuyuan2@hotmail.com.co";"Cel.: (57) 3186402246";"Av. Pasoancho 47 A 16 Cali, Colombia"
"Comida China Pekin";"chjen_chjen@hotmail.com";"Tel: (57) (4) 2342037";"Cr 80 50-150 Medellín, Colombia"
"RESTAURANTE NERUDA";"lizcruz1905@gmail.com";"Tel: (57) (8) 6724881";"Calle 46 # 29 - 33  Caudal Oriental Villavicencio, Colombia"
"NARCOBOLLO 3";"narcobollo3@gmail.com";"Tel: (57) (1) 2136792";"Cr 20 116 - 14 Bogotá, Colombia"
"RESTAURANTE EL PORTAL CHINO BUCARAMANGA";"nidia.tarazona@hotmail.com";"Tel: (57) (7) 6313645";"Cl 112 33 A-52 Bucaramanga, Colombia"
"RESTAURANTE DARIUS";"";"Tel: (57) (1) 2692572";"Av Américas  N 43 A-44 Bogotá, Colombia"
"RESTAURANTE LA OLLA CARTAGENERA";"olladfache@hotmail.com";"Tel: (57) (5) 6653861";"Bgde Cr2 5-100 L-3 Av San Martín Cartagena, Colombia"
"Restaurante Chino Arco Iris";"arcoirisrest@une.net.co";"Tel: (57) (4) 3776235";"Cr49 46-13 Medellín, Colombia"
"RESTAURANTE MARIA";"reservas@mariacartagena.com";"Tel: (57) (5) 6643678";"Cr6 34-64 L-2 Calle del Colegio Cartagena, Colombia"
"Restaurante Juan K";"pv.prada157@gmail.com";"Tel: (57) (7) 5779114";"Av 3 E 1-128 La Ceiba Cúcuta, Colombia"
"RESTAURANTE SHUN KING";"susanatanyu@gmail.com";"Tel: (57) (6) 3342511";"Cr9 20-37 Pereira, Colombia"
"EL CHEF ANTONIO";"antoniocorredor_2010@hotmail.co";"Cel.: (57) 3202319840";"Cl 134 A 55 A-45 Bogotá, Colombia"
"PIZZERIA EDGARTELO";"hmilenarn@gmail.com";"Tel: (57) (7) 5744461";"Av Libertadores Edif Las Cascadas L-11-12 Cúcuta, Colombia"
"El Arriero Colombiano S.A.S.";"info@elarrierocolombia.com.co";"Tel: (57) (6) 3376624";"Av 30 Agosto 63-30 Pereira, Colombia"
"Restaurante Oriental Express";"";"Tel: (57) (4) 2280758";"Cr45 47-32 Medellín, Colombia"
"RESTAURANTE BEIRUT";"";"Tel: (57) (5) 3528971";"Cr43 84-38 Granadilla Barranquilla, Colombia"
"casa deli chino";"domicilios@casadelichino.com";"Tel: (57) (4) 4481415";"Cr50 45-29 Bello, Colombia"
"CHAN TSE WAY YEE";"";"Tel: (57) (7) 5718514";"Cl 5 2-27 Latino Cúcuta, Colombia"
"Restaurante Tong Nam´s";"jassir114@hotmail.com";"Cel.: (57) 3013822518";"Cl 74 No. 66-03 Barranquilla, Colombia"
"CASONA CHINA";"casonachina@hotmail.com";"Cel.: (57) 3174985070";"Cr10 8-02 San Gil, Colombia"
"MARTINA CHURRASQUERIA";"martina.churrasqueria@htmail.com";"Tel: (57) (7) 6114572";"Dg56 15 B-62 Barrancabermeja, Colombia"
"CASA MANDARIN";"daniel.chengcsj@gmail.com";"Tel: (57) (4) 2343972";"Cr80 54-41 Medellín, Colombia"
"Restaurante Casa Verde";"casaverderes@yahoo.es";"Tel: (57) (6) 7462018";"Cr14 11 A-25 Armenia, Colombia"
"Restaurante Mundos";"mundosribs@hotmail.com";"Tel: (57) (4) 5371835";"Km 7 Vía Llano Grande Medellín, Colombia"
"RESTAURANTE DRAGÓN CHINO DE BELLO";"calichenino@hotmail.com";"Tel: (57) (4) 4448712";"Cr52 50 A-12 Bello, Colombia"
"Restaurante Prosperidad";"prosperidadchino@hotmail.com";"Tel: (57) (1) 8323333";"Av 30 10-140 Vía Kenedy Girardot, Colombia"
"RISTORANTE MUSEO MILLE MIGLIA S.A.S";"atencionalcliente1000miglia@gmail.com";"Tel: (57) (7) 5955491";"Av 3 E 15 A 100 Caobos Cúcuta, Colombia"
"RESTAURANTE CARIOCA FAST";"cariocaexpressdevt@gmail.com";"Tel: (57) (2) 2282285";"Cr16 Cl 4 Esq Buga, Colombia"
"RESTAURANTE HUANG-DU";"beruribo41@gmail.com";"Cel.: (57) 3147894110";"Cr23 60-66 Frente A La Universidad Católica Manizales, Colombia"
"Restaurante Lai Li 170";"";"Tel: (57) (1) 6728929";"Cr49 B 170-44 Bogotá, Colombia"
"OLIVA MEDITERRANEA";"tamayoricardo@hotmail.com";"Cel.: (57) 3105796030";"Unicentro L-329-330 Villavicencio, Colombia"
"GALLINERAL RESTAURANTE";"alruedag8@hotmail.com";"Cel.: (57) 3005652653";"Int Parque Gallineral San Gil, Colombia"
"LA MAISON FRANCAISE";"stephcolombie@yahoo.fr";"Tel: (57) (7) 6021293";"Cl 48 17-72 Brr Buenos Aires Barrancabermeja, Colombia"
"RESTAURANTE CZARDAS";"email.clientes@restauranteczardas.com";"Tel: (57) (6) 3368770";"Cl 29 6-13 Pereira, Colombia"
"CHOP SUEY RESTAURANTE";"jhogiar04@gmail.com";"Tel: (57) (2) 3640218";"Cr26 29-14 Tuluá, Colombia"
"CASA CHINA";"inchina@hotmail.com";"Tel: (57) (5) 2811551";"Cr18 24-93 Centro Sincelejo, Colombia"
"CORONA DE ORO RESTAURANTE";"coronadeoro@hotmail.com";"Tel: (57) (7) 5751994";"Av Libertadores Cl 5 A 13 E-50 Colsag Cúcuta, Colombia"
"Restaurante Brillante";"restaurantechinobrillante@hotmail.com";"Cel.: (57) 3123332617";"Av Calle 3-24 19 Sta Isabel Bogotá, Colombia"
"El Payés Comida Española";"xibille@une.net.co";"Tel: (57) (4) 4481217";"Cr43 B 12-21 Medellín, Colombia"
"Restaurante Marco's";"riosol34@hotmail.com";"Tel: (57) (8) 8742000";"Av26 28-03 Las Granjas Neiva, Colombia"
"LA TERRAZA ARABE";"laterrazaarabe@hotmail.com";"Cel.: (57) 3012651125";"Cl 18 20-77 Brr. El Jardín Santa Marta, Colombia"
"COMIDAS RAPIDAS PAISARLEX";"paisarlex@hotmail.com";"Tel: (57) (2) 2249172";"Cr26 38-48 Tuluá, Colombia"
"RESTAURANTE CHOP SUEY";"alejandro_qiu@hotmail.com";"Tel: (57) (2) 2244182";"Cr26 29-14 Tuluá, Colombia"
"IL FORNO";"ilfornoman@hotmail.com";"Tel: (57) (6) 8868515";"Cr23 73-86 Manizales, Colombia"
"RESTAURANTE SEVICHERIA EL COSTEÑO";"";"Tel: (57) (2) 2374518";"Carrera 9 11-63 Buga, Colombia"
"RANCHO PAISA";"ranchopaisa@hotmail.com";"Tel: (57) (5) 6663757";"Cl 63 1-05 Cartagena, Colombia"
"MISTER LEE - QUIERO CLIENTES";"tytusaquen@gmail.com";"Tel: (57) (1) 6772787";"Cr22 168-46 Bogotá, Colombia"
"Restaurante Tortelli";"gerencia@restaurantetortelli.com";"Tel: (57) (2) 3160414";"Av San Joaquín # 15 - 9 L-108 Cali, Colombia"
"ARRABBIATA COMIDA ITALIANA";"arrabbiatalasagna@gmail.com";"Tel: (57) (7) 6571815";"Cr 16# 70-66 Bucaramanga, Colombia"
"Subway";"subwaypc@hotmail.com";"Tel: (57) (7) 7242620";"C.C. El puente local 106 San Gil, Colombia"
"ALBENZU RESTAURANTE";"restaurantealbenzu@yahoo.es";"Tel: (57) (4) 4449921";"Cr81 32-98 L 132 133 Medellín, Colombia"
"Delulus";"moyanomx@yahoo.com";"Tel: (57) (2) 5133051";"Cr56 9-23 Cali, Colombia"
"RESTAURANTE CHINO CHAO GUO";"cabeto70866@hotmail.com";"Tel: (57) (8) 8719101";"Cr 8 B 18 A-20 Neiva, Colombia"
"HUA WEI SAS";"wenyingli@hotmail.com";"Tel: (57) (8) 8714395";"Cl 7 7 29 Neiva, Colombia"
"RANCHO PAISA";"ranchopaisa@hotmail.com";"Tel: (57) (5) 6663757";"Cl 63 1-05 Cartagena, Colombia"
"ASIA EL DRAGON DE ORO RESTAURANTE";"qiupingzhen@hotmail.com";"Tel: (57) (8) 8715568";"Cl 7 Cr14 Esq Neiva, Colombia"
"DOÑA SARA RESTAURANTE";"";"Tel: (57) (7) 5721369";"Dg Santander 6-17 Cúcuta, Colombia"
"RESTAURANTE POMOD'ORO";"restaurantepomodoro@gmail.com";"Tel: (57) (4) 4123404";"Cl 42 71-24 Medellín, Colombia"
"MISTER LEE - QUIERO CLIENTES";"tytusaquen@gmail.com";"Tel: (57) (1) 6772787";"Cr22 168-46 Bogotá, Colombia"
"GENESIS SERVICIOS GASTRONOMICOS";"genesisgastronomico@gmail.com";"Tel: (57) (5) 6754341";"Barrio Andalucia Ave. Madrid #46-37 Cartagena, Colombia"
"COFFEE GARDEN";"andresforero.cardona1210@gmail.com";"Cel.: (57) 3137869892";"Cr14 10 N -05 Armenia, Colombia"
"BRASAS Y LEÑAS";"ajulianagonzalez@hotmail.com";"Tel: (57) (7) 6561436";"Cr4 2 A-12 Piedecuesta, Colombia"
"PERUWOK";"peruwok23@hotmail.com";"Tel: (57) (4) 4484423";"Cra 32 2-S 47 Mall Zona 2 Local 117 Medellín, Colombia"
"ARRABBIATA COMIDA ITALIANA";"arrabbiatalasagna@gmail.com";"Tel: (57) (7) 6571815";"Cr 16# 70-66 Bucaramanga, Colombia"
"RESTAURANTE YOU YI";"chenyuchang2@gmail.com";"Tel: (57) (6) 8841297";"Cr23 40-06 Frente a Casa López Manizales, Colombia"
"Restaurante Tortelli";"gerencia@restaurantetortelli.com";"Tel: (57) (2) 3160414";"Av San Joaquín # 15 - 9 L-108 Cali, Colombia"
"RESTAURANTE PIQUEO";"comunicacionespiqueo@gmail.com";"Tel: (57) (4) 2682933";"Cr35 10 B-50 Medellín, Colombia"
"ARROCES RICKY'S RESTAURANTE";"";"Tel: (57) (5) 8660415";"Cr25 28-69 Av Okala Sincelejo, Colombia"
"LA VIÑA";"circunvalar@pastelerialavina.com";"Tel: (57) (6) 3172100";"Av Circunvalar 9-19 Lc3 Pereira, Colombia"
"MENSAJEROS URBANOS";"andres@mensajerosurbanos.com";"Tel: (57) (1) 3297444";"Cr19 135-30 P 4 Bogotá, Colombia"
"Pizzería & Restaurante Asturias";"andreaflorez@hotelciudadbonit";"Tel: (57) (7) 6457565";"Cr22 35-01 Bucaramanga, Colombia"
"ASADOS LA 80";"mercadeo@asadosla80.com";"Tel: (57) (4) 4034040";"Cr81 30-07 Belen Medellín, Colombia"
"EL RANCHERITO";"";"Tel: (57) (4) 4449576";"Cl 18 35-50 Km2 via las Palmas Medellín, Colombia"
"DROGUERIA PATRIA JY";"";"Tel: (57) (8) 6610553";"Cr30 36-94 Centro Villavicencio, Colombia"
"Vivero Produplantas";"olivadelcarmensarmiento@hotmail.es";"Cel.: (57) 3114954844";"Cr  65 No. 175 - 64 Bogotá, Colombia"
"Fesanar del Caribe";"jessi16000@hotmail.com";"Tel: (57) (5) 6613913";"Atiende Desde Su Sede Principal Barranquilla, Colombia"
"Ejevet";"ejeveterinario@hotmail.com";"Tel: (57) (6) 3161611";"Av Circunvalar 3-27 Pereira, Colombia"
"Bio Quality Salud S.A.S.";"bqs@bioqualitysalud.com";"Tel: (57) (6) 3402372";"Cr10 19-72 Pereira, Colombia"
"Legumbres Heriberto Montes Bedoya S.A.";"gerenciamed@lhm.com.co";"Tel: (57) (4) 4446925";"Cl 84 A 47-50 Itagüí B 10 L 16 17 Medellín, Colombia"
"Fajas MyD Posquirúrgicas";"lasamericas@fajasmyd.com.co";"Tel: (57) (1) 7044633";"Cl 127 71-66 Bogotá, Colombia"
"Plásticos Colombia Ltda.";"plasticoscolombialtda@gmail.com";"Tel: (57) (4) 2323254";"Cl 26 44-45 Medellín, Colombia"
"Medicanes Clinica Veterinaria";"medicanes@hotmail.com";"Tel: (57) (6) 3272767";"Manz 15 Cs 1 Corales Pereira, Colombia"
"TECNOLOGÍA Y DISEÑO";"publicidad@tecnologiaydiseno.com";"Tel: (57) (4) 4442624";"Cl 85 48-01 Central Mayorista de Antioquia Bloque 1 Local 22 Medellín, Colombia"
"A.J. Aluminio";"aj_aluminios@hotmail.es";"Tel: (57) (2) 3268656";"Cr47 14-12 Cali, Colombia"
"Canguros Express";"cangurosexpress@gmail.com";"Cel.: (57) 3112679032";"Cr69 L 66-40 Bogotá, Colombia"
"MENSAJERÍA SUPER ENTREGA";"superentrega001@hotmail.com";"Tel: (57) (7) 6717770";"Cr30 16-09 San Alonso Bucaramanga, Colombia"
"SERVIMANTENIMIENTO";"servimantenimiento.reparaciones@hotmail.com";"Tel: (57) (6) 3462125";"Cra 10 27-68 Pereira, Colombia"
"Diliexpress Logistica S.A.S.";"diliexpressm@hotmail.com";"Tel: (57) (4) 4446591";"Cr77 48 B-02 Medellín, Colombia"
"Domicilios GRATIS, Florería Regalo Flores";"floreriaregaloflores@gmail.com.co";"Tel: (57) (8) 6727758";"Cl 40 30 A-02 Villavicencio, Colombia"
"FENICIA PICADAS ARABES";"gerencia@feniciapicadasarabes.com";"Tel: (57) (1) 2586151";"Cl 130 50-33 Bogotá, Colombia"
"Buñuelos Dias!";"bunuelosdias@hotmail.com";"Tel: (57) (6) 3152323";"Av Circunvalar 4-21 Pereira, Colombia"
"DECORACIONES LOPTORRES";"loptorres@hotmail.com";"Tel: (57) (1) 3374445";"Calle 23 # 12-19 Piso 2 Bogotá, Colombia"
"DISTRIRENAULT";"distrirenault2010@hotmail.com";"Tel: (57) (6) 7461474";"Cr20 12-43 Armenia, Colombia"
"Compucentro";"compucentroper@yahoo.com";"Tel: (57) (6) 3341668";"Cl 16 7-31 Pereira, Colombia"
"ALMACEN TODO RENAULT Y MAS...";"todorenaultpereira@hotmail.com";"Tel: (57) (6) 3344408";"Cr12 24-106 Local 1 Pereira, Colombia"
"Distribuidora De Carnes Aragon S.A.S";"carnesaragonsas@gmail.com";"Tel: (57) (4) 3432627";"Cl 24 75-72 Belén Medellín, Colombia"
"COLMATEMATICAS";"colma06179@hotmail.com";"PBX: (57) (1) 3600524";"Cl 1 A BIS 29 C-43 Bogotá, Colombia"
"Rolineras de Colombia S.A.S.";"ventas14@rolicol.com";"Tel: (57) (7) 6710070";"Cr14 22-41 Bucaramanga, Colombia"
"OFIPRINTING SOLUTIONS S.A.S.";"ofiprintingsolutions@yahoo.com";"Tel: (57) (6) 3333321";"Cl 19 12-69 Nivel 0 L-P-L-1 C.C. Fiducentro Pereira, Colombia"
"POLYMALLAS POLIMEROS Y MALLAS INDUSTRIALES";"importsantandersas@gmail.com";"Tel: (57) (7) 6704224";"Cr13 # 41-28 Bucaramanga, Colombia"
"LAVATODO - ALQUILER DE LAVADORAS";"lavatodo317@gmail.com";"Tel: (57) (6) 3464632";"Manz A Casa 17 5 de Octubre Cuba Pereira, Colombia"
"RANCHO Y LICORES EXTRANJEROS";"alihenaoc@yahoo.com.mx";"PBX: (57) (6) 3261587";"Cr 8 30-33 Pereira, Colombia"
"Drogas Salud Descuentos";"saludescuentos1@hotmail.com";"Tel: (57) (2) 2303772";"Cl 25 # 16-02 Tuluá, Colombia"
"Droguería Las Acacias";"drogacacias@hotmail.com";"Tel: (57) (6) 7342525";"Manz 7 Casa 3 Las Acacias Armenia, Colombia"
"MENSAJERIA RAPIDO Y PRECISO";"mensajeriarapidoypreciso@gmail.com";"Tel: (57) (7) 6478999";"Cr46 55-76 Bucaramanga, Colombia"
"NATURGAS - SERVICIOS TÉCNICOS EN GAS";"naturgaspereira@gmail.com";"Tel: (57) (6) 3122145";"Mz2 Cs14 Brr Naranjito Aguas Claras Cuba Pereira, Colombia"
"POLLO AHUMADO RANCHERO Y PAVO EL DORADITO";"polloranchero.doradito@gmail.com";"Tel: (57) (1) 2478383";"Cl 10 28-52 Bogotá, Colombia"
"ASADOS Y MUCHO MÁS";"asadosymuchomas@gmail.com";"Tel: (57) (5) 4317169";"C.C. Buenavista L-44 Santa Marta, Colombia"
"ASADOS Y MUCHO MÁS";"asadosymuchomas@gmail.com";"Tel: (57) (5) 4317169";"C.C. Buenavista L-44 Santa Marta, Colombia"
"HASHIKO MULTISERVICIOS";"mhescobar100@yahoo.com";"Tel: (57) (1) 8054292";"Cr30 2244 L-13 Bogotá, Colombia"
"Maquinas de Coser Ramón Alfonso Singer";"ramonalfonsosinger@hotmail.com";"Cel.: (57) 3128714754";"Bogotá Bogotá, Colombia"
"Agro Decoración";"ventas@agrodecoracion.com";"Tel: (57) (1) 6873661";"Cr123 B 128-41 Bogotá, Colombia"
"ECO STEAM EXPRESS";"";"Cel.: (57) 3229010771";"Cl 11 AN # 5 – 84 Cúcuta, Colombia"
"Eficaz Domicilios";"eficaz.domicilios@yahoo.es";"Tel: (57) (8) 7623957";"Cl 15 19-08 Esq Duitama, Colombia"
"CORATIENDAS CODABAS";"coratiendasmec@hotmail.com";"Tel: (57) (1) 6749220";"Cr7 180-75 Modulo 4 1 22 Bogotá, Colombia"
"COCTELES PAULINA";"coctelespaulina@gmail.com";"Cel.: (57) 3202493995";"Cl 145 19-69 Ap 401 Bogotá, Colombia"
"FERRETERIA REGADERO";"noerojas2000@gmail.com";"Tel: (57) (7) 6403321";"Cr25 1 N-21 Bucaramanga, Colombia"
"MARIACHI TEXAS MEDELLIN WILMAR SEPULVEDA";"marcelayepea@gmail.com";"Tel: (57) (4) 5057667";"Calle 76 No. 31 - 23 Manrique Oriental Medellín, Colombia"
"COCINA CHINA JIN WAH";"jinwah@hotmail.com";"Tel: (57) (4) 4115733";"Cl 33 76-19 Medellín, Colombia"
"MARIACHI MI BENDITA TIERRA";"leticiaavendano33@gmail.com";"Cel.: (57) 3014069897";"Cr54 74-66 Bogotá, Colombia"
"ALMACÉN SUPERVIDRIOS LA 18";"supervidriosla18@hotmail.com";"Tel: (57) (6) 8730444";"Cl 18 # 16-48 Manizales, Colombia"
"Tubulares y Colchones La Oriental";"tubularesycolchoneslaoriental@hotmail.co";"Cel.: (57) 3146930283";"Cr46 57-37 Medellín, Colombia"
"El Bizcochuelo S.A.S.";"mercadeo@cjbakerysa.com";"Tel: (57) (4) 4449105";"Cr51 73-98 Medellín, Colombia"
"Quindiaceros";"quindiaceros@hotmail.com";"Tel: (57) (6) 7472183";"Cr18 # 29-53 Armenia, Colombia"
"Profesor Jorge Cardona Ing industrial";"jorgecardonacadavid@hotmail.com";"Cel.: (57) 3206212041";"Cl 15 35-47 Cali, Colombia"
"Ac Relojeria Calvo";"relojeriacalvo@yahoo.com";"Tel: (57) (1) 3154250620";"Cr53 C 134-70 Bogotá, Colombia"
"DOMICILIOS Y MENSAJERÍA AL INSTANTE";"alinstanteenlinea@gmail.com";"Tel: (57) (6) 8905381";"Cr 20B  65A - 52 Cerca al Cable Manizales, Colombia"
"ALAMBIQUE 24 HORAS - SIEMPRE PENSANDO EN USTED$";"almbiqueinte@hotmail.es";"Tel: (57) (7) 6914745";"BL 6-5 AP 102 Edif. Bucarica Bucaramanga, Colombia"
