"Ferreteria Hierros H.D.";"ventasibague@hierroshd.com";"Tel: (58) (295) 2482906";"Cl 9 3-73 El Espinal, Venezuela";"A Domicilio Servicio A Domicilio"
"H. GIRAUD M. & CÍA. C.A.";"";"Tel: (58) (212) 3312233";"Cl Real De Montesano, Almacén No. 1, Maiquetía, Estado Vargas, P.O. Box 6391, Caracas 1010 Caracas, Venezuela";"Agencias De Carga Marítima"
"MULTIMAR";"";"Tel: (58) (261) 7935507";"Calle 67, Bella Vista Maracaibo, Venezuela";"Agencias De Carga Marítima"
"CADERCO";"";"Tel: (58) (269) 2453832";"Cl. Falcón Punto Fijo, Venezuela";"Agencias De Carga Marítima"
"LAFFONT Y ASOCIADOS C.A.";"";"Tel: (58) (293) 4312001";"Final de la Av. Bermudez C/c La Marina Edif. Puente de La Sucre, Pb.Ofic. B Cumaná, Venezuela";"Agencias De Carga Marítima"
"FLETEMAR FLETAMENTOS MARÍTIMOS, C.A.";"";"Tel: (58) (242) 3615863";"Av La Paz Terreno Urb La Sorpresa, al lado de C.C. Venetto, Puerto Cabell o Edo Carabobo Puerto Cabello, Venezuela";"Agencias De Carga Marítima"
"A PD CARGO SERVICE";"";"Telefax: (58) (212) 9751796";"Caracas Caracas, Venezuela";"Agencias De Carga Marítima"
"UPS TRANSVALCAR";"";"Tel: (58) (212) 3312023";"Cl. Real, Maiquetía Caracas, Venezuela";"Agencias De Carga Marítima"
"EMBOTELLADORA AGUIA CLARITA C.A.";"";"Tel: (58) (286) 9741797";"UD-110 Av. Guayana Sc. San Rafael, San Felix Ciudad Guayana Puerto Ordaz, Venezuela";"Agua Mineral"
"AGUA LA PATRONA TREMONTI";"";"Tel: (58) (286) 2638168";"Oficina Prlemar Ciudad Guayana Puerto Ordaz, Venezuela";"Agua Mineral"
"AGUA MINERAL BERRITZ, C.A.";"";"Tel: (58) (271) 2311919";"Av. Bolibar, Las Acacias Valera, Venezuela";"Agua Mineral"
"AGUA MINERAL LAS PALMERAS, C.A.";"";"Tel: (58) (276) 3468455";"Ct Vía Los Llanos, La Pedrera San Cristóbal, Venezuela";"Agua Mineral"
"HIDROPOTABLE VARYNA, C.A.";"";"Tel: (58) (273) 5529663";"Ct Nacional Barinas, Venezuela";"Agua Mineral"
"PRISMA";"";"Tel: (58) (241) 8531557";"Carretera Nacional Valencia Tocuyito, San Luis Valencia, Venezuela";"Agua Mineral"
"AGUASANTA";"";"Tel: (58) (241) 6184273";"Tocuyito Valencia, Venezuela";"Agua Mineral"
"AGUA ORIENTE PROINAMOCA";"";"Tel: (58) (291) 6518173";"Frente A la Plaza de Fundemos Av. El Ejercito Maturín, Venezuela";"Agua Mineral"
"OTECNAGUA, C.A.";"";"Tel: (58) (281) 6936718";"Av minerva Las Acacias Lecherías, Venezuela";"Agua Mineral"
"WATER SISTEMS A.Y.G. C.A";"";"Tel: (58) (212) 3472285";"Av. Palo Alto,Castillejo Guatire, Venezuela";"Agua Mineral"
"DISTRIBUIDORA CRISTALINA, C.A.";"";"Tel: (58) (212) 2377159";"Cl Lecuna No. 11, Boleíta Caracas, Venezuela";"Agua Mineral"
"AGUA MINERAL ZENDA";"";"Tel: (58) (212) 3236545";"Planta Los Teques Caracas, Venezuela";"Agua Mineral"
"CRYSTAL DROP";"";"Tel: (58) (241) 2411420";"Av Principal La Corporativa Loc 4 Valencia, Venezuela";"Agua Mineral"
"DISTRIBUIDROA SILVA, S.R.L.";"";"Tel: (58) (248) 5210764";"Al Frente de la C.V.G. No. 44 Puerto Ayacucho, Venezuela";"Agua Mineral"
"CABLE ACERO C.A";"";"Tel: (58) (261) 7355055";"Cl. 61, Los Robles Maracaibo, Venezuela";"Alambre Y Cables"
"SENSORMATIC DE VENEZUELA, C.A.";"";"Tel: (58) (212) 2387633";"4ta. Transv, Los Ctjos De Lourdes, Edif. Gina, 2do Piso Caracas, Venezuela";"Alambre Y Cables"
"ELPLOCA";"";"Tel: (58) (241) 8576339";"Inicio De Av. Lara Cruce Mellao Sector San Blas Valencia Valencia, Venezuela";"Alambre Y Cables"
"CARFLEX, C.A.";"";"Tel: (58) (276) 3564051";"Av. Ppal. Machiri, Terraza N Al Lado Autolavado Diamante Express Zona Ind Paramillo San Cristóbal, Venezuela";"Alambre Y Cables"
"ALAMBRES DEL YARACUY C.A.";"";"Tel: (58) (212) 9599783";"Av. La Estancia, Torre Las Mercedes, Piso 6 Ofic. 601, Chuao - Caracas Caracas, Venezuela";"Alambre Y Cables"
"ARTEIN, C.A.";"";"Telefax: (58) (212) 8627174";"Av. Sucre, La Pastora Caracas, Venezuela";"Alambre Y Cables"
"LA CASA DEL PRECINTO, C.A.";"";"Tel: (58) (212) 2396969";"Cl. Capitolio, Edi.f Alpha, Local. 4, Boleita Sur, Caracas Caracas, Venezuela";"Alambre Y Cables"
"BLOCK HOUSE";"";"Tel: (58) (241) 6196141";"Zona Ind Castillo Valencia, Venezuela";"Alambre Y Cables"
"CABLES MARACAIBO";"";"Tel: (58) (261) 7230516";"Diagonal Al Mercado Sta. Rosalia, Av 17, Santa Rosalia Maracaibo, Venezuela";"Alambre Y Cables"
"CLAVESIL C.A";"";"Tel: (58) (212) 5320854";"María Lionza La Candelaria , Filas De Mariche Filas de Mariche, Venezuela";"Alambre Y Cables"
"REPRESENTACIONES MAREMAR C.A.";"";"Tel: (58) (281) 2763125";"Av. Cumanagoto. No.4 Barcelona, Venezuela";"Alambre Y Cables"
"REPECA";"";"Tel: (58) (282) 4222030";"Av Principal Via Los Pilones Al Lado de Inavi Campo Repeca Galpon No. 1 Anaco, Venezuela";"Alambre Y Cables"
"VICSON S.A";"";"Tel: (58) (241) 8139030";"Av Primera, Zona Industrial Sur, Valencia Valencia, Venezuela";"Alambre Y Cables"
"DERIVADOS DEL ALAMBRE C.A";"";"Tel: (58) (241) 8353452";"Av Lisandro Alvarado Valencia, Venezuela";"Alambre Y Cables"
"SISTEMAS TERMOTEC, C.A.";"";"Tel: (58) (212) 2392720";"Boleíta Norte Caracas, Venezuela";"Alambre Y Cables"
"REFRIOCA, C.A.";"";"Tel: (58) (261) 7551027";"Av. La Limpia Maracaibo, Venezuela";"Alambre Y Cables"
"PROCESADORA SIDERÚRGICA, C.A.";"";"Tel: (58) (241) 8326353";"9na. Transv. Zona Ind Carabobo Valencia, Venezuela";"Alambre Y Cables"
"ALAMBRES TREFILADOS ALATRECA, C.A.MILFORD";"";"Tel: (58) (212) 3440755";"Planta Guatire Guatire, Venezuela";"Alambre Y Cables"
"UNIALAMBRE C.A.";"";"Tel: (58) (212) 3735588";"Carrt Panamericana Km. 14 San Antonio De Los Altos San Antonio De Los Altos, Venezuela";"Alambre Y Cables"
"MAIDE C.A.";"";"Tel: (58) (282) 3958970";"Carrt. Nacional Cagua-La Villa, Galpones Maide, Estado Aragua Aragua de Barcelona, Venezuela";"Alambre Y Cables"
"C.A. ARMCO VENEZOLANA";"";"Tel: (58) (212) 9935315";"Las Mercedes Caracas, Venezuela";"Alcantarillados Y Acueductos"
"ENREJADOS METÁLICOS ACEROGRILL C.A";"";"Tel: (58) (212) 2851297";"Av. Fco. De Miranda, Centro Plaza Torre B Piso 13 Urb. Los Palos Grandes, Caracas Caracas, Venezuela";"Alcantarillados Y Acueductos"
"ARMCO VENEZOLANA C.A.";"";"Tel: (58) (212) 9935315";"Las Mercedes Caracas, Venezuela";"Alcantarillados Y Acueductos"
"AGRUPACIÓN INDUSTRIAL ALIMENTICIA MEDINA C.A";"";"Tel: (58) (212) 9859810";"El Cafetal Caracas, Venezuela";"Alimenticia"
"INAICA INDUSTRIAS ALIMENTICIAS ITALIA C.A";"";"Tel: (58) (251) 4416053";"Barquisimeto Barquisimeto, Venezuela";"Alimenticia"
"CLOVER INTERNACIONAL";"";"Telefax: (58) (261) 7225808";"Av. (El Milagro) Edf. Las Palmeras PB. Locales 1 Y 2, Fte Al Puerto, Edo. Zulia Maracaibo, Venezuela";"Almacenaje Y Protección De Documentos"
"MARGARITA RENTAL©S, C.A.";"";"Tel: (58) (295) 8964600";"Porlamar Porlamar, Venezuela";"Alquiler De Automóviles"
"LAREDO RENTAL CAR, C.A.";"";"Tel: (58) (212) 2614429";"Caracas Caracas, Venezuela";"Alquiler De Automóviles"
"FREE WAYS VUAJES Y TURISMO, C.A.";"";"Tel: (58) (295) 2646902";"Cl.Ortega Porlamar Porlamar, Venezuela";"Alquiler De Automóviles"
"33 ROLLS ROYCES";"";"Tel: (58) (212) 5241959";"Caracas Caracas, Venezuela";"Alquiler De Automóviles"
"CITY CAR RENTALS C.A.";"";"Tel: (58) (295) 4182727";"Porlamar Porlamar, Venezuela";"Alquiler De Automóviles"
"CARONI RENTAL©S C.A.";"";"Tel: (58) (286) 9512598";"Zona Ind.Unare Ii Ciudad Guayana San Félix, Venezuela";"Alquiler De Automóviles"
"SUPLIDORA DE TRANSPORTE RUSTICO,C.A.";"";"Tel: (58) (276) 3566479";"Cr.21 Entre Cl14 Y Pasaje Pirineo Barrio Obrero San Cristóbal, Venezuela";"Alquiler De Automóviles"
"JC EXPRESS 2005, C.A.";"";"Tel: (58) (212) 1262381";"Cl. Las Vertientes, Lomas De ALto Prado Caracas, Venezuela";"Alquiler De Automóviles"
"ALQUIVECA";"";"Tel: (58) (212) 2375636";"Av Rómulo Gallegos, 4ta. Transversal De Horizonte (Frente A Televen), Caracas Caracas, Venezuela";"Alquiler De Automóviles"
"POWER CAR RENTAL C.A";"";"Tel: (58) (241) 8389971";"C.C Paseo Las Industrias P.B Local , Las Industrias Valencia, Venezuela";"Alquiler De Automóviles"
"THRIFTY CAR RENTAL";"";"Tel: (58) (212) 9529981";"Cl Carabobo, El Rosal - Caracas Caracas, Venezuela";"Alquiler De Automóviles"
"GOOD CAR RENTALS";"";"Tel: (58) (261) 7910767";"San Martin Av.3V Con Cl.75 Maracaibo, Venezuela";"Alquiler De Automóviles"
"HERTZ RENTA MOTOR, C.A.";"";"Tel: (58) (261) 7350832";"Maracaibo Maracaibo, Venezuela";"Alquiler De Automóviles"
"CIUDAD CARS C.A.";"";"Tel: (58) (261) 7979644";"Cl70 Entre Av.Bella Vista Y Sta.Rita , Maracaibo Maracaibo, Venezuela";"Alquiler De Automóviles"
"AVIS RENT A CAR";"";"Tel: (58) (212) 2615556";"Av Libertador, Bello Campo - Caracas Caracas, Venezuela";"Alquiler De Automóviles"
"MARCONI CAR RENTALS";"";"Tel: (58) (261) 2475221";"Aeropuerto Las Piedras Maracaibo, Venezuela";"Alquiler De Automóviles"
"CORPORACIÓN SOBRE RUEDAS, C.A.";"";"Tel: (58) (212) 9539993";"Av Fco. De Miranda, Edif. Roraima, Piso 5, Apto. 5-A, El Rosal - Caracas Caracas, Venezuela";"Alquiler De Automóviles"
"EVENTOS SEBASTIAN";"";"Tel: (58) (212) 7301368";"Cl. Garcia, La Florida Caracas, Venezuela";"Alquiler De Automóviles"
"ORGANIZACION J.M.O.M., C.A.";"";"Tel: (58) (212) 2423121";"Caracas Caracas, Venezuela";"Alquiler De Automóviles"
"ACO RENT A CAR";"";"Tel: (58) (212) 3551166";"Aeropuerto Simón Bolívar Caracas, Venezuela";"Alquiler De Automóviles"
"TRANSXAGA RENTA, C.A.";"";"Tel: (58) (282) 4243783";"Anaco Anaco, Venezuela";"Alquiler De Automóviles"
"C P DESARROLLOS, C.A.";"";"Tel: (58) (212) 5430792";"Esq. Sordo, Santa Rosalia Caracas, Venezuela";"Alquiler De Automóviles"
"AUDIOMOVIL";"";"Tel: (58) (212) 2359980";"Caracas Caracas, Venezuela";"Alquiler De Electrodomesticos"
"SONIDO IMPACTO 22, S.R.L.";"";"Tel: (58) (274) 2661441";"Av. Andres Bello Mérida, Venezuela";"Alquiler De Electrodomesticos"
"CUBOX C.A.";"";"Tel: (58) (261) 3624899";"Maracaibo - Venezuela Maracaibo, Venezuela";"Alquiler De Electrodomesticos"
"AUDY PUBLI C.A.";"";"Tel: (58) (281) 2654367";"Av.Municipal-Pto L cRUZ Puerto de  la Cruz, Venezuela";"Alquiler De Electrodomesticos"
"COPY SHOP CAFE";"";"Tel: (58) (261) 7574141";"Frente A Uribe Cl. 52 b No 15 p - 22 La Trinidad Maracaibo, Venezuela";"Alquiler De Electrodomesticos"
"AUDIOSON";"";"Tel: (58) (212) 2653061";"Av. Fco De Miranda Entre Cl. La Joya Y El Metro, Edf. Tucuragua Caracas, Venezuela";"Alquiler De Electrodomesticos"
"PHASE AUDIO";"";"Tel: (58) (212) 9532185";"Av. Libertador, Edf. Exa 1 Piso. Ofc. 124, Caracas Caracas, Venezuela";"Alquiler De Electrodomesticos"
"PROESA EVENTOS C.A";"";"Tel: (58) (241) 8254244";"Av Andrés Eloy Blanco, Santa Cecilia Valencia, Venezuela";"Alquiler De Electrodomesticos"
"SKY RENTAL";"";"Tel: (58) (212) 7424862";"Caracas Caracas, Venezuela";"Alquiler De Electrodomesticos"
"POWETROL GENERATION SYSTEMS, S.A.";"";"Tel: (58) (212) 6935153";"Av.Cristobal Rojas, Qta. Las Vistas Urb., Santa Monica Caracas, Venezuela";"Alquiler De Electrodomesticos"
"AUDIOVISIÓN GV C.A";"";"Tel: (58) (261) 7987408";"Cl. 75, Entre Avenidas 14B Y 15 Mini C.C. Jatem, Loc 4 Las Delicias Maracaibo, Venezuela";"Alquiler De Electrodomesticos"
"FERRELAGOS, C.A.";"";"Tel: (58) (261) 7361010";"Cl. 60, Zona Industrial Maracaibo, Venezuela";"Alquiler De Electrodomesticos"
"ORA SISTEMAS";"";"Tel: (58) (241) 8687780";"Av Bolívar, Naguanagua Naguanagua, Venezuela";"Alquiler De Electrodomesticos"
"PLANTAS ELÉCTRICAS";"";"Tel: (58) (241) 6179312";"Valencia Valencia, Venezuela";"Alquiler De Electrodomesticos"
"AUDIO VISUAL DEPOT";"";"Tel: (58) (274) 2679237";"Oficina Mérida, Venezuela";"Alquiler De Electrodomesticos"
"AUDIO PROYECT SERVICES APS, C.A.";"";"Tel: (58) (261) 7971376";"Santa Rita Maracaibo, Venezuela";"Alquiler De Electrodomesticos"
"INTERAKTIVO S,C,A";"";"Tel: (58) (295) 2639215";"Av Miranda Qta Yely No 15-15 Porlamar, Venezuela";"Alquiler De Electrodomesticos"
"COMELECINCA POWER SYSTEMS C.A.";"";"Tel: (58) (212) 2858727";"Oficina en Caracas Caracas, Venezuela";"Alquiler De Electrodomesticos"
"VIDEO BEAM ARAGUA C.A";"";"Tel: (58) (243) 2411481";"La Coopertaiva Maracay Maracay, Venezuela";"Alquiler De Electrodomesticos"
"USIK, C.A.";"";"Tel: (58) (243) 2323741";"Av L Delicias, El Bosque Maracay, Venezuela";"Alquiler De Electrodomesticos"
"JVL SOUND PRODUCTIONS, C.A.";"";"Tel: (58) (212) 2427736";"Av. Zon. Rental, Terrazas Del Avila Caracas, Venezuela";"Alquiler De Electrodomesticos"
"A P S AUDIO PROJECT SERVICES, C.A.";"";"Tel: (58) (261) 7971376";"Av. 8 Santa Rita Hotel Kristof Maracaibo, Venezuela";"Alquiler De Electrodomesticos"
"AQUADYNE GROUP, C.A.";"";"Tel: (58) (212) 7938179";"Av. Lincoln, Plaza Venezuela Caracas, Venezuela";"Alquiler De Electrodomesticos"
"AUDIVISUAL EXPRESS, C.A.";"";"Tel: (58) (274) 2523020";"Cl. 20, Centro Mérida, Venezuela";"Alquiler De Electrodomesticos"
"A TIME PRODUCCIONES";"";"Tel: (58) (212) 3134858";"Caracas Caracas, Venezuela";"Alquiler De Electrodomesticos"
"COMERCIALIZADORA AF SISTEMAS, C.A.";"";"Tel: (58) (251) 2313095";"Carrera 23 Barquisimeto, Venezuela";"Alquiler De Electrodomesticos"
"VOLTAMPER C.A.";"";"Tel: (58) (212) 3629167";"Urb. Ind. El Rereo Cl. La Guairita N. E2 Ent. por Guayabal Apdo. 24 Guare nas, 1212 Edo. Miranda Guarenas, Venezuela";"Alquiler De Electrodomesticos"
"ELEVEGA ORIENTE C.A.";"";"Tel: (58) (212) 2815354";"Urb. El Ingenio, Av. 5 de Julio, Nueva Barcelona, Edo,. Anzoátegui Caracas, Venezuela";"Alquiler De Electrodomesticos"
"ITACA INGENIEROS Y TÉCNICOS ASOCIADOS C.A.";"";"Tel: (58) (212) 2385811";"Cl. E, Edif. Spefar, Noleíta Norte, Caracas Venezuela Caracas, Venezuela";"Alquiler De Electrodomesticos"
"POWERTROL ENERGUY MANAGEMENT";"";"Tel: (58) (212) 6936065";"Av. Cristobal Rojas, entre Calles Calcaño y Simon Planas, Qta. Los Vivas Santa Mónica Caracas, Venezuela";"Alquiler De Electrodomesticos"
"DIESEL POWER GENERATOR, C.A.";"";"Tel: (58) (241) 8328918";"Z.I. Municipal Norte, Av. Este-Oeste 2 Centro de Galpones ABC, Galpon C-5 Valencia, Edo. Carabobo Valencia, Venezuela";"Alquiler De Electrodomesticos"
"GRUPO AUTOPARTS";"";"Tel: (58) (212) 8681887";"Caracas Caracas, Venezuela";"Alquiler De Electrodomesticos"
"AUTO RADIO AQUIGINO , C.A.";"";"Tel: (58) (239) 2311075";"Cl. México Santa Teresa Del Tuy Santa Teresa, Venezuela";"Alquiler De Electrodomesticos"
"SONIDO UNI-PEX, C.A.";"";"Telefax: (58) (212) 2575439";"La California Sur Caracas, Venezuela";"Alquiler De Electrodomesticos"
"ROSI INFRAESTRUCTURAS CULTURALES, C.A.";"";"Tel: (58) (251) 2324251";"Carrera 19 Esq/Cl 33 Barquisimeto, Venezuela";"Alquiler De Electrodomesticos"
"FERRELAGO, C.A.";"";"Tel: (58) (261) 7361010";"Cl 60, Zona Industrial Maracaibo, Venezuela";"Alquiler De Electrodomesticos"
"AUDIO PROYECT SERVICES APS, C.A.";"";"Tel: (58) (261) 7971376";"Santa Rita Maracaibo, Venezuela";"Alquiler De Equipos Para Oficina"
"TECNOSERVI, C.A.";"";"Tel: (58) (251) 4466393";"Av 20 E/Cls 39 Y 40 C.C. Comercio P.B. Locales 3 Y 4 Barquisimeto, Venezuela";"Alquiler De Equipos Para Oficina"
"REPRESENTACIONES ADRIÁN, C.A.";"";"Tel: (58) (286) 9236436";"Av. Monseñor Zabaleta C.C. Zabaleta, P.B. Local N³18 Puerto Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Alquiler De Equipos Para Oficina"
"MONTACARGAS TOYOTA 8FG/8FD";"";"Tel: (58) (271) 2311119";"Av. Bolivar,Sector el Country,Edif.Toyoandina,Valera,Edo trujillo Valera, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MAQUINARIAS CARDOZO S.R.L.";"";"Tel: (58) (212) 4519191";"Cl Granada San Martin Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"COMPAIR KILLINGER ASESORIA TÉCNICA C.A";"";"Tel: (58) (212) 9765397";"Av Río Paragua Prados Del Este Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MONTACARGAS ALVIC, C.A";"";"Tel: (58) (212) 6254590";"3era Call Prolongacion Zuloaga Loc 3 Los Rosales Caracas Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"AMPLIACIONES Y ACABADOS, C.A.";"";"Tel: (58) (251) 4411314";"Av. Pedro León Torres, e/Cls. 59 y 60 Barquisimeto, Venezuela";"Alquiler De Maquinaria Y Equipos"
"VENECARGA DEL CENTRO C.A.";"";"Tel: (58) (241) 8389703";"3Zona Ind. Municipal Norte, Av Prolongacion Michelena, Galpon 90-D-E Valencia, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MULTISERRVICIOS MAPORAL C.A";"";"Tel: (58) (212) 6313215";"Cl La Saleya Prado De Maria Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"TESLA C.A.";"";"Tel: (58) (282) 2619804";"Urb. Ind. Santa Cruz 2Da Parcela E-63 Aragua de Barcelona, Venezuela";"Alquiler De Maquinaria Y Equipos"
"C.A. VENEZOLANA DE MONTACARGAS RAYMOND";"";"Tel: (58) (212) 6333829";"Calle Tamanaco Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"TECNAVAL";"";"Tel: (58) (212) 2857822";"4ta Av Entre 8va Y 9na Trasv No 1106 Los Palos Grandes Caracas 1060 Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MATERIALES, S.A.";"";"Tel: (58) (212) 7937825";"Av. Andrés Bello, Maripérez Fte. Al Pque. Aristides Rojas Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"EL MUNDO DE LA OFICINA, C.A.";"";"Tel: (58) (291) 6421062";"Calle Monagas, Centro Maturín, Venezuela";"Alquiler De Maquinaria Y Equipos"
"INVERSIONES FRATELLI CICIOTTI C.A.";"";"Tel: (58) (241) 4058703";"Callejon Mañongo Naguanagua Naguanagua, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MONTACARGAS COGUA S.R.L.";"";"Telefax: (58) (244) 4476954";"Carretera Nacional La Villa Cagua, Venezuela";"Alquiler De Maquinaria Y Equipos"
"VIEXPAND";"";"Tel: (58) (243) 2463415";"San Miguel Maracay, Venezuela";"Alquiler De Maquinaria Y Equipos"
"VACCUM SERVI CA";"";"Tel: (58) (241) 8574261";"Final de la Avenida Lara, entre Andres bello y escalona No147-41,Edificio Giraldo valencia-Estado Carabobo Valencia, Venezuela";"Alquiler De Maquinaria Y Equipos"
"SAMSA";"";"Tel: (58) (243) 2722992";"Zona Industrial La Hamaca Maracay, Venezuela";"Alquiler De Maquinaria Y Equipos"
"ALQUILERES MONTACARGAS C.A ALQUIMONCA";"";"Tel: (58) (212) 9433636";"Caracas Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MAQUINARIAS CITATION S.A";"";"Tel: (58) (212) 78296866";"Esq Andres Bello Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"GRUAS CORSA C.A";"";"Tel: (58) (243) 5537392";"Av.A Phillps San Vicente I Maracay, Venezuela";"Alquiler De Maquinaria Y Equipos"
