"CARRES";"";"Tel: (58) (244) 3225796";"Zona Industrial CI Presidente La Victoria, Venezuela";"Acarreos"
"FABRICA DE BLOQUES Y FERRETERIA LA BLOQUERA CL, C.A.";"";"Tel: (58) (212) 3322771";"Pariata Caracas, Venezuela";"Adoquines, Bloques Y Ladrillos"
"REFER, C.A.";"";"Tel: (58) (241) 8590261";"Cl Girardot, San Blas, Valencia Valencia, Venezuela";"Adoquines, Bloques Y Ladrillos"
"BLOFERCA";"";"Tel: (58) (261) 7571766";"Av. Guajira, San Jacinto Maracaibo, Venezuela";"Adoquines, Bloques Y Ladrillos"
"PRONTOCASA";"";"Tel: (58) (281) 2749667";"Autopista Barcelona-El Tigre A 150 Mts de la Redoma de los Pájaros Barcelona, Venezuela";"Adoquines, Bloques Y Ladrillos"
"SARACCO Y CÍA, C.A.";"";"Telefax: (58) (212) 3225997";"Los Cerritos- L Teques Los Teques, Venezuela";"Adoquines, Bloques Y Ladrillos"
"TEJAR CARABOBO C.A.";"";"Tel: (58) (212) 5717004";"Carretera Nacional Guacara Los Guayos - Edo. Carabobo - Zona Postal 2011 Caracas, Venezuela";"Adoquines, Bloques Y Ladrillos"
"ALFARERÍA INTERNACIONAL, C.A.";"";"Telefax: (58) (212) 3411616";"Güigüe, Edo. Carabobo Caracas, Venezuela";"Adoquines, Bloques Y Ladrillos"
"CONCRETERA BIMOCA C.A.";"";"Tel: (58) (277) 4148783";"Final Carrera 10,Esq. Calle 3,Barrio El Carmen La Concordia La Fría, Venezuela";"Adoquines, Bloques Y Ladrillos"
"BLOQUES MARIARA, C.A.";"";"Tel: (58) (243) 2632637";"Carretera Nacional Maracay Mariara-Edo. Carabobo Mariara, Venezuela";"Adoquines, Bloques Y Ladrillos"
"SUPER BLOQUE, C.A.";"";"Tel: (58) (212) 2482575";"Urb. Río Tuy, Parcela 121-122 Frente A Menequin, Carret Entre Charallave Y Cúa, Edo. Miranda Caracas, Venezuela";"Adoquines, Bloques Y Ladrillos"
"BLOQUERA EL SELLA C.A.";"";"Tel: (58) (239) 2310202";"Carret. Nac, Guatopo, El Cujial Santa Teresa Del Tuy Santa Teresa, Venezuela";"Adoquines, Bloques Y Ladrillos"
"MATERIALES CHARAVALLE, C.A.";"";"Telefax: (58) (212) 2870565";"Final Av. Bolívar, Sector Sucua Charallave, Edo. Miranda Caracas, Venezuela";"Adoquines, Bloques Y Ladrillos"
"ALFERERÍA TECNO CERÁMICAS ALLUE, C.A.";"";"Tel: (58) (252) 4217766";"Ct Lara Zulia Carora, Venezuela";"Adoquines, Bloques Y Ladrillos"
"ARCIPASCUA,C.A.";"";"Tel: (58) (235) 3416540";"Av Las Industrias Valle de la Pascua, Venezuela";"Adoquines, Bloques Y Ladrillos"
"FÁBRICA DE BLOQUES LA RAISA, C.A.";"";"Tel: (58) (239) 2315936";"Carret. La Raisa, Frente A La Bomba Mobil. Santa Teresa Del Tuy, Edo. Mir anda Santa Teresa, Venezuela";"Adoquines, Bloques Y Ladrillos"
"CONCRETERIA INDUSTRIAL DE OCCIDENTE, C.A.";"";"Tel: (58) (261) 7342131";"Km. 4, Carretera a Perija, Boulevard Luis Apariciom, Entrda Zona Industri al Maracaibo, Venezuela";"Adoquines, Bloques Y Ladrillos"
"ALFARERÍA HISPANO VENEZOLANA, C.A.";"";"Tel: (58) (212) 5718236";"Carretera Nacional Guacara Los Guayos - Edo. Carabobo - Zona Postal 2015 Caracas, Venezuela";"Adoquines, Bloques Y Ladrillos"
"AFILADOS DE PRECISIÓN C.A. AFIDEPRECA";"";"Tel: (58) (243) 5536504";"Z. Industrial San Vicente II Maracay, Venezuela";"Afiladores"
"AFILIADORA LA INDUSTRIAL";"";"Telefax: (58) (276) 7873424";"Ureña Ureña, Venezuela";"Afiladores"
"ASSOCIATED PRESS, S.A.";"";"Tel: (58) (212) 5641834";"Av Urdaneta, La Candelaria Caracas, Venezuela";"Agencias De Noticias"
"AGENCIA EFE, S.A.";"";"Tel: (58) (212) 7937618";"Cl Sn Cristóbal, Las Palmas Caracas, Venezuela";"Agencias De Noticias"
"INDUSTRIAS PRODUCTOS ASFALTICOS C.A.";"";"Tel: (58) (261) 7938647";"Avenida 2A 85-312 Antes Union Al Lado de la Plaza Alonso Ojeda Maracaibo, Venezuela";"Aislamientos"
"DISTRIBUIDORA IPA S.A";"";"Tel: (58) (212) 2727175";"Av. Madrid C/C Cl. París La California Norte Caracas, Venezuela";"Aislamientos"
"TECNIPAC C.A.";"";"Telefax: (58) (212) 7511060";"Cl. Garcilazo, C.C. Polo I, Nivel Mezzanina, Loc. Mz-6 Colinas De Bello Monte, Caracas 1050 Caracas, Venezuela";"Aislamientos"
"PROTEGER";"";"Tel: (58) (261) 7832686";"Calle 69, AV. 15C Maracaibo, Venezuela";"Alarmas Contra Robo"
"STREET SUSIC CAR'S, C.A.";"";"Tel: (58) (241) 5643052";"Av.Bolivar Centro Valencia, Venezuela";"Alarmas Contra Robo"
"ALARMAS INTROL";"";"Tel: (58) (261) 7417907";"Av. 12,Maracaibo Maracaibo, Venezuela";"Alarmas Contra Robo"
"SISTEMAS DE SEGURIDAD PÉREZ CASTELLANO";"";"Tel: (58) (212) 7924766";"Calle 67 Cecilio Acosta Esq. Av 303 N. 30-05 Diagonal al Colegio Bellavista Caracas, Venezuela";"Alarmas Contra Robo"
"SESYSVE, C.A.";"";"Tel: (58) (286) 7480556";"C.C. Mami, Piso 2, Oficina 78, Alta Vista Ciudad Guayana Puerto Ordaz, Venezuela";"Alarmas Contra Robo"
"ELECTRÓNICA UNIVERSAL, S.R.L.";"";"Tel: (58) (295) 2643387";"Cl. Meneses, Entre Zamora y San NIcolÈs Porlamar, Venezuela";"Alarmas Contra Robo"
"GEOSYSTEMS C.A.";"";"Tel: (58) (255) 6211037";"Av.30 entre Calles 30 y 31. c.c. San Cono Suites, Local 6l, Acarigua-Port tuguesa- Venezuela Acarigua, Venezuela";"Alarmas Contra Robo"
"MORALES CORP SISTEMS PLUS, C.A.";"";"Tel: (58) (251) 7177093";"Carrera 21 entre Calles 13 y 14, No.13-88,Barquisimeto,Edo.Lara Barquisimeto, Venezuela";"Alarmas Contra Robo"
"VIAS Y SEÑALES S.A.S.";"viasysenalessas@hotmail.com";"Cel.: (58) 3105081306";"Atiende en El Espinal desde su sede principal en Pereira El Espinal, Venezuela";"Almacenes En General"
"MULTI SERVICIOS ERIKA";"";"Tel: (58) (212) 2672701";"Chacao, Caracas Caracas, Venezuela";"Almacenes En General"
"MOTOREPUESTOS GONZALEZ CATIA, C.A.";"";"Tel: (58) (212) 8644398";"Av Sucre Catia Edif Anate, P.B. Catia, Caracas Caracas, Venezuela";"Almacenes En General"
"PS AUTO CARACAS S.A.";"";"Tel: (58) (212) 9522647";"Urb El Rosal Av Venezuela, Entre Av Principal De Las Mercedes Y Av Pichincha, Caracas Caracas, Venezuela";"Almacenes En General"
"VOLTAMPER C.A.";"";"Tel: (58) (212) 3629167";"Urb. Ind. El Rereo Cl. La Guairita N. E2 Ent. por Guayabal Apdo. 24 Guare nas, 1212 Edo. Miranda Guarenas, Venezuela";"Almacenes En General"
"MOTO REPUESTOS DOBLE G II C.A.";"";"Telefax: (58) (212) 4815018";"Calle 500, Entre Av Sur Y Av Baralt, Quinta Crespo, Caracas Caracas, Venezuela";"Almacenes En General"
"RUBICON MOTORS";"";"Tel: (58) (212) 7538819";"Av Principal De Colinas De Bello Monte, Caracas Caracas, Venezuela";"Almacenes En General"
"AEROCHARTER V.I.P., C.A.";"";"Tel: (58) (212) 2855539";"Av Fco. De Miranda, Centro Plaza, Torre B Piso 18, Ofics. 16 - 17, Los Palos Grandes, Caracas Caracas, Venezuela";"Almacenes En General"
"CHIQUITICOS";"";"Tel: (58) (212) 5773476";"Esq Alcabala a Pte Anauco Edif 216-3 La Candelaria Caracas Caracas, Venezuela";"Almacenes En General"
"TRASNACIONAL VERGARA MOTOR'S, C.A.";"";"Tel: (58) (212) 7620136";"Av Libertador Al Lado Del C.C. Los Cedros, Caracas Caracas, Venezuela";"Almacenes En General"
"MOTOS LACO C.A.";"";"Tel: (58) (212) 2645719";"Av Libertador, Loc. 308, P.B. 2 Cuadras Antes Del Sambil, Chacao, Caracas Caracas, Venezuela";"Almacenes En General"
"COOPERATIVA FONDO DE PROTECCIÓN CIVIL RS";"";"Tel: (58) (212) 2667248";"Av Fco De Miranda, Chacao, Caracas Caracas, Venezuela";"Almacenes En General"
"CONCESIONARIOS HONDA DE VENEZUELA";"";"Tel: (58) (261) 7231911";"Av 4 Bella Vista, No. 84-136, Edo Zulia 4002, Maracaibo Maracaibo, Venezuela";"Almacenes En General"
"C.A. CARS";"";"Tel: (58) (212) 6931114";"Av. Los Ilustres, Edif. Cars, Los Chaguaramos - Caracas Caracas, Venezuela";"Almacenes En General"
"MACA MOTOS, C.A.";"";"Tel: (58) (212) 5712968";"La Candelaria, Caracas Caracas, Venezuela";"Almacenes En General"
"CENTRO MOTO MACIA C.A.";"";"Tel: (58) (212) 9917119";"Av La Trinidad Entre Calles Madrid Y París, Qta. Palmira, Las Mercedes, Caracas Caracas, Venezuela";"Almacenes En General"
"TOYOCA MOTORS, C.A.";"";"Tel: (58) (212) 2392024";"Av Ppal. Los Ruices, Calle Diego Cisnero, Caracas, Venezuela Caracas, Venezuela";"Almacenes En General"
"INVERSIONES MASSAGUER, C.A.";"";"Tel: (58) (212) 4613395";"San Martín, Caracas Caracas, Venezuela";"Almacenes En General"
"GUEVARA IMPORT MOTOS, C.A.";"";"Tel: (58) (212) 5240295";"Caracas Caracas, Venezuela";"Almacenes En General"
"EURO DIESEL ALONSO, C.A.";"";"Tel: (58) (243) 2690962";"Av. Interc. Stgo. Mariño Zna. Ind. La Providencia Maracay, Venezuela";"Almacenes En General"
"MOTO REPUESTOS LUCAS MG, S.R.L.";"";"Tel: (58) (212) 3210037";"Calle Ribas La Macarena Sur, Los Teques Los Teques, Venezuela";"Almacenes En General"
"AUTOMOTRIZ DIGA SALA, C.A.";"";"Tel: (58) (212) 6613967";"Av Francisco Pimentel, Esq. Eduardo Calcaño, Santa Mónica, Caracas Caracas, Venezuela";"Almacenes En General"
"AUTOMOTRIZ EXITO C.A.";"";"Tel: (58) (212) 6322198";"Av Nueva Granada, Centro Comercial Automotriz, Diagonal Al Ince, Caracas Caracas, Venezuela";"Almacenes En General"
"CORPORACIÓN SOLUBUSINESS C.A.";"";"Tel: (58) (212) 4243919";"Av Universidad, Centro Parque Carabobo Torre A, Piso 5, Ofic. 513, Al Lado De Ptj. Caracas Caracas, Venezuela";"Almacenes En General"
"LUCIO MOTOS C.A.";"";"Tel: (58) (212) 3620096";"Calle Sucre Nú 34, Guarenas, Edo. Miranda Guarenas, Venezuela";"Almacenes En General"
"PORSCHE";"";"Tel: (58) (212) 2565877";"Av Trieste, Los Ruices Sur, Caracas Caracas, Venezuela";"Almacenes En General"
"AUTOMÓVILES LOS MANGOS, C.A.";"";"Tel: (58) (212) 7814089";"Av L Samanes, La Florida, Caracas Caracas, Venezuela";"Almacenes En General"
"BABY CENTER C.A.";"";"Tel: (58) (295) 2617224";"Av. 4 de Mayo C.C. Shoping Porlamar, Venezuela";"Almacenes En General"
"POWERTROL ENERGUY MANAGEMENT";"";"Tel: (58) (212) 6936065";"Av. Cristobal Rojas, entre Calles Calcaño y Simon Planas, Qta. Los Vivas Santa Mónica Caracas, Venezuela";"Almacenes En General"
"TALLER MARIO";"";"Tel: (58) (212) 8703603";"Av Bolívar, Entre Cristo Y Magallanes, Catia, Caracas, Venezuela Caracas, Venezuela";"Almacenes En General"
"PARQUEMOTRIZ, S.A.";"";"Tel: (58) (212) 2867255";"Av Francisco De Miranda Los Palos Grandes, Caracas Caracas, Venezuela";"Almacenes En General"
"DI STASI MOTORS, C.A.";"";"Tel: (58) (212) 2833408";"3era. Av Con 3era. Trans., Edif. Araguaney, Urb. Los Palos Grandes, Caracas Caracas, Venezuela";"Almacenes En General"
"ROPERITO DE NEISHA, C.A.";"";"Tel: (58) (276) 7081327";"Av. 7, Centro San Cristóbal, Venezuela";"Almacenes En General"
"TAKE TRUCKS S.A.";"";"Tel: (58) (212) 3226526";"Bajada El Tambor, Los Teques Los Teques, Venezuela";"Almacenes En General"
"LIBERTY CARS, C.A.";"";"Tel: (58) (212) 9413818";"La Trinidad - Caracas Caracas, Venezuela";"Almacenes En General"
"IVECO VENEZUELA, C.A.";"";"Tel: (58) (244) 4002000";"Zona Industrial Soco, La Victoria La Victoria, Venezuela";"Almacenes En General"
"KOBE MOTORS C.A.";"";"Tel: (58) (251) 2382266";"Av. Principal de Los Ruices, Edif. Roche P.B., Locales 2-3 Urb. Los Ruice Barquisimeto, Venezuela";"Almacenes En General"
"HOLLY IMPORT C.A.";"";"Tel: (58) (212) 2867347";"4ta. Avenida Con 4ta. Transversal Los Palos Grandes, Caracas Caracas, Venezuela";"Almacenes En General"
"AUTOMOTRIZ EL CERRITO C.A.";"";"Tel: (58) (212) 2311322";"Ct. Panamericana Km. 23, Los Cerrito - Los Teques Los Teques, Venezuela";"Almacenes En General"
"FIAUTO DEL ESTE, C.A.";"";"Tel: (58) (212) 9444117";"La Trinidad: Av Intercomunal La Trinidad-El Hatillo, Calle Amana, Cruce Con Calle San Mateo, Caracas Caracas, Venezuela";"Almacenes En General"
"RYOKOOMOTORS";"";"Tel: (58) (212) 2416933";"Cl 11-1, La Urbina, Caracas Caracas, Venezuela";"Almacenes En General"
"GREGG ACADEMY DE VENEZUELA";"";"Tel: (58) (212) 2657840";"Campo Alegre Caracas, Venezuela";"Almacenes En General"
"KVA GENERATOR, C.A.";"";"Tel: (58) (212) 3124526";"Av. Pedro Russo Ferrer, C.C. Vasconia, PB Local L-43 Sector El Tambor Los Teques, Edo. Miranda Caracas, Venezuela";"Almacenes En General"
"AUTOS REYCAS, C.A.";"";"Tel: (58) (212) 2667784";"Area Metropolitana De Caracas (Bajando Por La Torre Británica) Municipio Chacao, 1ra. Ave. Altamira Sur, Caracas Caracas, Venezuela";"Almacenes En General"
"CONSTRUCCIONES DEPORTIVAS POLICANCHAS C.A";"";"Tel: (58) (212) 2662955";"Altamira Caracas, Venezuela";"Almacenes En General"
"MARIPÉREZ MOTORS C.A.";"";"Tel: (58) (212) 7817654";"Av Principal De Maripérez, Entre 7ma. Y 8va. Transversal (Subiendo Hermandad Gallega), Caracas Caracas, Venezuela";"Almacenes En General"
"COMELECINCA POWER SYSTEMS C.A.";"";"Tel: (58) (212) 2858727";"Oficina en Caracas Caracas, Venezuela";"Almacenes En General"
"DISTRIBUIDORA GREGMOTO, C.A.";"";"Tel: (58) (212) 9443004";"Carretera Baruta, El Placer, Caracas Caracas, Venezuela";"Almacenes En General"
"AUTOMOTRIZ BERMAR, C.A.";"";"Telefax: (58) (212) 3633953";"Av Intercomunal Guarenas-Guatire Cruce Con Calle Soublette, Sector La Llanada, Guarenas, Edo. Miranda Guarenas, Venezuela";"Almacenes En General"
"AUTOMOTRIZ PESTANA S.A.";"";"Tel: (58) (212) 3837227";"Carretera Panamericana, Vía Los Teques, Carrizal Carrizal, Venezuela";"Almacenes En General"
"AUTOMARCA C.A.";"";"Tel: (58) (212) 2581614";"Av San Francisco C/C Santa Rosa Torre La California, Caracas Caracas, Venezuela";"Almacenes En General"
"AEROPREMIUM EJECUTIVO, C.A.";"";"Tel: (58) (212) 5765020";"Av.Este 2, Esq.de Colimodio, a Sur 23, Edif. Adm.Unión P.12, Of.12-A Caracas, Venezuela";"Alquiler De Buses"
"AIRVANS EJECUTIVAS, C.A.";"";"Tel: (58) (212) 5766434";"Av. México, hotel Caracas Hilton Caracas, Venezuela";"Alquiler De Buses"
"AUTOTO TRANSPORTE Y TURISMO, C.A.";"";"Tel: (58) (212) 5646491";"Socorro A San Román Caracas, Venezuela";"Alquiler De Buses"
"EL MAPACHE DE PAPEL";"";"Tel: (58) (295) 2639831";"Av.4 de Mayo, entre Banco Caroní y Banco Industrial, Edf San Valentin P.B Porlamar, Venezuela";"Alquiler De Copiadoras"
"ORGANIZACIÓN REPRO C.A";"";"Tel: (58) (241) 8263962";"Cl 123 Santa Cecilia Valencia, Venezuela";"Alquiler De Copiadoras"
"PORFACA RENTAL & CONSTRUCCION, C.A";"";"Tel: (58) (291) 6437199";"Av. Alirio Ugarte Pelayo Bajo Guarapiche Maturín, Venezuela";"Alquiler De Equipos Industriales"
"SABATINO INGENIERÍA, C.A.";"";"Tel: (58) (261) 7931247";"Av. 2c, La Virginia Maracaibo, Venezuela";"Alquiler De Equipos Industriales"
"ALUMINIOS BRITO DE VENEZUELA";"";"Telefax: (58) (212) 8649931";"Primera Transvesal , Entre Calle Estadios Y Real Loc. No. 2-7, Urb. Alta Vista Caracas, Venezuela";"Aluminio Arquitectónico"
"Pysta";"";"Cel.: (58) 3113856531";"Atiende en El Espinal desde su sede principal en Cali El Espinal, Venezuela";"Análisis De Aceites Lubricantes"
"AYER Y HOY MUEBLES, C.A.";"";"Telefax: (58) (212) 7311273";"La Florida Caracas, Venezuela";"Antigüedades"
"LUXOR GALERY, C.A.";"";"Tel: (58) (212) 9913669";"Edif Isa, P.B. Av Orinoco, Las Mercedes Caracas, Venezuela";"Antigüedades"
"ANTIGUEDADES GUAYAMURI";"";"Tel: (58) (212) 7300545";"La Florida Caracas, Venezuela";"Antigüedades"
"ANTIGÜEDADES MALAVE VON WEBER";"";"Tel: (58) (212) 6327829";"Av El Paseo, Los Rosales Caracas, Venezuela";"Antigüedades"
"ANTIGUEDADES COLONIALES";"";"Tel: (58) (212) 2912747";"Km 3 Filas De Mariche Filas de Mariche, Venezuela";"Antigüedades"
"EL ÀTICO DE LOS ÀNGELES";"";"Tel: (58) (261) 7981948";"Avenida 8 Maracaibo, Venezuela";"Antigüedades"
"CASA DE ANTIGUEDADES MANUEL HERRERA";"";"Tel: (58) (212) 5713802";"Esq. Paradero A Cervecería, La Candelaria Caracas, Venezuela";"Antigüedades"
"F WITTELS & CO.";"";"Tel: (58) (212) 9920708";"Av Principal, Las Mercedes Caracas, Venezuela";"Antigüedades"
"EL MUNDO DE CARMEN";"";"Tel: (58) (212) 2863495";"Centro Plaza Los Palos Grandes Caracas, Venezuela";"Antigüedades"
"BIONIC HEARING AIDS DE VENEZUELA, C.A.";"";"Tel: (58) (212) 9929113";"Chuao Caracas, Venezuela";"Aparatos Para Sordos"
"CORPORACIÓN TOMOL C.A.";"";"Tel: (58) (212) 7634198";"Cl. Negrín Con Cl. Las Flores, Torre Negrín Loc. 1 Y 2, P.B. Sabana Grand e, Caracas Caracas, Venezuela";"Aparatos Para Sordos"
"INSTITUTO AUDITIVO WIDEX, C.A.";"";"Tel: (58) (251) 2553430";"Barquisimeto Barquisimeto, Venezuela";"Aparatos Para Sordos"
"AUDIOREX AYUDAS AUDITIVAS";"";"Tel: (58) (212) 2862605";"Los Palos Grandes Caracas, Venezuela";"Aparatos Para Sordos"
"AUDIFON. C.A.";"";"Tel: (58) (286) 9623984";"Av. Paseo Caroní, C.C. Naraya, Piso 1, Local 110, Puerto Ordaz, Edo Boli var Ciudad Guayana San Félix, Venezuela";"Aparatos Para Sordos"
"SONITECH PROTESIS AUDITIVA Y EQUIPOS MEDICOS";"";"Tel: (58) (261) 7928463";"Av.3 y, C.C. Candeloro Maracaibo, Venezuela";"Aparatos Para Sordos"
"AYUDAS AUDITIVAS ALVAREZ,C.A.";"";"Tel: (58) (261) 7927512";"Av. 3y(San Martin)con calle 75 Maracaibo, Venezuela";"Aparatos Para Sordos"
"SERVICIOS THE EAR AEI C.A.";"";"Tel: (58) (212) 5512853";"Av. Cajigal, Qta. Anabel, No. 35, San Bernardino Caracas, Venezuela";"Aparatos Para Sordos"
"SONITECH DE VENEZUELA";"";"Tel: (58) (212) 2641183";"Cl. La Joya Chacao Caracas, Venezuela";"Aparatos Para Sordos"
"PRO AUDIO PROTESIS AUDITIVAS, C.A.";"";"Telefax: (58) (212) 9528261";"El Bosque - Caracas Caracas, Venezuela";"Aparatos Para Sordos"
"ELECTRÓNICA AVANTEC C.A.";"";"Tel: (58) (212) 2853297";"Av. Fco De Miranda, Los Palos Grandes Caracas, Venezuela";"Aparatos Para Sordos"
"MERCURIO DE VENEZUELA C.A.";"";"Tel: (58) (212) 5776571";"Av. Avila, San Bernardino Caracas, Venezuela";"Aparatos Para Sordos"
"AVANTEC, C.A.";"";"Telefax: (58) (261) 7563517";"Maracaibo Maracaibo, Venezuela";"Aparatos Para Sordos"
"AGENCIA DE LOTERIAS MIS AMIGOS";"";"Tel: (58) (281) 2663905";"Local N. 42 Avenida Gulf ChuparÙn Puerto de  la Cruz, Venezuela";"Apuestas"
"LOTERIA DE ORIENTE";"";"Tel: (58) (291) 6413255";"Av. Bolivar Maturín, Venezuela";"Apuestas"
"FABRAS CHEMICAL, S.A.";"";"Tel: (58) (212) 6321789";"Av. Roosevelt con Cl. La Saleta, GalpÊn 5 Prado de Maria, Caracas Caracas, Venezuela";"Aromas"
"ATLANTE INGENIERIA C.A.";"";"Tel: (58) (243) 2187044";"Urb. Mata Redonda Manzana 24 Tercera Transv 259A Maracay, Venezuela";"Arquitectos Ingenieros"
"MULTILEASING, C.A.";"";"Tel: (58) (212) 2391764";"Caracas Caracas, Venezuela";"Arrendamiento Financiero"
"HANNSI CENTRO ARTESANAL";"";"Tel: (58) (212) 9637184";"Cl Bolívar, El Hatillo Caracas, Venezuela";"Artesanías"
"FÁTIMA DESIGNS";"";"Tel: (58) (212) 5769312";"C.C. Galería El Avila Niv. Anauco L-16 Av Urdaneta, La Candelaria Caracas, Venezuela";"Artesanías"
"QUERENCIA";"";"Tel: (58) (212) 2630863";"Chacao Caracas, Venezuela";"Artesanías"
"ARTESANÍA VIVAS VENEZUELA, C.A.";"";"Tel: (58) (212) 4843752";"Ctro. Simón Bolívar, T. Norte El Silencio Caracas, Venezuela";"Artesanías"
"ARTESANÍA TABURETE, C.A.";"";"Tel: (58) (212) 4821318";"Esq. Dolores, Quinta Crespo Caracas, Venezuela";"Artesanías"
"LA CASA DEL TURISTA";"";"Tel: (58) (274) 2524789";"Av. 3, N. 21-70 Mérida, Venezuela";"Artesanías"
"BUOKA ARTESANIA";"";"Tel: (58) (241) 8214153";"Las Acacias Valencia, Venezuela";"Artesanías"
"GÓMEZ & GONZÁLEZ";"";"Tel: (58) (212) 9537109";"Av Casanova, Chacaito Caracas, Venezuela";"Artesanías"
"ARTESANIA ELISABETA";"";"Tel: (58) (241) 8250974";"Av Bolívar, Guaparo Valencia, Venezuela";"Artesanías"
"EL RINCÓN DE BAHARENQUE";"";"Tel: (58) (212) 6931496";"Los Chaguaramos Caracas, Venezuela";"Artesanías"
"SANTA ELENA NOVEDAD TIMBO";"";"Tel: (58) (289) 9951871";"Calle Urdaneta, Frente El Hotel La Abuela, Santa Elena de Uairen Santa Elena de Uairén, Venezuela";"Artesanías"
"COMERCIALIZADORA JIREC C.A.";"";"Tel: (58) (212) 9515442";"Centro Artesanal Loc-18 Av Final Casanova, Chacaíto Caracas, Venezuela";"Artesanías"
"ARTESANÍAS MAQUITA";"";"Tel: (58) (212) 5768439";"Av Este 2, La Candelaria Caracas, Venezuela";"Artesanías"
"ARTESANIAS ARIAS RIVERA C.A";"";"Tel: (58) (244) 8461283";"Cl Libertad, Centro Magdaleno, Venezuela";"Artesanías"
"ARTESANIA TAURO C.A.";"";"Tel: (58) (251) 4468866";"Carrera 24 e/cl 41 y 42, Edificio La Alpargata Barquisimeto, Venezuela";"Artesanías"
"BAR - RESTURANT MI FOLKLORE 2005, C.A.";"";"Tel: (58) (251) 9103072";"Km. 50 Autopista Centro Occidental, Barquisimeto-Carora, Caserío Tanquec ito Barquisimeto, Venezuela";"Artesanías"
