"ACADEMIA DE BELLEZA KISMET";"";"Tel: (58) (212) 2659143";"Av Fco De Miranda Edif Los Llanos, Chacao Caracas, Venezuela";"Academia De Belleza"
"DISTRIBUIDORA LOMBARCO C.A. DISLOMCA";"";"Tel: (58) (261) 7520514";"Cl61 No.15C-64 Maracaibo, Venezuela";"Aire Acondicionado"
"AUTOREFRIGERACIÓN YOVANNY";"";"Tel: (58) (276) 5334034";"Cl.Nicolas Briceño con Av.Ricaurte Sc.23 De Enero No. 13-63 Barinas San Cristóbal, Venezuela";"Aire Acondicionado"
"SOLUCIONES 2005";"";"Tel: (58) (281) 2742540";"Av. Intercomunal Barcelona, Venezuela";"Aire Acondicionado"
"MUNDO FRIO C.A.";"";"Tel: (58) (274) 3445229";"Carrera 15, No.10-55 Entre Calles 10 y Pasaje Acueducto Barrio San Carlos, Parte Baja, Barrio Obrero, San Crsitobal- Edo Táchira Mérida, Venezuela";"Aire Acondicionado"
"REFRI AMÉRCIA";"";"Tel: (58) (212) 8357155";"Caracas Caracas, Venezuela";"Aire Acondicionado"
"DISTRIBUIDORA NEVADA 2005 C.A.";"";"Tel: (58) (212) 6621794";"Calle Reinaldo Hahn, Entre Av. Teresa De La Parra Y Av. Arturo Michelena Qta. Fanny, Santa Mónica Caracas, Venezuela";"Aire Acondicionado"
"IMPORTACIONES PETER CAR, C.A.";"";"Tel: (58) (212) 3644855";"El Tambor, Los Teques Los Teques, Venezuela";"Aire Acondicionado"
"INVERSIONES FRICEN FRIO CENTRAL";"";"Tel: (58) (261) 7185342";"Av. 11 Entre Calles 70 Y 71 Nú 70-54, Sector Tierra Negra Maracaibo, Venezuela Maracaibo, Venezuela";"Aire Acondicionado"
"REFRIGERACIÓN YORK INTERNATIONAL";"";"Tel: (58) (212) 9456155";"La Trinidad Caracas Caracas, Venezuela";"Aire Acondicionado"
"UNIVERSAL AIRE, C.A.";"";"Tel: (58) (212) 6622654";"Los Chaguaramos - Caracas Caracas, Venezuela";"Aire Acondicionado"
"TRANKACERO";"";"Tel: (58) (243) 8239254";"Av.106No 139A-87,El viñedo,frente a Plaza Las Esculturas Valencia Edo Maracay, Venezuela";"Aire Acondicionado"
"REGRIGERACIÓN GUEVARA C.A.";"";"Tel: (58) (251) 2373172";"Zona Industrial I, Carrera 4 entre Calles 19 y 20, Loc,3 Barquisimeto,Edo Lara Barquisimeto, Venezuela";"Aire Acondicionado"
"DATA POWER, C.A.";"";"Tel: (58) (212) 2393562";"Av. El Buen Pastor, Edf. Cota Mil, Boleita Norte, Caracas Caracas, Venezuela";"Aire Acondicionado"
"REFILAIRE";"";"Tel: (58) (251) 5180062";"Carrera 19 entre 42 y 43 Barquisimeto Barquisimeto, Venezuela";"Aire Acondicionado"
"MEGAIRE C.A.";"";"Telefax: (58) (261) 7977015";"Av. 13 Con Calle 74 Nú 73-51 (Sector Tierra Negra) Maracaibo, Edo. Zulia Venezuela Maracaibo, Venezuela";"Aire Acondicionado"
"TALLER NUNES E YGLESIAS S.R.L.";"";"Tel: (58) (212) 5518033";"Av Panteón Con Av Gamboa Edif. San Bernardino, P.B. (Al Lado De Clínicas Caracas), San Bernardino Caracas, Venezuela";"Aire Acondicionado"
"EVEREST C.A.";"";"Telefax: (58) (251) 2375936";"Barquisimeto Barquisimeto, Venezuela";"Aire Acondicionado"
"SISTEMAS INTEGRALES C.A";"";"Tel: (58) (243) 2461204";"Av Miranda Oeste Maracay, Venezuela";"Aire Acondicionado"
"DISTRIBUIDORA UMMONTE, C.A.";"";"Tel: (58) (212) 2352340";"Av. Rómulo Gallegos, Centro Industrial Boleita Sur, Galpones 3 y 4 Caracas, Venezuela";"Aire Acondicionado"
"FRIO CARS, C.A.";"";"Tel: (58) (212) 2639706";"Av Ppal, Bello Campo Caracas, Venezuela";"Aire Acondicionado"
"ELECTRO AIRE 73, C.A.";"";"Tel: (58) (212) 2679517";"Av. Blandín Con San Ignacio De Loyola Chacao Caracas, Venezuela";"Aire Acondicionado"
"LEDEZMA AIR C.A";"";"Tel: (58) (241) 8596467";"Cl Vargas Entre Briceño Mendez Y Fernando Figueredo Ed. C.C Jf Locales 01 Y 02, Av Cedeño Centro Valencia, Venezuela";"Aire Acondicionado"
"FRIO LLANO INVERSIONES C.A.";"";"Tel: (58) (251) 6641558";"Avenida 34, Esquina Calle 31, Edificio Valentino, PB Barquisimeto, Venezuela";"Aire Acondicionado"
"SERVICIOS ALASKA 2060, C.A.";"";"Tel: (58) (212) 2713780";"Av San Francisco, Edif. Divineca, California Norte (A 200 Mts. De La Av. Francisco De Miranda) Caracas, Venezuela";"Aire Acondicionado"
"AUTO REFRIGERACIÓN MICHELENA C.A";"";"Tel: (58) (241) 8596047";"Cl Michelena, Libertador Valencia, Venezuela";"Aire Acondicionado"
"CAR'S COOL C.A";"";"Tel: (58) (241) 8585237";"Av Cedeño Valencia, Venezuela";"Aire Acondicionado"
"INVERSIONES SERFRICOM, C.A.";"";"Tel: (58) (212) 6322423";"Cl. Real Prado De María, Edif. La Milagrosa Local 1, Caracas Caracas, Venezuela";"Aire Acondicionado"
"SERVICIOS Y REFRIGERACIÓN MANOLO";"";"Tel: (58) (246) 4311947";"Av Vía Los Llanos San Juan de Los Morros, Venezuela";"Aire Acondicionado"
"NUEVO FRIO BOLEITA C.A.";"";"Tel: (58) (212) 2377127";"Av Las Palmas (A 50 Mts. De La Mercedes Benz De Venezuela), Boleita Sur Caracas, Venezuela";"Aire Acondicionado"
"SUMINISTROS F P REPUESTOS C.A";"";"Tel: (58) (243) 2180147";"Av Los Cedros Local No. 102-A Entre Junín Y San Ignacio, Maracay Maracay, Venezuela";"Aire Acondicionado"
"SERVICIO Y MANTENIMIENTO JIMÉNEZ, C.A.";"";"Tel: (58) (251) 8086237";"Carrera 25, Entre Calle y Av. Moran Barquisimeto, Edo.Lara Barquisimeto, Venezuela";"Aire Acondicionado"
"SERVI AIRE 56 SG, C.A.";"";"Tel: (58) (212) 7984458";"Avenida 12, Nro. 69-50 Quinta Seguraire Tierra Negra Caracas, Venezuela";"Aire Acondicionado"
"TAPI AIR";"";"Tel: (58) (274) 2528279";"Av. 2 Mérida Mérida, Venezuela";"Aire Acondicionado"
"AIRVENCA, C.A.";"";"Tel: (58) (251) 4452821";"Carrera 19 entre calles 39 y 40, Barquisimeto Barquisimeto, Venezuela";"Aire Acondicionado"
"CORPORACION JUPITER C.A.";"";"Tel: (58) (286) 6519338";"Cdad. Bolivar Ciudad Guayana Puerto Ordaz, Venezuela";"Aire Acondicionado"
"MULTISERVICIOS AUTOMOTRIZ ACCEL C.A";"";"Tel: (58) (241) 8593229";"Av Lara No. 88-54 San Blas Valencia, Venezuela";"Aire Acondicionado"
"COLD MAX, C.A.";"";"Tel: (58) (286) 9230812";"Av.Via Colombia Alianza Ciudad Guayana San Félix, Venezuela";"Aire Acondicionado"
"REFRIAIRE RALI, C.A.";"";"Tel: (58) (251) 4470126";"Carrera 18,Esq. Calle 49. No. 48-72. Local 14, Barquisimeto. Edo.Lara Barquisimeto, Venezuela";"Aire Acondicionado"
"DIRAIRE BARQUISIMETO,1 C.A.";"";"Tel: (58) (251) 4462934";"Av. Rómulo Gallegos, entre Carreras 29 y 30 Barquisimeto, Venezuela";"Aire Acondicionado"
"FRIGIKING, C.A.";"";"Tel: (58) (261) 7422030";"Calle B, Nú 2-18 Frente A La Iglesia Fátima Montecarlo, Maracaibo - Edo. Zulia Maracaibo, Venezuela";"Aire Acondicionado"
"EL PÁRAMO";"";"Tel: (58) (261) 7831105";"Maracaibo Maracaibo, Venezuela";"Aire Acondicionado"
"CORONA";"";"Tel: (58) (261) 6325902";"Diagonal De N Y G. Tomasi, Ciudad Bolivar Maracaibo, Venezuela";"Aire Acondicionado"
"SUPLY AIRE";"";"Tel: (58) (241) 8389691";"Valencia Valencia, Venezuela";"Aire Acondicionado"
"MASTERS COOL, C.A.";"";"Tel: (58) (286) 8530467";"Zona Ind, Los Pinos Ciudad Guayana San Félix, Venezuela";"Aire Acondicionado"
"SAFE DE VENEZUELA C.A.";"";"Telefax: (58) (261) 7915675";"Av. Universidad, Nú 3E-26 Sector Las Mercedes Maracaibo, Edo. Zulia Maracaibo, Venezuela";"Aire Acondicionado"
"INDARTELCA";"";"Tel: (58) (212) 4033661";"Av. Ppal. Zona Industrial Ruíz Pineda, Caricuao (Centro Industrial Telares De Palo Grande) Caracas, Venezuela";"Aire Acondicionado"
"ELECTRO REFRIGERACIÓN PABLO";"";"Tel: (58) (286) 9517370";"Ctro.De Serv.La Idea Loc.06 Zona Ind Unare Ii Calle Capire Ciudad Guayana San Félix, Venezuela";"Aire Acondicionado"
"INVERSIONES AUTO NEVADA 2006 C.A.";"";"Tel: (58) (212) 2861409";"Av Sucre Torre Centro Parque Boyacá Nivel Estacionamiento, Urb. Los Dos Caminos Caracas, Venezuela";"Aire Acondicionado"
"REFRIGERACIÓN AUTOMOTRIZ INCA C.A";"";"Tel: (58) (244) 4174909";"Cl Mariño A 20 Mts De Maveca, Cagua Cagua, Venezuela";"Aire Acondicionado"
"THERMO DUCTO CARIBE C.A.";"";"Tel: (58) (281) 2651263";"Cruce Con Somon Rodriguez Puerto de  la Cruz, Venezuela";"Aire Acondicionado"
"INVERSIONES VALBE C.A";"";"Tel: (58) (243) 8579130";"Michelena Maracay, Venezuela";"Aire Acondicionado"
"TU AIRE CAR'S C.A";"";"Tel: (58) (243) 2693137";"Cl Bicentenario No. 17 Detrás Del Bco. Exterior, Av Intercomunal Maracay, Venezuela";"Aire Acondicionado"
"CLIMAPAR, C.A.";"";"Tel: (58) (269) 2464698";"Calle Comercio, esq.Talavera, Pto Fijo Punto Fijo, Venezuela";"Aire Acondicionado"
"REFRIAUTO J.V C.A.";"";"Telefax: (58) (276) 3467411";"Av. Principal Barrio Las Flores, Quinta Villa Marina, La Concordia San Cristóbal, Venezuela";"Aire Acondicionado"
"SERDECOIN C.A";"";"Tel: (58) (251) 4430565";"Calle 60 Entre Av. Fuerzas Armadas Y Carrera 11, No 10-102 Barquisimeto, Venezuela";"Aire Acondicionado"
"AUTO REFRIGERACION ALBERTO C.A.";"";"Tel: (58) (261) 7213214";"Bella Vista Maracaibo, Venezuela";"Aire Acondicionado"
"INVERSIONES PACO ICE 2004";"";"Tel: (58) (239) 2315958";"Cl. San Rafael No. 9, Los Pinos Santa Teresa, Venezuela";"Aire Acondicionado"
"REFRIGERACION AMERICA BARINAS C.A.";"";"Telefax: (58) (251) 4467629";"Av Venezuela entre Calles 40 y 41 Barquisimeto, Venezuela";"Aire Acondicionado"
"SISTEMAS DE REFRIGERACIÓN CANAL, C.A.";"";"Tel: (58) (261) 7234303";"Sector Cañada Honda Maracaibo, Venezuela";"Aire Acondicionado"
"FRIO SISTEMAS SERVICIOS C.A.";"";"Tel: (58) (251) 2735109";"Av.Libertador.Esq. Calle 27. Edif. Simalí, Barquisimeto. Edo.Lara Barquisimeto, Venezuela";"Aire Acondicionado"
"CORPOTECH DE VENEZUELA, C.A.";"";"Tel: (58) (261) 7592221";"Cl. 71 Nú 15b-22, Qta. Araguaney Sector Universitario Maracaibo, Venezuela";"Aire Acondicionado"
"PARKING CARS MULTISERVICIOS C.A";"";"Tel: (58) (243) 7111789";"Cl Páez Entre 5 De Julio Y Sucre, Maracay Maracay, Venezuela";"Aire Acondicionado"
"IECA C.A.";"";"Tel: (58) (281) 2773409";"Calle E,Z Ind. Los Montones Barcelona, Venezuela";"Aire Acondicionado"
"MAXFRIO CAGUA C.A";"";"Tel: (58) (244) 3964046";"Cl Independencia Norte No. 104 Frente Al Bancaribe, Cagua Cagua, Venezuela";"Aire Acondicionado"
"ESPECIALISTAS DEL FRIO C.A";"";"Tel: (58) (243) 5110625";"Av Constitución No. 57 Sector San Agustín Con Cl Jay Maracay, Venezuela";"Aire Acondicionado"
"FRIOCARS";"";"Tel: (58) (261) 7410049";"Av.3F No.56-89, Galpon Friocars, Maracaibo Maracaibo, Venezuela";"Aire Acondicionado"
"SERVIAIRE, C.A.";"";"Tel: (58) (251) 2329422";"Carreras 28 y 29, Nro.28-68b Cl.36 Barquisimeto, Venezuela";"Aire Acondicionado"
"DISTRIBUIDORA CHACAO XXI, C.A.";"";"Telefax: (58) (212) 7935768";"Urb. Maripérez, Av. Trujillo Con 1ù Transversal (Paralelo Av. Principal De Maripérez), Caracas Caracas, Venezuela";"Aire Acondicionado"
"FRIOTED";"";"Tel: (58) (261) 7864487";"Nueva Via- Maracaibo Maracaibo, Venezuela";"Aire Acondicionado"
"MULTISERVICIO DE REFRIGERACION AUTOMOTRIZ LM";"";"Tel: (58) (261) 3418264";"Cr.14 Entre Cl9-10 No.9-5 Maracaibo, Venezuela";"Aire Acondicionado"
"SIAR CA";"";"Tel: (58) (281) 2653735";"Calle Carabobo Puerto de  la Cruz, Venezuela";"Aire Acondicionado"
"CLIMA AMBIENTE C.A";"";"Tel: (58) (243) 2464262";"Cl San José No. 63-5 Barrio Libertad Dg Con Av Los Cedros Maracay, Venezuela";"Aire Acondicionado"
"REFRIGERACIÓN NIÑO IMPORT";"";"Tel: (58) (282) 4222843";"Cl.Urpin Anaco, Venezuela";"Aire Acondicionado"
"ALCEN, C.A.";"";"Tel: (58) (251) 2332934";"Cl.22 E/ Cr23 y 24 -Bqto Barquisimeto, Venezuela";"Aislamientos Térmicos"
"POLIPANEL EMA, S.A.";"";"Tel: (58) (212) 9933360";"Av. Veracruz Con Av. Río De Janeiro, Torre Orinoco, Piso 5, Ofic. B, Las Mercedes Caracas, Venezuela";"Aislamientos Térmicos"
"NEVEFRIO C.A.";"";"Tel: (58) (212) 9440575";"Av. San Sebastián, Galpón No.80, Local PB, La Trinidad Caracas, Venezuela";"Aislamientos Térmicos"
"CONSORCIO TERMICO";"";"Tel: (58) (241) 8783364";"Cl D Zona Ind El Recreo Valencia, Venezuela";"Aislamientos Térmicos"
"JASPE MONTAJES TERMOAISLANTES";"";"Telefax: (58) (212) 2328356";"Caracas Caracas, Venezuela";"Aislamientos Térmicos"
"CORPORACIÓN TERMO CONTROL, C.A.";"";"Telefax: (58) (212) 9854325";"Caracas Caracas, Venezuela";"Aislamientos Térmicos"
"INSTALACIONES TÉRMICAS AB C.A.";"";"Tel: (58) (245) 4151801";"Urb El Cardonal, Calle Victoria, Guacara, Edo. Carabobo Guacará, Venezuela";"Aislamientos Térmicos"
"UNIFRAX VENEZUELA C.A";"";"Tel: (58) (245) 5646368";"Guacara Guacará, Venezuela";"Aislamientos Térmicos"
"SUPLITEC, C.A.";"";"Tel: (58) (212) 6934207";"Av. Ingeniería Edif. No. 9, Pb Valle Abajo Caracas, Venezuela";"Aislamientos Térmicos"
"MATERIALES TECNICOS MATECA C.A";"";"Tel: (58) (241) 8593262";"CALLE LIBERTAD # 89-76 SAN BLAS Valencia, Venezuela";"Aislamientos Térmicos"
"FIBRAS FIVENGLASS C.A";"";"Tel: (58) (244) 3223423";"Urb. Industrial Soco Cl. Norte La Victoria, Edo. Aragua La Victoria, Venezuela";"Aislamientos Térmicos"
"MON-MAR C.A";"";"Tel: (58) (241) 5812097";"Av Ppal Las Manzanas Gl 34 Campo Carabobo Valencia, Venezuela";"Aislamientos Térmicos"
"PLOMERÍA ANAUCO S.R.L.";"";"Tel: (58) (212) 5511896";"San Bernardino Caracas, Venezuela";"Albañileria"
"PLOMEROS S.O.S. PLOMERÍA EN GENERAL";"";"Tel: (58) (212) 7312113";"Cl. San José, Chapellín Caracas, Venezuela";"Albañileria"
"LIMSERVI C.A";"";"Tel: (58) (212) 6335249";"Av Maria Teresa Toro, Qta Cabrini Parte Alta Urb Las Acacias Caracas, Venezuela";"Albañileria"
"SERVICIO RAMOS E HIJOS C.A. - PLOMERIA";"";"Tel: (58) (212) 7935728";"Av. La Colina, Cnas De Los Caobos Caracas, Venezuela";"Albañileria"
"PLOMERÍA HENVEZ, C.A.";"";"Tel: (58) (212) 5432116";"Esq. De Palmita, Quinta Crespo Caracas, Venezuela";"Albañileria"
"PLOMERIA PLUS";"";"Tel: (58) (212) 7937104";"Caracas Caracas, Venezuela";"Albañileria"
"DOG©S HOUSE LA ROSA JR, C.A.";"";"Tel: (58) (212) 3411369";"La Rosa Guatire, Venezuela";"Alimentos Para Animales"
"NUVECA";"";"Tel: (58) (212) 3343885";"Av. Ppal., Zona Ind. Guayas Caracas, Venezuela";"Alimentos Para Animales"
"AGROAVÍCOLA VILLA EROICA, C.A.";"";"Tel: (58) (212) 3442003";"Av Villa Heroica Guatire, Venezuela";"Alimentos Para Animales"
"ALIMENTOS LA CARIDAD C.A";"";"Tel: (58) (243) 2000100";"Av Sexta La Soledad Maracay, Venezuela";"Alimentos Para Animales"
"MASCOTAS PET SHOP";"";"Tel: (58) (274) 2666170";"Av. L Americas Humbolt Mérida, Venezuela";"Alimentos Para Animales"
"AGROPECUARIA CARRIZAL C.A.";"";"Tel: (58) (212) 3830908";"Carrizal Carrizal, Venezuela";"Alimentos Para Animales"
"MINIDEPÓSITOS LOS RUICES SUR";"";"Tel: (58) (212) 2581074";"Prolongación Av. Milán Zona Industrial La California Sur Caracas, Venezuela";"Alimentos Para Animales"
"AGROBUEYCA S.A";"";"Tel: (58) (243) 2619094";"Parcela A-006 Av 3 Zona Ind. Santa Cruz Santa Cruz de Aragua, Venezuela";"Alimentos Para Animales"
"CONCENTRADOS COLACA, C.A.";"";"Tel: (58) (251) 2690207";"Calle 3,Entre Carreras 2 y 3 Cl. 3, Zona Industrial III Barquisimeto, Venezuela";"Alimentos Para Animales"
"AGROPECUARIA EL JUNCO, C.A.";"";"Tel: (58) (276) 3943309";"Calle 5 Local 13-5. Monseñor Birceño Tariba, Venezuela";"Alimentos Para Animales"
"MASCOTAS DE VENEZUELA, C.A.";"";"Tel: (58) (212) 4421651";"Av Intercomunal, Antímano Caracas, Venezuela";"Alimentos Para Animales"
"MINI BRUNO SUCESORES, C.A.";"";"Tel: (58) (212) 4335895";"Carretera Vieja Caracas - Los Teques Sector Río Cristal - Macarao Caracas, Venezuela";"Alimentos Para Animales"
"CONCENTRADOS CARIBE PROCRIA, C.A.";"";"Tel: (58) (275) 8813101";"Av. 15 El Vigía, Venezuela";"Alimentos Para Animales"
"AGROPECUARIA LOS MOLINOS, S.A.";"";"Tel: (58) (261) 7354948";"Vía A Perijá Maracaibo, Venezuela";"Alimentos Para Animales"
"NUTRIMIENTOS BARBEITO, C.A.";"";"Tel: (58) (212) 3444427";"Av Villa Heroica Guatire, Venezuela";"Alimentos Para Animales"
"CANORA";"";"Tel: (58) (249) 2124871";"Zona Industrial, No. 2 Las Filas, Carretera Cúa - Ocumare Del Tuy, Municipio Cúa Dtto. Urdaneta, Edo. Miranda Miranda, Venezuela";"Alimentos Para Animales"
"SIPROAGRO C.A";"";"Telefax: (58) (241) 8783302";"Zona Ind. El Recreo, Valencia Parcela 24-A Local 1 Valencia, Venezuela";"Alimentos Para Animales"
"INDUSTRIA NACIONAL DE ALIMENTOS C.A";"";"Tel: (58) (241) 8532677";"Sn Luis A 50 Mts Del Mercado M. Nueva Valencia Valencia, Venezuela";"Alimentos Para Animales"
"INDUSTRIAS FRAVI C.A";"";"Tel: (58) (243) 2694875";"Prolongación Av Aragua La Morita I Maracay, Venezuela";"Alimentos Para Animales"
"ALIMENTOS SANSÓN C.A";"";"Tel: (58) (243) 2455821";"Carrt Nacional Cagua, Bella Vista Maracay, Venezuela";"Alimentos Para Animales"
"MULTICENTRO DEL AGRO C.A.";"";"Tel: (58) (291) 6423679";"Av. Libwertador Brisas Del Orinoco Maturín, Venezuela";"Alimentos Para Animales"
"TALLER TENDENCIAS Y DISEÑOS LANZ, C.A.";"";"Tel: (58) (286) 9231119";"Castillito Ciudad Guayana San Félix, Venezuela";"Alimentos Precocidos"
"ULTIMATE PRODUCCION";"";"Telefax: (58) (212) 9930675";"Cl. Madrid Con Caroní, Edf. Jack P. 1. Ofc. 7. Las Mercedes- Caracas Caracas, Venezuela";"Alquiler De Data Show"
"COOPERATIVA CONSTRUYA 2021 R.L";"";"Tel: (58) (212) 4122439";"Km 21 Vía Caracas Junquito Local No. 22, Mi Ranchito , El Junquito Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"MAQUINARIAS OLIMPO C.A";"";"Tel: (58) (212) 2390113";"Los Ruices Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"RENT-ARAGUA, C.A.";"";"Tel: (58) (243) 2477120";"Av Constitución Vargas Maracay, Venezuela";"Alquiler De Equipos Para Construcción"
"MAQUINARIAS DE CONSTRUCCIÓN MACO";"";"Tel: (58) (251) 2736883";"Cl 24 Barquisimeto, Venezuela";"Alquiler De Equipos Para Construcción"
"VENEQUIP S.A";"";"Tel: (58) (212) 2571311";"Los Ruices Sur Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"MAQUINARIAS BARLOVIA C.A";"";"Tel: (58) (212) 4826802";"El Paraíso Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"IMPORTADORA LAS GEMELAS,C.A.";"";"Tel: (58) (261) 6140928";"Av. 28 La Limpia, La Limpia Maracaibo, Venezuela";"Alquiler De Equipos Para Construcción"
"CONSTRUCTORA MANT BRACA, C.A.";"";"Tel: (58) (261) 7625452";"El Peru Maracaibo, Venezuela";"Alquiler De Equipos Para Construcción"
"MAQUINARIAS ALQUI-RETRO C.A";"";"Telefax: (58) (212) 9440198";"Av San Sebastian Qta Olga La Trinidad Baruta, Caracas Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"MAQUINARIA RENTAL SERVICES, C.A.";"";"Tel: (58) (243) 2690761";"Av Intercomunal Maracay, Venezuela";"Alquiler De Equipos Para Construcción"
"TRANSPORTE TMC RUBER C.A";"";"Tel: (58) (212) 8713667";"Cl Panamericana Entre Chile Y Bolivia No. 52 Catia, Caracas Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
