"CAUCHOS LEMANS, C.A.";"";"Tel: (58) (212) 7538212";"Av Ppal Cnas De Bello Monte, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"ELECTRO FRIO BARQUISIMETO, C.A.";"";"Tel: (58) (251) 2376235";"Zona Industrial I Barquisimeto, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS PANAMERICANA 1, C.A.";"";"Tel: (58) (212) 3710327";"C.C. Los Llaneros, San Antonio De Los Altos San Antonio De Los Altos, Venezuela";"Aditamentos Para Vehículos"
"MULTISERVICIOS TODO RIN, C.A.";"";"Tel: (58) (212) 8725219";"Calle Chile, Catia, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS EL GALLO LUCHO, S.R.L.";"";"Tel: (58) (212) 2341955";"Av R Gallegos, L Dos Caminos, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"FRIO PARTES VENEZUELA C.A.";"";"Telefax: (58) (255) 6211331";"C.C. Ciudad Acarigua, Calle 32, entre Avs. 38 y 39, Local 10 Acarigua Acarigua, Venezuela";"Aditamentos Para Vehículos"
"SERVICAUCHOS FUTURTUY, C.A.";"";"Tel: (58) (212) 2489526";"Av Cristóbal Rojas, Charallave Caracas, Venezuela";"Aditamentos Para Vehículos"
"VENCAUCHOS, C.A.";"";"Tel: (58) (243) 2356956";"Cl. Los Cedros Maracay, Venezuela";"Aditamentos Para Vehículos"
"SERVICAUCHOS EL PROGRESO, C.A.";"";"Tel: (58) (212) 9459824";"Cl Sucre, Baruta, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"INDARTELCA";"";"Tel: (58) (212) 4033661";"Av. Ppal. Zona Industrial Ruíz Pineda, Caricuao (Centro Industrial Telares De Palo Grande) Caracas, Venezuela";"Aditamentos Para Vehículos"
"SUPER CAUCHOS MARIPEREZ C.A.";"";"Tel: (58) (212) 7933228";"Av Andres Bello, Maripérez, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"ELECTRONICA TATO C.A";"";"Tel: (58) (243) 2323272";"Av Las Delicias C.C La Soledad Maracay, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS ACCESORIOS CLUB DE CAMPO C.A.";"";"Tel: (58) (212) 3737862";"Km 16, Club De Campo Cte Panamericana, S Antonio De L Altos San Antonio De Los Altos, Venezuela";"Aditamentos Para Vehículos"
"DISTRIBUIDORA MP, C.A.";"";"Tel: (58) (243) 2467450";"Cl Mariño Sur Maracay, Venezuela";"Aditamentos Para Vehículos"
"NEVOCAR C.A";"";"Telefax: (58) (243) 2466326";"Cl Páez Este No. 53 Entre 5 De Julio Y Sucre, Maracuay Maracay, Venezuela";"Aditamentos Para Vehículos"
"SIAR CA";"";"Tel: (58) (281) 2653735";"Calle Carabobo Puerto de  la Cruz, Venezuela";"Aditamentos Para Vehículos"
"DISTRIBUIDORA DE RADIADORES EL ESTAÑO C.A.";"";"Tel: (58) (241) 8356754";"Av. Lisandro Alvarado Valencia, Venezuela";"Aditamentos Para Vehículos"
"BALASH C.A";"";"Tel: (58) (243) 2464924";"No. 78, Av Santos Michelena Oeste Maracay, Venezuela";"Aditamentos Para Vehículos"
"COMERCIAL AEROPUERTO DEL TUY, C.A.";"";"Tel: (58) (239) 2256316";"Av Ribas, Ocumare Del Tuy Ocumare del Tuy, Venezuela";"Aditamentos Para Vehículos"
"SERTECA CAUCHOS MORICHAI, C.A";"";"Tel: (58) (244) 3215356";"Frente Al Centro Comercial Morichal La Victoria, Venezuela";"Aditamentos Para Vehículos"
"MULTISERVICIOS JEMA EL TAMBOR, C.A.";"";"Tel: (58) (212) 3227445";"Av Pedro Russo Ferrer, Los Teques Los Teques, Venezuela";"Aditamentos Para Vehículos"
"LA FERIA DE LAS ALARMAS";"";"Tel: (58) (286) 9232533";"Av.Pricipal De Castillo Con Calle Oriente Ciudad Guayana San Félix, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS Y FRENOS CAPRICORNIO, C.A.";"";"Tel: (58) (212) 3230945";"Calle El Roscio, Los Teques Los Teques, Venezuela";"Aditamentos Para Vehículos"
"CAUCHERA LOS TEQUES, S.R.L.";"";"Tel: (58) (212) 3225460";"Av Bicentenario El Barbecho, Los Teques Los Teques, Venezuela";"Aditamentos Para Vehículos"
"EL PÁRAMO";"";"Tel: (58) (261) 7831105";"Maracaibo Maracaibo, Venezuela";"Aditamentos Para Vehículos"
"REENCAUCHADORA EL CARDON";"";"Tel: (58) (212) 3325203";"Av Soublette, La Guaira, Maiquetía Caracas, Venezuela";"Aditamentos Para Vehículos"
"COMERCIAL FORRAUTOS";"";"Tel: (58) (276) 7714711";"La Lagunita San Antonio del Táchira, Venezuela";"Aditamentos Para Vehículos"
"SMART (INVERSIONES 202122 S.A.)";"";"Tel: (58) (212) 9451900";"Av La Colina, C.C. Las Colinas, Nivel E2, Los Samanes, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS JT TODO CAUCHO LA VICTORIA";"";"Tel: (58) (244) 3213220";"Centro-l Victoria La Victoria, Venezuela";"Aditamentos Para Vehículos"
"LA BOVEDA";"";"Tel: (58) (243) 2693482";"Av Intercomunal, Caprotana Maracay, Venezuela";"Aditamentos Para Vehículos"
"LA BOVEDA, C.A.";"";"Tel: (58) (285) 6544031";"Cl.Urbina Negro Primero Ciudad Bolivar, Venezuela";"Aditamentos Para Vehículos"
"SERVICAUCHOS LOS CORTIJOS C.A.";"";"Tel: (58) (212) 2383690";"Los Ctjos De Lourdes Caracas, Venezuela";"Aditamentos Para Vehículos"
"REPUESTOS AIRE ACONDICIONADO AUTOMOTRIZ C.A";"";"Tel: (58) (241) 8597768";"Av Lara, San Blas Valencia, Venezuela";"Aditamentos Para Vehículos"
"SERVICIOS TECNICOS NARDO";"";"Tel: (58) (281) 2670154";"Av.Constitución Puerto de  la Cruz, Venezuela";"Aditamentos Para Vehículos"
"DISTRIBUIDORA CANELÓN, C.A.";"";"Tel: (58) (241) 3423177";"Av Rómulo Gallegos, Edif. Valle Verde, Valle De La Pascua, Valencia Valencia, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS ALTAMIRA, C.A.";"";"Tel: (58) (212) 2656623";"Av San Juan Bosco, 2da. Transv. Esquina San Felipe Altamira, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"CLIMACORD";"";"Tel: (58) (255) 6218370";"Av 5 de Diciembre Acarigua-Araure Local Nro 15 Acarigua, Venezuela";"Aditamentos Para Vehículos"
"INGOZMIL, C.A.";"";"Tel: (58) (286) 9226993";"Av.Vía Colombia, Villa Alianza Ciudad Guayana San Félix, Venezuela";"Aditamentos Para Vehículos"
"UKE SONIDO- SEGURIDAD";"";"Tel: (58) (251) 2552963";"Av Lara Barquisimeto, Venezuela";"Aditamentos Para Vehículos"
"LÍDER FRÍO";"";"Tel: (58) (255) 4463555";"Carrera 19, Esquina Calle 46 Acarigua, Venezuela";"Aditamentos Para Vehículos"
"SERTECA LA URBINA, C.A.";"";"Tel: (58) (212) 2426819";"Zona Industrial La Urbina, Calle 10 (Al Lado Del Arturo's), Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"CAUCHO CENTRO BLANDÍN, C.A.";"";"Tel: (58) (212) 2637238";"Av Sta. Teresa De Jesús, La Castellana, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"MULTISERVICIOS PIT EXPRESS, C.A.";"";"Tel: (58) (212) 3641459";"Calle Ribas, Fte A La Torre Chocolate El Pueblo, Los Teques, Edo. Miranda Los Teques, Venezuela";"Aditamentos Para Vehículos"
"AUTORAMA";"";"Tel: (58) (212) 9520635";"Av Pichincha Con Av Tamanaco, No. 11-1 Quinta Las Marías, El Rosal, Caracas1060 Caracas, Venezuela";"Aditamentos Para Vehículos"
"CAUCHERA J.E. PEREZ, S.R.L.";"";"Tel: (58) (212) 9613503";"Calle El Progreso Nro. 4 El Hatillo, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"CECAVEN CENTRO CAUCHO C.A.";"";"Tel: (58) (257) 2530018";"Avenida Simos Bolivar, C.C. Rusinca, Local 1, Frente A La Estacion De Ser vicio Los Caminos Guanare, Venezuela";"Aditamentos Para Vehículos"
"FRIO K";"";"Tel: (58) (251) 2328170";"Calle 29 Barquisimeto, Venezuela";"Aditamentos Para Vehículos"
"ACCESORIOS Y LUBRICANTES MACAR'S C.A";"";"Tel: (58) (243) 2183054";"Cl Las Palmas, Maracay Maracay, Venezuela";"Aditamentos Para Vehículos"
"TU AIRE CAR'S C.A";"";"Tel: (58) (243) 2693137";"Cl Bicentenario No. 17 Detrás Del Bco. Exterior, Av Intercomunal Maracay, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS EL PROGRESO, C.A.";"";"Tel: (58) (243) 2830432";"Edificio Mini Pb. Local A Y B El Limón Maracay, Venezuela";"Aditamentos Para Vehículos"
"ALARMAS CAR'S C.A";"";"Tel: (58) (243) 2356903";"C.C Maracay Plaza Maracay, Venezuela";"Aditamentos Para Vehículos"
"SUMINISTROS F P REPUESTOS C.A";"";"Tel: (58) (243) 2180147";"Av Los Cedros Local No. 102-A Entre Junín Y San Ignacio, Maracay Maracay, Venezuela";"Aditamentos Para Vehículos"
"MOVIL CENTER CHUAO, C.A.";"";"Telefax: (58) (212) 9912932";"Av Río De Janeiro, Frente Al Aeropuerto La Carlota, Chuao, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"AUTO TODO GC, C.A.";"";"Tel: (58) (212) 5412341";"Final Av Páez, El Paraíso, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"INDUSTRIAL REFRIMAQ C.A.";"";"Tel: (58) (261) 7437954";"Maracaibo Maracaibo, Venezuela";"Aditamentos Para Vehículos"
"AUTO ALARMAS ANACONDA";"";"Tel: (58) (295) 2643629";"Calle Narvaez Porlamar Entre Larez Y Guilarte Porlamar, Venezuela";"Aditamentos Para Vehículos"
"MULTISERVICIOS PANOFRE, C.A.";"";"Tel: (58) (212) 3223404";"Calle Miranda, Esq. Ricaurte, Nú 10, Los Teques, Edo. Miranda Los Teques, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS INDIANÁPOLIS, C.A.";"";"Tel: (58) (212) 6936045";"Av Roosevelt, C.C. Cada Local 1, Los Rosales, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"CAUCHERA ELOY SRL";"";"Tel: (58) (246) 8711208";"Cl. Final De Carrera 14 Calabozo , Venezuela";"Aditamentos Para Vehículos"
"SERVICAUCHO PALERMO, C.A.";"";"Tel: (58) (212) 3516936";"Calle 11, Atlántida I, Maiquetía Caracas, Venezuela";"Aditamentos Para Vehículos"
"MULTISERVICIOS EL TAMBOR MF, C.A.";"";"Tel: (58) (212) 3646555";"El Tambor, Los Teques Los Teques, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS CALIFORNIA, C.A.";"";"Tel: (58) (212) 2716680";"Av San Fco C Callej Ajuro La California Norte, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"FACTORY DIRECT SERCIVE";"";"Tel: (58) (291) 2342539";"Republica Dominicana de Venezuela Maturín, Venezuela";"Aditamentos Para Vehículos"
"RONNY FRIO, C.A.";"";"Tel: (58) (283) 2411578";"Av.Intercomunal El Tigre, Venezuela";"Aditamentos Para Vehículos"
"BETA CAUCHOS, S.R.L.";"";"Tel: (58) (212) 9522383";"Av Venezuela, Bello Monte, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"AFIANZADORA VENEZUELA LOS ANAUCOS, C.A.";"";"Tel: (58) (212) 2669215";"Av. San Juan Bosco, Altamira Edif. 05-04, Piso 3, Ofic. 3-B Caracas, Venezuela";"Afianzadoras"
"OUTSIDER SERVICES E.T.T., C.A.";"";"Tel: (58) (251) 2524315";"Edif Rainha, Santa Isabel, P.1, Ofic. 1 Carr. 21, E/Cls 10 y 11 Barquisimeto, Venezuela";"Agencias De Empleo"
"BETTY PEÑA C.A.";"";"Tel: (58) (212) 5644168";"Av Urdaneta Edif Protexo Caracas, Venezuela";"Agencias De Empleo"
"ASESORES DE EMPLEO R. LORETO";"";"Tel: (58) (212) 8320261";"Av Internacional, Buenaventura Caracas, Venezuela";"Agencias De Empleo"
"LA CASA DEL AGUARDIENTE C.A";"";"Tel: (58) (276) 3420806";"Cr 3 Entre Cl 11 Y 12, 11-46, La Ermita San Cristóbal, Venezuela";"Aguardiente"
"SERVICIOS INDUSTRIALES ROMAN, C.A.";"";"Tel: (58) (241) 9412998";"Deposito Valencia, Venezuela";"Aire Comprimido"
"SOLO ALERGIAS, C.A.";"";"Tel: (58) (212) 2840264";"Centro Plaza, Nivel 3, Paseo Vereda Loc. C77. Los Palos Grandes Caracas, Venezuela";"Alergias"
"VENEGAS T, ROSALBA";"";"Tel: (58) (212) 4711147";"Cl. 3, Vista Alegre Caracas, Venezuela";"Alergias"
"ALMACENES TROPICAL";"";"Tel: (58) (276) 7714166";"Cll. 5, No 4-19 diagonal a la Av. Venezuela San Antonio del Táchira, Venezuela";"Almacenes"
"ALMACENES BARCELONA";"";"Tel: (58) (212) 3329314";"Cl Los Maestros, Maiquetia Caracas, Venezuela";"Almacenes"
"ALMACENES PAPAYA";"";"Tel: (58) (212) 3231549";"Cl Miquilen, L Teques Caracas, Venezuela";"Almacenes"
"ALMACENES NINOSKA";"";"Tel: (58) (212) 8605263";"Gradillas a San Jacinto-Edif.Gradillas,Locs.7 y 8 Caracas, Venezuela";"Almacenes"
"ALMACENES ORBE";"";"Tel: (58) (212) 5645457";"San Jacinto a Dr.Paúl, Edif. Orbe No.41,Urb.Catedral ,Caracas Caracas, Venezuela";"Almacenes"
"ALMACENES TOLEDO";"";"Tel: (58) (212) 8601577";"San Jacinto, Catedral Caracas, Venezuela";"Almacenes"
"ALMACENES LOS MOROCHOS C.A.";"";"Tel: (58) (261) 7983155";"Av. 8, No.69-78 Maracaibo, Venezuela";"Almacenes"
"ALMACENES MINUETTO, C.A.";"";"Tel: (58) (251) 2557467";"C.C.Rio Lama, Nivel Av Lara, Local 23 El Pedregal Barquisimeto, Venezuela";"Almacenes"
"ALMACENES JEYRA, C.A.";"";"Tel: (58) (212) 2663913";"Av. Mohedano, Chacao Edif. San Onofre, Chacao Caracas, Venezuela";"Almacenes"
"ALMACENES LA URDANETA IMPORT";"";"Tel: (58) (212) 5611803";"Av. Urdaneta Pelota A Punceres La Candelaria Caracas, Venezuela";"Almacenes"
"ALMACENES SIMEÓN CA";"";"Tel: (58) (212) 5729965";"Av.Urdaneta,Esq.Platanal Edificio Luz,Caracas Caracas, Venezuela";"Almacenes"
"ALMACENES LEDUC C.A.";"";"Tel: (58) (212) 9599269";"Av. L Estancia Chuao Caracas, Venezuela";"Almacenes"
"ALMACENES ACAPULCO, C.A.";"";"Tel: (58) (286) 9743720";"Cl Sucre Ciudad Guayana San Félix, Venezuela";"Almacenes"
"ALMACENES PATRICIA,C.A.";"";"Tel: (58) (212) 8621955";"Gradilla Catedral Caracas, Venezuela";"Almacenes"
"ALMACENES NEW YORK & NEW YORK";"";"Tel: (58) (212) 5642766";"Av. Urdaneta Pelota A Marronon Caracas, Venezuela";"Almacenes"
"HOTELES GUARAPO";"";"Tel: (58) (241) 8605600";"Av. Universidad Valencia, Venezuela";"Alojamientos"
"HOTEL LA VEGA";"";"Tel: (58) (246) 8712263";"Calabozo Calabozo , Venezuela";"Alojamientos"
"ESTANCIA SAN FRANCISCO";"";"Tel: (58) (212) 4162000";"Cl. Via El Valle Alto Viento Caracas, Venezuela";"Alojamientos"
"GRAN HOTEL LOS MORROS";"";"Tel: (58) (246) 4317401";"Carretera Nacional San Juan de Los Morros, Venezuela";"Alojamientos"
"DINASTIA HOTEL";"";"Tel: (58) (241) 8589974";"Av. Urdaneta Con Av. Cedeño Paralela Av. Bolivar Norte Valencia, Venezuela";"Alojamientos"
"GRUPO HTS C.A";"";"Telefax: (58) (212) 7192410";"Av. Venezuela El Rosal Caracas, Venezuela";"Alojamientos"
"PLAZA PALACE HOTEL";"";"Tel: (58) (212) 7624827";"Las Delicias De Sabana Grande Av. Los Mangos Caracas, Venezuela";"Alojamientos"
"HOTEL JOLLY, C.A.";"";"Tel: (58) (251) 2524670";"Av Moran,E/Crs 23 y 24 Barquisimeto, Venezuela";"Alojamientos"
"ESTANCIA LA CAÑADA";"";"Tel: (58) (212) 9637951";"Cl A3 - 2 La Lagunita Caracas, Venezuela";"Alojamientos"
"HOTEL NILSON";"";"Tel: (58) (212) 7811555";"Av. La Salle Los Caobos Caracas, Venezuela";"Alojamientos"
"ARBOLEDA INN SUITES & SPA";"";"Tel: (58) (261) 7253000";"Av. 4 Bella Vista No. 87 - 125 Maracaibo - Venezuela Maracaibo, Venezuela";"Alojamientos"
"HOTEL AMERICAN CITY, C.A.";"";"Tel: (58) (291) 6517689";"Av Bella Vista, Maturin Maturín, Venezuela";"Alojamientos"
"HOTEL LAS TRUCHAS";"";"Tel: (58) (271) 8289158";"Ct Trasandina Timotes, Venezuela";"Alojamientos"
"MARGARITA PRINCESS SUITES HOTEL";"";"Tel: (58) (295) 2618732";"Av.4 De Mayo Porlamar Porlamar, Venezuela";"Alojamientos"
"COMPLEJO TURÍSTICO GUAMA, C.A.";"";"Tel: (58) (254) 5610270";"Ct Panamericana Guama, Venezuela";"Alojamientos"
"POSADA TROPICANA";"";"Telefax: (58) (212) 2211193";"Los Roques Caracas, Venezuela";"Alojamientos"
"HOTEL ROYAL PALACE, C.A.";"";"Tel: (58) (291) 6438822";"Av Bolívar, Centro, Maturín Maturín, Venezuela";"Alojamientos"
"POSADA PASEO LA CHIRIRI";"";"Tel: (58) (277) 2910157";"San Pedro Del Río Colón, Venezuela";"Alojamientos"
"HOTEL AUGUSTA, C.A.";"";"Tel: (58) (289) 9951654";"Cl Bolivar, Centro Santa Elena de Uairén, Venezuela";"Alojamientos"
"HOTEL OASIS GARDEN, C.A.";"";"Tel: (58) (261) 7979582";"Santa Rita - Maracaibo Maracaibo, Venezuela";"Alojamientos"
"HOTEL GEMINIS, C.A.";"";"Tel: (58) (212) 4412206";"Cr.De La Costa, El Tejar La Guaira, Venezuela";"Alojamientos"
"HOTEL VILLA EL GRIEGO";"";"Tel: (58) (295) 2531507";"Nueva Esparta Juan Griego, Venezuela";"Alojamientos"
