"AUTO TALLER GRAN SASSO, S.R.L";"";"Telefax: (58) (241) 8313190";"La Candelaria Valencia, Venezuela";"Abogados - Asuntos Inmobiliarios"
"AUTO REFRIGERACIÓN MICHELENA C.A";"";"Tel: (58) (241) 8596047";"Cl Michelena, Libertador Valencia, Venezuela";"Aire Acondicionado Para Automotores"
"REPUESTOS AIRE ACONDICIONADO AUTOMOTRIZ C.A";"";"Tel: (58) (241) 8597768";"Av Lara, San Blas Valencia, Venezuela";"Aire Acondicionado Para Automotores"
"SUMINISTROS F P REPUESTOS C.A";"";"Tel: (58) (243) 2180147";"Av Los Cedros Local No. 102-A Entre Junín Y San Ignacio, Maracay Maracay, Venezuela";"Aire Acondicionado Para Automotores"
"TU AIRE CAR'S C.A";"";"Tel: (58) (243) 2693137";"Cl Bicentenario No. 17 Detrás Del Bco. Exterior, Av Intercomunal Maracay, Venezuela";"Aire Acondicionado Para Automotores"
"INVERSIONES TRIPLE A, C.A.";"";"Tel: (58) (251) 2730334";"Av. Carabobo Número 31-93., Barquisimeto Barquisimeto, Venezuela";"Aire Acondicionado Para Automotores"
"FACTORY DIRECT SERCIVE";"";"Tel: (58) (291) 2342539";"Republica Dominicana de Venezuela Maturín, Venezuela";"Aire Acondicionado Para Automotores"
"INPERCA";"";"Tel: (58) (261) 7361737";"Cl 140 No. 62-209, Zona Industrial Sur Maracaibo, Estado Zulia, CP-4009 Maracaibo, Venezuela";"Aire Acondicionado Para Automotores"
"LÍDER FRÍO";"";"Tel: (58) (255) 4463555";"Carrera 19, Esquina Calle 46 Acarigua, Venezuela";"Aire Acondicionado Para Automotores"
"REFRIGERACIÓN EL TEIDE, C.A.";"";"Tel: (58) (295) 2742078";"Av.Ppal De Concejeros Cruce Con Calle, Charaima Porlamar Porlamar, Venezuela";"Aire Acondicionado Para Automotores"
"CAR'S COOL C.A";"";"Tel: (58) (241) 8585237";"Av Cedeño Valencia, Venezuela";"Aire Acondicionado Para Automotores"
"FITTING AIRES";"";"Tel: (58) (251) 2321954";"Carrera 24 entre 29 y 30, Barquisimeto Estado Lara Barquisimeto, Venezuela";"Aire Acondicionado Para Automotores"
"SERVICIOS TECNICOS NARDO";"";"Tel: (58) (281) 2670154";"Av.Constitución Puerto de  la Cruz, Venezuela";"Aire Acondicionado Para Automotores"
"REFRIGERACIÓN AUTOMOTRIZ INCA C.A";"";"Tel: (58) (244) 4174909";"Cl Mariño A 20 Mts De Maveca, Cagua Cagua, Venezuela";"Aire Acondicionado Para Automotores"
"ESPECIALISTAS DEL FRIO C.A";"";"Tel: (58) (243) 5110625";"Av Constitución No. 57 Sector San Agustín Con Cl Jay Maracay, Venezuela";"Aire Acondicionado Para Automotores"
"DISTRIBUIDORA CHACAO XXI, C.A.";"";"Telefax: (58) (212) 7935768";"Urb. Maripérez, Av. Trujillo Con 1ù Transversal (Paralelo Av. Principal De Maripérez), Caracas Caracas, Venezuela";"Aire Acondicionado Para Automotores"
"AUTO FRIO ALASKA, C.A.";"";"Tel: (58) (212) 6321740";"C. El Colegio Con Av. Nva. Granada Prado De María Caracas, Venezuela";"Aire Acondicionado Para Automotores"
"MULTISERVIOS NENO CAR©S, C.A.";"";"Tel: (58) (241) 8670379";"Final Av. Universidad, Galón 211-50, A 30 Mts. De La Facultad De Ingener ia, Naguanagua Naguanagua, Venezuela";"Aire Acondicionado Para Automotores"
"FRIO K";"";"Tel: (58) (251) 2328170";"Calle 29 Barquisimeto, Venezuela";"Aire Acondicionado Para Automotores"
"COROVEN S.A.";"";"Tel: (58) (243) 5516423";"Zona Industrial San Vicente II, Av A. Entre Calles F y G, Maracay - Edo. Aragua Maracay, Venezuela";"Aire Acondicionado Para Automotores"
"AEROMETAL, C.A. / REJILLAS NACIONALES, C.A.";"";"Tel: (58) (212) 2562576";"Final Av. Tamanaco, Cl. La Tinaja, Edif. Isamal, Urb. El LLanito -Caracas Caracas, Venezuela";"Aire Acondicionado Para Automotores"
"EL PÁRAMO";"";"Tel: (58) (261) 7831105";"Maracaibo Maracaibo, Venezuela";"Aire Acondicionado Para Automotores"
"PARKING CARS MULTISERVICIOS C.A";"";"Tel: (58) (243) 7111789";"Cl Páez Entre 5 De Julio Y Sucre, Maracay Maracay, Venezuela";"Aire Acondicionado Para Automotores"
"RONNY FRIO, C.A.";"";"Tel: (58) (283) 2411578";"Av.Intercomunal El Tigre, Venezuela";"Aire Acondicionado Para Automotores"
"NEVOCAR C.A";"";"Telefax: (58) (243) 2466326";"Cl Páez Este No. 53 Entre 5 De Julio Y Sucre, Maracuay Maracay, Venezuela";"Aire Acondicionado Para Automotores"
"MAXFRIO CAGUA C.A";"";"Tel: (58) (244) 3964046";"Cl Independencia Norte No. 104 Frente Al Bancaribe, Cagua Cagua, Venezuela";"Aire Acondicionado Para Automotores"
"CLIMACORD";"";"Tel: (58) (255) 6218370";"Av 5 de Diciembre Acarigua-Araure Local Nro 15 Acarigua, Venezuela";"Aire Acondicionado Para Automotores"
"DROGUERÙA RIFAGAR, C.A.";"";"Telefax: (58) (212) 8606284";"Cl. La Loma #19, Manicomio Caracas, Venezuela";"Alcoholes"
"CORVEQUIM, C.A.";"";"Tel: (58) (212) 4716257";"Av. San MartÙn Cl. Uruguay Edif. Farm Italia, Urb. La Paz, Caracas Caracas, Venezuela";"Alcoholes"
"C.A. ARMCO VENEZOLANA";"";"Tel: (58) (212) 9935315";"Las Mercedes Caracas, Venezuela";"Alcoholes"
"DISTRIBUIDORA LUCY";"";"Telefax: (58) (212) 7617843";"Antigua Av Ppal. Jardínes Del Valle Entre Cl 8 Y 9, N12 Caracas, Venezuela";"Alcoholes"
"ALCOHOLES NACIONALES C.A";"";"Tel: (58) (241) 8782554";"Zona Ind. El Recreo, Valencia Valencia, Venezuela";"Alcoholes"
"EUROQUIM - SERVICIOS Y SOLUCIONES QUÙMICAS";"";"Telefax: (58) (212) 9857555";"Av. Ppal. de San Luis, Torre MayupÈn, Piso 2 Of. 2-1, El Cafetal Caracas, Venezuela";"Alcoholes"
"VACCUM SERVI CA";"";"Tel: (58) (241) 8574261";"Final de la Avenida Lara, entre Andres bello y escalona No147-41,Edificio Giraldo valencia-Estado Carabobo Valencia, Venezuela";"Alquiler De Baños Estacionarios Y Portátiles"
"DINAMIBAÑOS";"";"Telefax: (58) (212) 2436035";"La Urbina Caracas, Venezuela";"Alquiler De Baños Estacionarios Y Portátiles"
"AMPLIACIONES Y ACABADOS, C.A.";"";"Tel: (58) (251) 4411314";"Av. Pedro León Torres, e/Cls. 59 y 60 Barquisimeto, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MONTACARGAS COGUA S.R.L.";"";"Telefax: (58) (244) 4476954";"Carretera Nacional La Villa Cagua, Venezuela";"Alquiler De Maquinaria Y Equipos"
"SAMSA";"";"Tel: (58) (243) 2722992";"Zona Industrial La Hamaca Maracay, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MONTACARGAS TOYOTA 8FG/8FD";"";"Tel: (58) (271) 2311119";"Av. Bolivar,Sector el Country,Edif.Toyoandina,Valera,Edo trujillo Valera, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MAQUINARIAS CARDOZO S.R.L.";"";"Tel: (58) (212) 4519191";"Cl Granada San Martin Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"EL MUNDO DE LA OFICINA, C.A.";"";"Tel: (58) (291) 6421062";"Calle Monagas, Centro Maturín, Venezuela";"Alquiler De Maquinaria Y Equipos"
"COMPAIR KILLINGER ASESORIA TÉCNICA C.A";"";"Tel: (58) (212) 9765397";"Av Río Paragua Prados Del Este Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"GRUAS CORSA C.A";"";"Tel: (58) (243) 5537392";"Av.A Phillps San Vicente I Maracay, Venezuela";"Alquiler De Maquinaria Y Equipos"
"EXPOFICINA MATURIN, S.R.L.";"";"Tel: (58) (291) 6426054";"Av. Rivas Maturín, Venezuela";"Alquiler De Maquinaria Y Equipos"
"DINAMIBAÑOS";"";"Telefax: (58) (212) 2436035";"La Urbina Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MAQUINARIAS MASTROPASQUA C.A.";"";"Tel: (58) (243) 2474262";"Av. Mariño Syr, Ctro Emp. Uniaragua,Nivel Mezz, Ofic 8, Urb. San Miguel Maracay, Venezuela";"Alquiler De Maquinaria Y Equipos"
"VACCUM SERVI CA";"";"Tel: (58) (241) 8574261";"Final de la Avenida Lara, entre Andres bello y escalona No147-41,Edificio Giraldo valencia-Estado Carabobo Valencia, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MONTACARGAS GARCIA DE VENEZUELA, C.A.";"";"Tel: (58) (243) 8315095";"Av. Lisandro Alvardo Local 114-127-A Maracay, Venezuela";"Alquiler De Maquinaria Y Equipos"
"ALQUILERES MONTACARGAS C.A ALQUIMONCA";"";"Tel: (58) (212) 9433636";"Caracas Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"EL MUNDO DEL MONTACARGA C.A";"";"Telefax: (58) (241) 8252971";"Urb Sabana Larga Cl 128-A, Casa No. 107-111 Fte a C.C. Mediterranea Plaza Valencia, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MONTACARGAS ALVIC, C.A";"";"Tel: (58) (212) 6254590";"3era Call Prolongacion Zuloaga Loc 3 Los Rosales Caracas Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"INVERSIONES FRATELLI CICIOTTI C.A.";"";"Tel: (58) (241) 4058703";"Callejon Mañongo Naguanagua Naguanagua, Venezuela";"Alquiler De Maquinaria Y Equipos"
"VENECARGA DEL CENTRO C.A.";"";"Tel: (58) (241) 8389703";"3Zona Ind. Municipal Norte, Av Prolongacion Michelena, Galpon 90-D-E Valencia, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MONTACARGAS HERLAY, C.A.";"";"Tel: (58) (243) 6436264";"Av. Los Aviadores c/c Calle El Progreso No.75 Barrio 12 De Febrero Maracay, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MATERIALES, S.A.";"";"Tel: (58) (212) 7937825";"Av. Andrés Bello, Maripérez Fte. Al Pque. Aristides Rojas Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"TECNAVAL";"";"Tel: (58) (212) 2857822";"4ta Av Entre 8va Y 9na Trasv No 1106 Los Palos Grandes Caracas 1060 Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"VIEXPAND";"";"Tel: (58) (243) 2463415";"San Miguel Maracay, Venezuela";"Alquiler De Maquinaria Y Equipos"
"MAQUINARIAS CITATION S.A";"";"Tel: (58) (212) 78296866";"Esq Andres Bello Caracas, Venezuela";"Alquiler De Maquinaria Y Equipos"
"VIDEO XPLOD, C.A.";"";"Tel: (58) (212) 3713411";"Sn A de Los Altos, C.C. Don Blas Caracas, Venezuela";"Alquiler De Películas"
"MEGA VIDEO, C.A.";"";"Tel: (58) (286) 9620438";"C.C. La Churuata, P.B. Loc.29 y 30, Alta Vista Sur Ciudad Guayana Puerto Ordaz, Venezuela";"Alquiler De Películas"
"DALLA'S VIDEO CLUB";"";"Tel: (58) (286) 9315802";"Av Dalla Costa, Cc Icabaru Ciudad Guayana Puerto Ordaz, Venezuela";"Alquiler De Películas"
"MAXIM VIDEO CA";"";"Tel: (58) (251) 2520277";"C.C. Acuario, Loc. 3,E/Cl 13 y 14 Carrera 21 Barquisimeto, Venezuela";"Alquiler De Películas"
"UNIVERSAL VIDEOS";"";"Tel: (58) (281) 2863344";"Av. Ppal, Ctr. C. Ana, Loc 2-3 Lecherías, Venezuela";"Alquiler De Películas"
"SERVIPS. C.A.";"";"Tel: (58) (212) 2857896";"Caracas Caracas, Venezuela";"Andamios"
"EQUIPENSA SERVICIOS C.A.";"";"Tel: (58) (212) 5457033";"Av universidad Traposos A Chorro Edif Centro Empresarial Of No. 16-B Caracas, Venezuela";"Andamios"
"ALQUIECO DE VENEZUELA C.A";"";"Tel: (58) (241) 8593285";"Cl Rondón Cruce Con Campo Elias No. 103-3, Valencia Valencia, Venezuela";"Andamios"
"ANDAMIOS CARONI";"";"Tel: (58) (281) 9529281";"Urb. El Guarro,Sector II, C/Paseso Caroni Loc.28A Pto.Ordaz - Edo.Bolivar Barcelona, Venezuela";"Andamios"
"ALKILA S.R.L";"";"Tel: (58) (243) 5512864";"Av Miranda Oeste, La Romana, Maracay Maracay, Venezuela";"Andamios"
"ANDAMIOS SAN CELESTINO C.A.";"";"Tel: (58) (281) 2670833";"Calle 12, Nro.31, Chuparin Puerto de  la Cruz, Venezuela";"Andamios"
"ANDAMIOS GUAYANA S.R.L.";"";"Tel: (58) (286) 9524167";"Las Garzas,Manz 18,Casa 21 Ciudad Guayana Puerto Ordaz, Venezuela";"Andamios"
"ANDAMIOS P Y V, C.A.";"";"Tel: (58) (261) 7224504";"Veritas, Calle 89-A Maracaibo, Venezuela";"Andamios"
"ANDAMIOS RODARCA";"";"Telefax: (58) (281) 2355658";"1ra. Calle Sur El Tigre, Edo. Anzoategui Barcelona, Venezuela";"Andamios"
"DALMINE SOLUCIONES METALMECÁNICAS";"";"Tel: (58) (251) 2690311";"Barquisimeto Barquisimeto, Venezuela";"Andamios"
"ARRENDAMIENTOS SAN FRANCISCO, C.A.";"";"Tel: (58) (241) 8583497";"Centro Valencia, Venezuela";"Andamios"
"AISPOL C.A.";"";"Tel: (58) (281) 4414236";"C.C. Puerto Piritu Puerto Piritu, Venezuela";"Andamios"
"KARAM EMPRESAS";"";"Tel: (58) (295) 2616262";"Calle Marlaver Porlamar Porlamar, Venezuela";"Andamios"
"TAMI, C.A.";"";"Tel: (58) (212) 2574416";"Final Av Milán Los Ruices Sur Caracas, Venezuela";"Andamios"
"ANDAMIOS COMETI C.A.";"";"Tel: (58) (212) 7624887";"Oficina Caracas Caracas, Venezuela";"Andamios"
"CONSTRUCTORA 1956, C.A.";"";"Tel: (58) (212) 9594855";"C.C.C.T, Chuao Caracas, Venezuela";"Andamios"
"GIANPRO MAQUINARIAS";"";"Tel: (58) (212) 2341828";"3ra. Av De Montecristo Entre 1ra. Transv Y Av Rómulo Gallegos, Qta. Andrea No. 3 Caracas, Venezuela";"Andamios"
"ELECTRA REPRESENTACIONES Y CONSTRUCCIONES C.A";"";"Tel: (58) (261) 7651170";"Maracaibo Maracaibo, Venezuela";"Andamios"
"ANDAMIOS NACIONALES C.A";"";"Tel: (58) (241) 8593260";"Cl Vargas No. 91-21 Entre Avs Ricurte Y Padre Alexander, Valencia Valencia, Venezuela";"Andamios"
"ANDAMIOS SAN JOSÉ, S.R.L.";"";"Tel: (58) (212) 5766082";"Av Leonardo Ruiz Pineda Pasaje 12 S. Agustín Del Sur Caracas, Venezuela";"Andamios"
"ENTEC, C.A.";"";"Tel: (58) (243) 2328640";"Cl 9 La Soledad Maracay, Venezuela";"Andamios"
"IMPER SIMEX S.A.";"";"Tel: (58) (212) 2386685";"Cl Maracay, Edif. Los Teques, P.B., El Marqués Caracas, Venezuela";"Andamios"
"ANDAMIOS MARTU C.A";"";"Tel: (58) (241) 8313230";"Cl Plaza C/ Av Lizandro Alvaro Valencia, Venezuela";"Andamios"
"CONSTRUCCIONES 1 C.A";"";"Tel: (58) (241) 8591292";"Av Ricaurte 104-51 Local No. 1, Valencia Valencia, Venezuela";"Andamios"
"A ANDAMIOS CVI";"";"Tel: (58) (212) 2379554";"El Marqués Caracas, Venezuela";"Andamios"
"MINAO MODULAR INVERSIONES CA";"";"Telefax: (58) (212) 8603502";"Av.Francisco Miranda,Chacao Piso 8-81 - Caracas Venezuela Caracas, Venezuela";"Andamios"
"FAVEALCA, C.A.";"";"Tel: (58) (212) 8725038";"Km. 4 Carretera El Junquito A 200 Mts. Divenca Caracas, Venezuela";"Andamios"
"GRADUACIONES MARA C.A";"";"Telefax: (58) (261) 7231448";"Centro Maracaibo, Venezuela";"Anillos Para Grado"
"MONYTOR, C.A.";"";"Tel: (58) (212) 2563089";"Macaracuay Caracas, Venezuela";"Anillos Para Grado"
"GOBLIN DISEÑOS, C.A.";"";"Tel: (58) (212) 5640880";"Av Urdaneta, Pelota A Marrón Edif General, Piso 7-71 Caracas, Venezuela";"Anillos Para Grado"
"GERIS GOLD GRADUACIONES, C.A.";"";"Tel: (58) (212) 3957771";"Av Fco. D Miranda Ed. Hollywood Pb, Oficina 1-B Chacao Caracas, Venezuela";"Anillos Para Grado"
"LA CASA DE GRADO";"";"Tel: (58) (274) 2620742";"Av. 2 Glorias Patrias Mérida, Venezuela";"Anillos Para Grado"
"JOYACORD, S.R.L.";"";"Tel: (58) (274) 2524341";"Avenida 8 Mérida, Venezuela";"Anillos Para Grado"
"JHON BEN'S, C.A.";"";"Tel: (58) (274) 2661983";"Av. Andrés Bello Mérida, Venezuela";"Anillos Para Grado"
"INVERSIONES CAMABI";"";"Telefax: (58) (241) 8237118";"Av Bolívar Norte Cl López Latouche C.C Mel-Plaza Local No. 04 Valencia, Venezuela";"Anillos Para Grado"
"GRADUACIONES JANEIRO, C.A.";"";"Tel: (58) (212) 8645909";"Cl Paraiso, Altagracia Caracas, Venezuela";"Anillos Para Grado"
"CUMLAUDES";"";"Tel: (58) (243) 2451542";"Cl Vargas Norte Maracay, Venezuela";"Anillos Para Grado"
"MAMEFIN, C.A.";"";"Tel: (58) (251) 2330884";"Av.20,e/Calles 27 y 28 Torre Casabera, Piso 1 Barquisimeto, Venezuela";"Anillos Para Grado"
"UTIL SAM, C.A.";"";"Tel: (58) (251) 2326402";"Crr 19, E/Cl 29 y 30 Barquisimeto, Venezuela";"Aparatos De Grabación Y Reproducción De Imagen Y Sonido"
"SETECSA DE VENEZUELA, C.A.";"";"Tel: (58) (212) 2572933";"Av Milán, Los Ruices Sur Caracas, Venezuela";"Archivos"
"ARCHIVOS MÓVILES ACDI C.A.";"";"Tel: (58) (212) 2563366";"Av Chicago Centro Empresarial "Sturgis" 2 Piso La California Sur Caracas, Venezuela";"Archivos"
"NOVOSTIL";"";"Tel: (58) (212) 2679860";"Av. Fco. De Miranda, Entre Cl. Elice Y Ppal. De Bello Campo, Edif. Orinoco P.B. Ofic. C Y D, Chacao, Caracas Caracas, Venezuela";"Archivos"
"A.R. ARCHIVOS RODANTES DE VENEZUELA, C.A.";"";"Tel: (58) (212) 2572859";"Av. Urimare 2, Macaracuay Caracas, Venezuela";"Archivos"
"LA CARPETA SUCESORES C.A.";"";"Tel: (58) (212) 7625977";"Sabana Grande Caracas, Venezuela";"Archivos"
"ACEROS DIVERSIFICADOS STANTEX";"";"Tel: (58) (212) 9536348";"Final Cl Alameda No. 56 El Rosal Municipio Chacao Edo Miranda Caracas, Venezuela";"Archivos"
"NESPABE";"";"Tel: (58) (212) 3415492";"Cl.9 Diciembre, Edif.Caphini, P.1 Guatire Guatire, Venezuela";"Archivos"
"ARCHIMOVIL";"";"Tel: (58) (212) 9594111";"Av. Ernesto Blohm, Chuao Caracas, Venezuela";"Archivos"
"METROARCHIVOS, C.A.";"";"Tel: (58) (212) 3635390";"Guarenas Guarenas, Venezuela";"Archivos"
"MDA.NET ARCHIVOS, C.A.";"";"Tel: (58) (212) 9930479";"Cl Londres, Edif. Plaza C, Piso 5 Ofc 5 B, Las Mercedes Caracas, Venezuela";"Archivos"
"SIDCA";"";"Tel: (58) (212) 3811684";"Cl 1, Edif. Sidca, Urb. El Marqués, Guatire, Edo. Miranda Guatire, Venezuela";"Archivos"
"GETECA";"";"Tel: (58) (212) 4146620";"Av El Paujíl, Los Naranjos Caracas, Venezuela";"Archivos"
"FILEMOVILE, C.A.";"";"Tel: (58) (212) 9928289";"Av. Londres, Edif. Maracapana P.B. Las Mercedes Caracas, Venezuela";"Archivos"
"CLOVER INTERNACIONAL";"";"Telefax: (58) (261) 7225808";"Av. (El Milagro) Edf. Las Palmeras PB. Locales 1 Y 2, Fte Al Puerto, Edo. Zulia Maracaibo, Venezuela";"Archivos"
"ORGANIZACION KAPPA C.A.";"";"Tel: (58) (212) 7532329";"Av Caroni, Bello Monte Caracas, Venezuela";"Archivos"
"STEEL STAR C.A.";"";"Tel: (58) (212) 2646032";"Av Francisco De Miranda, Entre Cl La Joya Y Av Elice, Centro Profesional Miranda, Local No. 1, Chacao Caracas, Venezuela";"Archivos"
"LA CASA DE LOS VELONES SHALOM";"";"Tel: (58) (251) 2321667";"Carrera 23 Barquisimeto, Venezuela";"Arte Y Artistas"
"SERVICIOS 70967";"";"Tel: (58) (212) 7536371";"Colinas de Bello Monte Caracas, Venezuela";"Arte Y Artistas"
"ZEMERATH";"";"Tel: (58) (212) 7539782";"Av.Ppal.Bello Monte, C.C.Bello Monte, Mezz.1, Ofic.12 Caracas, Venezuela";"Arte Y Artistas"
"ESCULTURAS BERMUDEZ C.A.";"";"Tel: (58) (212) 4163343";"Cl 1,Propatria Caracas, Venezuela";"Arte Y Artistas"
"ESTUDIO DE ARTE LAS BARRACAS C.A.";"";"Tel: (58) (212) 3811620";"Caracas Caracas, Venezuela";"Arte Y Artistas"
"PERFUMERÍA ESOTÉRICA LA DANZA AFRICANA";"";"Tel: (58) (212) 3612334";"Cl Comercio Guarenas, Venezuela";"Arte Y Artistas"
"CENTRO PIRAMIDAL Y MINERAL";"";"Tel: (58) (212) 3008733";"C.C. Tolón Av Ppal. Las Mercedes, Piso 2, Locales 10 Y 25 Caracas, Venezuela";"Arte Y Artistas"
"LA ESFERA AZÚL NEW AGE";"";"Tel: (58) (212) 9639894";"Cl Sucre, El Hatillo Caracas, Venezuela";"Arte Y Artistas"
"ALFA FACHADAS, C.A.";"";"Tel: (58) (212) 4849729";"Esq. Cipreses, Santa Teresa Caracas, Venezuela";"Arte Y Artistas"
"CORPORACIÓN PULCRO C.A";"";"Tel: (58) (212) 2863189";"Av. 4ta Los Palos Grandes Caracas, Venezuela";"Arte Y Artistas"
"CONSULRIMA SERVICIOS, C.A";"";"Tel: (58) (212) 4838186";"Av Jose A, Paéz Centro Porfesio al Paraiso, Piso 4,Of 401 El Paraiso Cara cas Caracas, Venezuela";"Arte Y Artistas"
"LIMSERVI C.A";"";"Tel: (58) (212) 6335249";"Av Maria Teresa Toro, Qta Cabrini Parte Alta Urb Las Acacias Caracas, Venezuela";"Arte Y Artistas"
"DIGUER CONSTRUCCIONES, C.A.";"";"Tel: (58) (212) 9922962";"Las Mercedes Caracas, Venezuela";"Arte Y Artistas"
"PLOMERÍA ANAUCO S.R.L.";"";"Tel: (58) (212) 5511896";"San Bernardino Caracas, Venezuela";"Arte Y Artistas"
"TÉCNICA RUEDA, C.A.";"";"Tel: (58) (243) 2563908";"Principal, Maracay Maracay, Venezuela";"Arte Y Artistas"
"SERVICIOS ALTO PRADO HJ, C.A.";"";"Tel: (58) (212) 5777076";"Caracas Caracas, Venezuela";"Arte Y Artistas"
"LA CASA DEL HORFEBRE LH";"";"Tel: (58) (212) 5632468";"Esq. San Enrique con Sta. Ines San José Caracas, Venezuela";"Artículos De Bronce"
"REGIVENCA C.A.";"";"Tel: (58) (241) 8724766";"Ur. Complejo Los Jerales, Av.La Plaza Manzana Mc 3. Paecela No.15 San die go- Edo Carabobo Valencia, Venezuela";"Artículos De Bronce"
"COMPAÑIA NACIONAL DE PIROTECNIA, S.R.L.";"";"Tel: (58) (212) 5455067";"Av. Universidad Esq. Traposos A Chorro Edf. Cerromas, Ph OF. 36 Catedral Caracas, Venezuela";"Artículos De Pirotecnia"
"FULL FUEGOS DE VENEZUELA";"";"Tel: (58) (212) 7318229";"La Florida Caracas, Venezuela";"Artículos De Pirotecnia"
"TIENDA VETERINARIA TU MASKOTA, C.A.";"";"Tel: (58) (261) 7433364";"Avenida 15, Las Delicias Maracaibo, Venezuela";"Artículos Para Animales"
"MASCOTILANDIA PET SHOP";"";"Tel: (58) (261) 7432933";"Av. Fuerzas Armadas Maracaibo, Venezuela";"Artículos Para Animales"
"LA CASA DE LOS PECES, S.R.L.";"";"Tel: (58) (276) 3435235";"Centro San Cristóbal, Venezuela";"Artículos Para Animales"
"AGROPECUARIA LAS BRISAS";"";"Tel: (58) (246) 8710787";"C.C Wildoman P.B Local 05 Carrt Nacional Calabozo , Venezuela";"Artículos Para Animales"
"EXOTIC PET SHOP, C.A.";"";"Tel: (58) (261) 7971259";"Av. Las Delicias No. 69-93 Maracaibo, Venezuela";"Artículos Para Animales"
"CASA MASCOTA C.A";"";"Tel: (58) (241) 8242573";"El Viñedo Valencia, Venezuela";"Artículos Para Animales"
