id,Precio Nuevo
002-1299-00,155
002-1301-00,1103
002-1301-01,732
002-1301-02,312
002-1301-03,701
002-1301-04,384
002-1301-05,183
002-1301-06,183
002-1301-07,196
002-1302-00,384
002-1302-01,446
002-1302-02,946
002-1302-03,973
002-1302-04,647
002-1302-05,1464
002-1302-18,737
002-1302-19,737
002-1302-20,183
002-1302-21,196
002-1302-22,196
002-1303-00,630
002-1303-01,759
002-1303-02,589
002-1303-03,589
002-1305-00,1120
002-1305-01,799
002-1305-02,915
002-1305-03,1558
002-1305-04,1937
002-1502-00,384
002-1502-02,259
002-1502-03,259
002-1609-00,241
002-1609-01,192
002-1609-02,69
002-1609-03,187
002-1901-00,527
002-1901-01,1062
002-1901-02,1237
002-1901-03,415
002-1901-04,1237
002-1901-05,415
002-1902-00,423
002-1902-01,589
002-1902-02,1237
002-1902-03,536
002-1905-00,312
002-1905-01,339
002-1905-02,290
002-1905-03,290
002-1905-04,264
002-1905-05,210
002-1915-00,589
002-2203-00,420
002-2204-00,420
002-2205-00,705
002-2205-01,330
002-2205-02,375
002-2205-04,335
002-2205-05,402
002-2208-00,420
002-2302-00,531
002-2302-01,446
002-2305-02,152
002-2305-04,299
002-2305-05,299
002-2305-06,167
002-2305-07,115
002-2305-08,136
002-2305-09,173
002-2306-00,237
002-2307-00,536
002-2310-00,442
002-2310-01,384
002-2310-02,1558
002-2315-00,384
002-2315-01,527
002-2316-00,241
002-2316-01,415
002-2316-02,344
002-2316-03,192
002-2317-00,478
002-2318-00,393
002-2318-01,393
002-2321-00,59
002-2321-01,59
002-2321-02,163
002-2321-04,175
002-2321-05,232
002-2321-06,344
002-2321-07,344
002-2321-08,326
002-2321-09,326
002-2321-10,737
002-2321-11,737
002-2321-12,415
002-2321-13,415
002-2321-14,171
002-2321-16,312
002-2321-17,312
002-2321-18,330
002-2321-19,330
002-2321-20,131
002-2321-21,171
002-2321-22,171
002-2321-23,228
002-2321-24,201
002-2321-25,128
002-2321-26,157
002-2321-27,157
002-2324-00,357
002-2326-02,232
002-2326-03,232
002-2326-05,250
002-2399-00,136
002-3002-01,264
002-3002-02,384
002-3002-03,487
002-3002-04,946
002-3002-06,223
002-3002-07,196
002-3004-00,259
002-3004-01,259
002-3004-02,344
002-3004-03,344
002-3004-04,384
002-3004-05,536
002-3004-06,228
002-3004-07,384
002-3004-08,183
002-3004-09,196
002-3007-00,871
002-3007-01,237
002-3007-02,246
002-3009-00,647
002-3010-00,112
002-3010-01,175
002-3010-02,183
002-3010-03,59
002-3010-04,259
002-3010-05,259
002-3010-06,228
002-3010-07,228
002-3010-08,371
002-3010-09,157
002-3010-10,187
002-3015-00,384
002-3015-01,384
002-3015-02,357
002-3017-00,1004
002-3018-00,371
002-3018-01,737
002-3018-02,357
002-3018-03,330
002-3112-00,232
002-3112-01,232
002-3112-02,146
002-3112-04,228
002-3112-05,228
002-3117-00,264
002-3117-01,335
002-3216-00,1049
002-3216-01,1049
002-3802-00,1143
002-3802-01,1143
002-3907-00,1259
002-3907-01,1259
002-3908-00,630
002-3908-01,630
002-3908-02,630
002-3908-03,630
002-3908-04,910
002-3908-05,910
003-0201-00,315
003-0201-01,315
003-0201-02,315
003-0201-03,315
003-0201-04,324
003-0201-05,324
003-0201-06,423
003-0201-07,423
003-0202-00,592
003-0202-02,249
003-0202-03,249
003-0203-00,221
003-0203-01,221
003-0205-00,376
003-0205-01,376
003-0205-02,752
003-0205-03,752
003-0206-00,1128
003-0206-01,1128
003-0206-02,1785
003-0206-03,1785
003-0301-00,446
003-0301-01,446
003-0301-02,221
003-0301-03,221
003-0301-04,775
003-0301-05,446
003-0301-06,352
003-0301-07,291
003-0301-08,630
003-0313-00,428
003-0313-01,428
003-0313-02,977
003-0313-03,564
003-0317-00,630
003-0503-00,1165
003-0503-01,1165
003-0503-02,738
003-0503-03,738
003-0503-04,5177
003-0601-00,254
003-0601-02,109
003-0601-03,109
003-0601-06,139
003-0601-07,139
003-0601-08,312
003-0601-09,320
003-0604-00,166
003-0604-01,166
003-0604-02,263
003-0604-03,263
003-0604-04,132
003-0604-05,132
003-0604-06,296
003-0604-07,296
003-0604-08,954
003-0604-09,4197
003-0604-10,121
003-0604-11,293
003-0608-00,1071
003-0608-02,291
003-0608-03,291
003-0610-00,4507
003-0610-01,3747
003-0614-00,512
003-0614-02,187
003-0614-03,187
003-0614-04,235
003-0614-05,235
003-0614-06,841
003-0614-08,187
003-0614-09,187
003-0617-00,418
003-0625-00,272
003-0625-01,272
003-0630-00,493
003-0630-01,493
003-0630-02,385
003-0630-03,385
003-0630-04,883
003-0630-05,883
003-0630-06,695
003-0630-07,446
003-0631-00,352
003-0637-00,5375
003-0639-00,752
003-0639-01,752
003-0645-00,230
003-0645-01,230
003-0645-02,193
003-0645-03,193
003-0645-04,609
003-0645-05,634
003-0663-00,1926
003-0663-01,5177
003-0663-02,1456
003-0663-03,1456
003-0663-04,1118
003-0663-05,1118
003-0663-06,1456
003-0663-07,1456
003-0665-00,146
003-0665-01,146
003-0665-02,211
003-0665-03,211
003-0665-04,1381
003-0665-06,302
003-0665-07,307
003-0666-00,2202
003-0666-01,1142
003-0666-02,348
003-0666-03,348
003-0666-04,1221
003-0666-06,841
003-0666-07,841
003-0666-08,4115
003-0667-00,446
003-0667-01,446
003-0667-02,446
003-0667-03,446
003-0670-00,677
003-0670-01,677
003-0670-02,268
003-0670-03,268
003-0670-04,423
003-0670-05,423
003-0670-06,296
003-0670-07,296
003-0677-00,73
003-0677-01,73
003-0678-00,954
003-0678-01,954
003-0679-00,5932
003-0679-02,1085
003-0679-03,1085
003-0679-04,1184
003-0679-05,1184
003-0679-06,342
003-0679-07,358
003-0704-00,3354
003-0704-01,1672
003-0712-00,334
003-0712-01,334
003-0712-02,465
003-0712-03,465
003-0716-00,296
003-0716-01,296
003-0716-02,465
003-0716-03,465
003-0716-04,173
003-0716-05,173
003-0716-06,329
003-0716-07,329
003-0716-08,173
003-0716-09,173
003-0716-10,2114
003-0720-00,240
003-0720-01,240
003-0901-00,146
003-0901-01,146
003-0901-02,244
003-0901-04,141
003-0901-05,141
003-0902-00,376
003-0902-01,573
003-0902-02,409
003-0903-00,775
003-0903-01,634
003-0903-02,714
003-0903-03,714
003-0903-05,418
003-0906-00,926
003-0906-02,352
003-0906-03,352
003-0906-04,399
003-0906-05,399
003-0906-06,926
003-0906-08,282
003-0906-09,282
003-0906-10,1221
003-0906-11,1081
003-0906-12,1268
003-0908-00,404
003-0908-01,714
003-0908-02,1268
003-0908-03,1268
003-0908-04,423
003-0908-05,423
003-0910-00,470
003-0911-00,263
003-0911-01,263
003-0916-00,296
003-0916-01,296
003-0929-00,1015
003-1106-00,1456
003-1208-00,1973
003-1208-01,1828
003-1208-02,630
003-1208-03,630
003-1208-04,315
003-1208-05,315
003-1209-00,1456
003-1209-01,1456
003-1209-02,1043
003-1209-04,1456
003-1209-05,1456
003-1209-19,2438
003-1213-00,531
003-1213-01,531
003-1213-02,1118
003-1214-00,738
003-1214-02,202
003-1214-03,202
003-1214-04,202
003-1214-05,202
003-1214-06,399
003-1217-00,846
003-1217-01,738
003-1217-02,193
003-1217-03,268
003-1217-04,268
003-1217-05,268
003-1217-06,230
003-1217-07,230
003-1217-08,521
003-1217-09,2142
003-1217-10,2142
003-1217-11,1085
003-1217-12,254
003-1217-13,254
003-1217-14,254
003-1217-15,254
003-1219-00,268
003-1219-02,230
003-1219-03,230
003-1219-04,268
003-1219-05,268
003-1219-06,216
003-1219-07,216
003-1219-08,216
003-1219-09,216
003-1219-10,977
003-1219-11,291
003-1219-12,291
003-1219-13,977
003-1219-14,456
003-1219-15,1001
003-1219-16,1240
003-1219-17,399
003-1219-20,268
003-1219-21,268
003-1219-22,130
003-1219-23,130
003-1219-24,418
003-1219-25,418
003-1219-48,418
003-1219-50,545
003-1219-51,545
003-1219-53,2321
003-1219-54,742
003-1219-55,742
003-1219-56,597
003-1219-57,597
003-1219-58,1071
003-1219-59,1071
003-1219-60,1597
003-1219-62,470
003-1219-63,470
003-1219-64,470
003-1219-65,470
003-1219-66,470
003-1219-67,470
003-1219-68,188
003-1219-69,188
003-1219-70,211
003-1219-71,211
003-1219-72,1081
003-1219-73,1081
003-1221-00,399
003-1221-01,399
003-1221-02,442
003-1221-03,442
003-1221-04,1217
003-1221-05,1569
003-1221-06,1954
003-1221-08,376
003-1221-09,376
003-1221-10,677
003-1221-11,677
003-1221-12,1184
003-1221-13,1184
003-1221-14,1959
003-1221-15,1959
003-1221-16,3143
003-1221-17,3251
003-1221-18,2711
003-1221-20,442
003-1221-21,442
003-1221-22,446
003-1221-23,446
003-1224-00,230
003-1224-01,230
003-1224-02,230
003-1224-03,230
003-1224-04,695
003-1230-00,226
003-1230-01,226
003-1242-00,446
003-1242-02,531
003-1242-03,531
003-1301-00,428
003-1301-01,423
003-1301-02,221
003-1301-03,221
003-1302-00,329
003-1302-01,329
003-1302-02,329
003-1302-03,329
003-1302-04,1245
003-1302-05,1245
003-1302-06,841
003-1302-07,841
003-1302-08,597
003-1302-10,841
003-1302-11,841
003-1302-12,841
003-1302-13,841
003-1302-14,625
003-1302-15,625
003-1302-16,442
003-1302-17,442
003-1302-18,653
003-1302-19,653
003-1302-20,1419
003-1302-24,940
003-1302-25,940
003-1303-00,1456
003-1303-01,1964
003-1303-02,310
003-1303-03,310
003-1303-04,334
003-1304-01,1104
003-1304-02,987
003-1304-03,987
003-1304-04,2269
003-1305-00,399
003-1305-04,554
003-1307-00,606
003-1307-01,606
003-1307-02,493
003-1307-03,493
003-1307-04,752
003-1313-00,705
003-1604-00,282
003-1604-01,282
003-1605-00,738
003-1605-01,1043
003-1605-02,268
003-1605-03,268
003-1605-06,268
003-1605-07,268
003-1605-08,1391
003-1605-09,1391
003-1605-10,630
003-1605-11,630
003-1605-12,1142
003-1605-13,977
003-1605-14,3871
003-1605-15,3284
003-1605-16,282
003-1605-17,282
003-1605-18,376
003-1605-19,376
003-1605-20,658
003-1605-21,658
003-1605-22,940
003-1607-00,161
003-1607-01,161
003-1901-00,517
003-1901-01,644
003-1901-02,1968
003-1901-04,268
003-1901-05,268
003-1901-06,249
003-1901-07,249
003-1901-08,1057
003-1901-10,2504
003-1901-12,418
003-1901-13,418
003-1901-14,587
003-1901-15,587
003-1901-16,127
003-1901-17,127
003-1901-20,272
003-1901-21,272
003-1901-22,235
003-1901-23,235
003-1901-24,357
003-1901-25,446
003-1901-26,1480
003-1902-00,1536
003-1902-01,634
003-1902-02,2203
003-1902-04,446
003-1902-05,446
003-1902-06,357
003-1902-07,357
003-1903-00,465
003-1903-01,465
003-1903-02,803
003-1903-03,803
003-1903-04,1268
003-1903-05,3740
003-1903-06,2227
003-1903-07,451
003-1907-00,860
003-1909-04,428
003-1909-05,428
003-1920-00,968
003-1920-01,968
003-1920-02,1325
003-1920-03,1325
003-2003-01,446
003-2006-00,301
003-2101-00,1597
003-2201-00,268
003-2201-01,268
003-2203-00,1884
003-2203-01,1884
003-2203-02,1315
003-2203-03,1315
003-2203-04,146
003-2203-05,146
003-2203-11,1104
003-2203-12,677
003-2203-13,677
003-2203-14,808
003-2203-15,808
003-2204-00,348
003-2205-00,254
003-2205-01,254
003-2205-02,254
003-2205-03,254
003-2205-04,291
003-2205-05,291
003-2205-06,470
003-2205-08,474
003-2208-00,536
003-2208-01,536
003-2208-02,428
003-2208-03,428
003-2208-04,1240
003-2208-05,705
003-2301-00,996
003-2301-01,996
003-2302-00,940
003-2302-01,940
003-2302-02,1607
003-2302-03,1607
003-2302-04,428
003-2302-05,428
003-2302-06,428
003-2302-07,428
003-2302-08,329
003-2302-09,329
003-2303-00,352
003-2305-00,54
003-2305-01,54
003-2305-02,81
003-2305-03,117
003-2305-04,107
003-2305-05,146
003-2305-06,146
003-2305-07,146
003-2305-08,81
003-2305-09,74
003-2305-10,59
003-2305-11,117
003-2305-12,59
003-2312-00,911
003-2312-01,911
003-2316-00,272
003-2316-01,272
003-2316-02,540
003-2316-04,282
003-2316-05,282
003-2316-06,272
003-2316-07,272
003-2316-10,1081
003-2316-11,1081
003-2316-12,893
003-2316-13,893
003-2318-00,197
003-2318-01,197
003-2318-02,197
003-2318-03,197
003-2322-00,446
003-2322-01,446
003-2322-02,446
003-2322-03,446
003-2322-04,272
003-2322-05,272
003-2322-06,272
003-2322-07,272
003-2322-08,357
003-2322-09,357
003-2324-00,1085
003-2324-01,1085
003-2324-02,399
003-2324-04,940
003-2324-05,940
003-2330-00,272
003-2330-01,272
003-2330-02,310
003-2330-03,310
003-2330-04,742
003-2330-05,742
003-2330-06,695
003-2330-07,695
003-2401-00,385
003-2402-00,714
003-2402-01,714
003-2402-02,1419
003-2404-00,926
003-2404-01,489
003-2404-02,211
003-2404-03,211
003-2411-00,376
003-2411-01,376
003-2411-02,860
003-2503-00,846
003-2503-01,846
003-2601-00,230
003-2601-01,230
003-2601-02,216
003-2601-03,216
003-2601-04,559
003-2602-00,161
003-2602-01,161
003-2602-02,531
003-2602-03,803
003-2605-00,78
003-2605-01,78
003-2605-02,3336
003-2605-03,1964
003-2605-04,1964
003-2606-00,381
003-2606-01,381
003-2606-02,545
003-2606-04,268
003-2606-05,268
003-2612-01,1029
003-2702-00,2039
003-2702-01,2039
003-2704-00,446
003-2704-01,489
003-2704-02,132
003-2704-03,132
003-2704-04,132
003-2704-05,132
003-2704-06,193
003-2704-07,193
003-2704-08,193
003-2704-09,193
003-2704-10,484
003-2704-11,446
003-2704-12,362
003-2704-13,362
003-2705-00,958
003-2705-01,644
003-2705-02,254
003-2705-03,254
003-2705-04,714
003-2705-05,714
003-2706-00,348
003-2706-01,348
003-2706-02,644
003-2903-00,352
003-2903-01,545
003-2903-02,705
003-2904-00,709
003-3001-00,958
003-3002-00,493
003-3002-01,493
003-3002-02,625
003-3002-03,625
003-3002-04,644
003-3002-05,644
003-3002-06,352
003-3002-07,352
003-3002-08,808
003-3002-09,254
003-3002-10,559
003-3002-11,559
003-3002-12,357
003-3002-13,357
003-3002-14,136
003-3002-15,136
003-3002-16,202
003-3002-17,202
003-3002-18,428
003-3002-19,428
003-3002-20,193
003-3002-21,193
003-3002-22,648
003-3002-23,808
003-3002-24,2490
003-3004-00,357
003-3004-01,357
003-3004-02,235
003-3004-03,235
003-3004-04,112
003-3004-05,112
003-3004-06,170
003-3004-07,170
003-3004-08,117
003-3004-09,117
003-3004-10,156
003-3004-11,156
003-3004-12,474
003-3004-13,460
003-3004-14,175
003-3004-15,175
003-3004-16,94
003-3004-17,94
003-3004-19,150
003-3004-20,272
003-3004-21,272
003-3004-22,1597
003-3004-24,108
003-3004-25,108
003-3004-26,175
003-3004-27,175
003-3005-00,883
003-3005-01,1071
003-3005-02,268
003-3005-03,268
003-3005-04,235
003-3005-05,235
003-3006-00,559
003-3006-01,559
003-3006-02,559
003-3006-03,559
003-3007-02,484
003-3007-03,343
003-3007-04,141
003-3007-05,141
003-3008-00,808
003-3009-00,272
003-3009-01,272
003-3011-00,254
003-3011-01,230
003-3011-02,258
003-3011-03,258
003-3011-04,597
003-3011-05,597
003-3011-06,597
003-3011-07,597
003-3011-08,695
003-3011-09,517
003-3011-10,258
003-3011-11,258
003-3011-12,329
003-3011-13,329
003-3011-14,395
003-3011-16,846
003-3011-17,846
003-3011-18,846
003-3011-19,846
003-3012-00,705
003-3012-01,1085
003-3012-02,221
003-3012-03,221
003-3012-04,385
003-3012-05,385
003-3012-06,1118
003-3012-07,1118
003-3012-08,446
003-3012-09,446
003-3012-10,226
003-3012-11,226
003-3012-12,395
003-3012-13,395
003-3012-14,470
003-3012-15,470
003-3015-00,1898
003-3015-01,1221
003-3015-02,536
003-3015-03,536
003-3015-04,536
003-3015-05,536
003-3015-06,268
003-3015-07,268
003-3015-08,940
003-3015-09,940
003-3015-10,846
003-3015-11,846
003-3017-00,611
003-3017-01,611
003-3017-02,799
003-3018-00,235
003-3018-01,235
003-3018-02,719
003-3018-03,1278
003-3018-04,315
003-3018-05,315
003-3018-06,240
003-3018-07,240
003-3018-08,338
003-3018-09,338
003-3018-10,399
003-3018-11,399
003-3018-12,207
003-3018-13,207
003-3018-14,226
003-3018-15,226
003-3018-17,3289
003-3018-18,658
003-3018-19,658
003-3026-00,315
003-3028-00,883
003-3102-00,883
003-3102-01,883
003-3102-02,1283
003-3102-03,1283
003-3102-04,742
003-3102-05,742
003-3102-06,2123
003-3102-07,2232
003-3102-08,940
003-3102-09,940
003-3102-10,1268
003-3103-00,179
003-3103-01,470
003-3103-02,254
003-3103-03,254
003-3103-04,432
003-3103-05,432
003-3103-06,446
003-3103-07,446
003-3103-08,254
003-3103-09,254
003-3103-10,446
003-3103-11,446
003-3108-00,117
003-3108-01,117
003-3108-02,254
003-3110-00,254
003-3110-01,254
003-3110-02,254
003-3110-03,254
003-3110-04,381
003-3110-05,343
003-3110-06,176
003-3110-07,176
003-3110-08,315
003-3111-00,81
003-3111-01,81
003-3111-02,76
003-3111-03,76
003-3111-04,132
003-3111-06,376
003-3111-07,376
003-3111-08,573
003-3111-09,573
003-3111-10,1339
003-3111-11,987
003-3111-12,517
003-3111-13,517
003-3111-14,235
003-3111-15,235
003-3111-16,705
003-3111-17,705
003-3111-18,1175
003-3112-03,334
003-3112-04,268
003-3112-05,268
003-3112-06,171
003-3112-07,171
003-3112-08,120
003-3112-09,120
003-3112-10,446
003-3112-11,112
003-3112-12,95
003-3112-13,95
003-3112-14,428
003-3112-15,428
003-3112-16,122
003-3112-17,122
003-3112-18,122
003-3112-19,122
003-3112-20,93
003-3112-21,93
003-3112-22,112
003-3112-24,211
003-3112-25,211
003-3112-26,352
003-3112-27,352
003-3112-28,1691
003-3112-29,1409
003-3112-30,1034
003-3112-31,1034
003-3114-00,371
003-3114-01,545
003-3114-02,235
003-3114-03,235
003-3114-04,1785
003-3114-05,1785
003-3114-06,1738
003-3114-07,2795
003-3115-00,287
003-3115-01,287
003-3115-02,1024
003-3116-00,235
003-3116-01,235
003-3116-02,738
003-3116-03,395
003-3116-04,145
003-3116-05,145
003-3116-06,145
003-3116-07,145
003-3116-08,446
003-3116-09,1207
003-3116-10,625
003-3116-11,625
003-3116-12,672
003-3116-13,672
003-3125-00,446
003-3125-01,446
003-3125-02,446
003-3125-03,446
003-3126-00,1160
003-3126-01,1160
003-3126-02,1160
003-3126-03,1160
003-3126-04,1339
003-3132-00,493
003-3132-01,493
003-3132-02,404
003-3132-03,404
003-3132-04,1409
003-3132-05,1221
003-3133-00,888
003-3134-00,179
003-3134-01,179
003-3134-02,536
003-3402-28,1832
003-3403-00,235
003-3409-00,940
003-3502-00,1071
003-3503-00,3707
003-3503-01,3707
003-3503-02,4134
003-3505-00,1964
003-3507-00,940
003-3701-00,1024
003-3701-01,1024
003-3704-00,446
003-3706-00,958
003-3706-01,803
004-0201-00,674
004-0202-00,571
004-0202-01,415
004-0203-00,513
004-0205-00,607
004-0301-00,442
004-0301-01,638
004-0301-02,393
004-0303-00,415
004-0313-00,464
004-0313-01,375
004-0317-00,571
004-0317-01,518
004-0321-00,518
004-0321-01,518
004-0403-00,540
004-0405-00,558
004-0503-00,482
004-0503-01,482
004-0601-00,460
004-0602-00,460
004-0602-01,255
004-0605-00,451
004-0605-03,402
004-0605-04,321
004-0608-00,553
004-0608-01,460
004-0608-02,482
004-0613-00,531
004-0614-00,308
004-0614-03,321
004-0617-00,424
004-0622-00,665
004-0625-00,402
004-0625-01,531
004-0628-00,665
004-0628-01,638
004-0630-00,531
004-0630-01,630
004-0630-02,531
004-0631-00,531
004-0642-00,420
004-0642-01,424
004-0642-04,799
004-0642-05,482
004-0644-00,402
004-0644-02,393
004-0646-00,415
004-0647-00,415
004-0647-03,482
004-0650-00,473
004-0652-00,500
004-0663-00,580
004-0664-00,799
004-0678-00,643
004-0702-00,424
004-0703-00,505
004-0703-01,500
004-0703-02,536
004-0704-00,393
004-0705-00,460
004-0707-00,505
004-0711-00,826
004-0712-00,741
004-0712-01,553
004-0714-00,384
004-0718-00,589
004-0720-00,460
004-0901-00,500
004-0901-01,397
004-0901-02,397
004-0903-00,531
004-0904-00,478
004-0906-00,558
004-0906-01,487
004-0907-00,326
004-0907-01,500
004-0907-02,598
004-0908-00,558
004-0908-01,714
004-0908-02,759
004-0908-03,616
004-0908-04,603
004-0911-00,531
004-0913-00,500
004-0914-00,500
004-0916-00,500
004-0917-00,424
004-0918-00,335
004-0918-01,362
004-1201-00,393
004-1203-00,500
004-1208-00,415
004-1209-00,303
004-1209-01,303
004-1209-02,393
004-1209-04,531
004-1209-05,424
004-1210-00,460
004-1210-02,531
004-1210-03,531
004-1210-04,460
004-1212-00,424
004-1212-02,375
004-1213-00,353
004-1213-01,544
004-1213-03,553
004-1213-04,357
004-1213-05,384
004-1213-11,696
004-1214-00,371
004-1214-01,482
004-1214-02,482
004-1214-03,415
004-1214-04,616
004-1214-05,598
004-1214-08,424
004-1214-09,482
004-1214-10,638
004-1214-11,665
004-1215-00,321
004-1215-01,433
004-1217-00,362
004-1217-01,353
004-1219-00,362
004-1219-01,402
004-1219-03,402
004-1220-00,544
004-1221-00,723
004-1223-00,312
004-1223-01,482
004-1225-00,362
004-1227-00,500
004-1227-01,500
004-1228-00,371
004-1228-01,460
004-1232-00,397
004-1233-00,531
004-1233-01,531
004-1233-02,531
004-1233-03,531
004-1233-04,344
004-1236-00,638
004-1237-00,424
004-1237-01,553
004-1242-00,737
004-1245-00,638
004-1301-00,415
004-1301-01,326
004-1301-02,415
004-1301-03,522
004-1302-00,589
004-1302-01,589
004-1302-02,335
004-1303-00,393
004-1303-02,598
004-1303-03,871
004-1305-00,580
004-1305-01,777
004-1306-00,558
004-1307-00,505
004-1307-01,714
004-1312-00,696
004-1312-01,585
004-1601-00,362
004-1601-01,460
004-1603-00,701
004-1603-01,598
004-1604-00,415
004-1605-00,415
004-1605-01,362
004-1605-02,540
004-1605-03,540
004-1605-04,402
004-1605-05,402
004-1605-06,460
004-1605-10,478
004-1605-11,384
004-1605-12,362
004-1605-13,514
004-1607-00,353
004-1607-01,522
004-1608-00,415
004-1609-00,460
004-1801-00,350
004-1805-00,544
004-1805-01,544
004-1805-02,518
004-1810-00,652
004-1811-00,687
004-1901-00,558
004-1901-01,424
004-1901-02,558
004-1902-00,505
004-2002-00,647
004-2002-01,647
004-2009-00,723
004-2019-00,621
004-2020-00,674
004-2101-00,621
004-2101-01,571
004-2101-02,571
004-2101-03,518
004-2202-00,544
004-2202-01,451
004-2203-00,393
004-2207-00,505
004-2208-00,621
004-2301-00,344
004-2304-00,553
004-2304-01,553
004-2304-02,580
004-2310-00,424
004-2310-01,424
004-2310-02,442
004-2310-03,696
004-2310-04,442
004-2310-05,384
004-2312-00,678
004-2313-00,558
004-2313-01,558
004-2313-02,598
004-2313-03,598
004-2313-04,500
004-2313-10,500
004-2313-11,451
004-2313-12,652
004-2315-02,415
004-2315-03,424
004-2315-07,393
004-2315-08,553
004-2316-00,460
004-2317-00,500
004-2318-00,768
004-2318-01,768
004-2320-00,393
004-2322-00,478
004-2323-00,505
004-2323-01,696
004-2401-00,415
004-2404-00,460
004-2407-00,500
004-2505-00,393
004-2601-00,424
004-2601-01,384
004-2602-00,598
004-2703-00,393
004-2704-00,326
004-2704-02,460
004-2705-00,397
004-3001-00,737
004-3002-00,549
004-3002-01,549
004-3002-06,500
004-3002-07,460
004-3005-00,754
004-3009-00,491
004-3009-01,621
004-3012-01,598
004-3012-02,630
004-3017-00,531
004-3102-00,415
004-3102-01,451
004-3103-00,402
004-3103-01,402
004-3104-00,295
004-3108-00,362
004-3109-00,531
004-3109-01,455
004-3111-00,794
004-3111-01,393
004-3111-02,371
004-3111-03,263
004-3112-00,362
004-3112-01,335
004-3112-02,335
004-3112-03,821
004-3112-05,393
004-3112-06,460
004-3112-07,621
004-3113-00,397
004-3114-00,616
004-3114-01,589
004-3114-02,701
004-3115-00,393
004-3115-01,393
004-3116-00,424
004-3116-01,321
004-3116-02,295
004-3118-00,500
004-3121-00,621
004-3121-01,598
004-3123-00,638
004-3301-00,598
004-3301-01,478
004-3302-00,598
004-3707-00,638
004-9999-02,205
004-9999-03,272
004-9999-04,205
004-9999-05,259
004-9999-06,214
004-9999-07,214
005-0615-00,230
005-0615-01,230
005-0615-02,92
005-0615-03,92
005-0615-04,109
005-0615-05,109
005-0615-06,230
005-0615-07,230
005-0615-08,1456
005-0620-00,244
005-0620-01,244
005-0620-02,630
005-0635-00,118
005-0635-01,118
005-0635-02,183
005-0635-03,183
005-0639-00,592
005-0639-01,592
005-0639-02,446
005-0639-03,446
005-0643-01,1104
005-0703-00,244
005-0703-01,244
005-0801-00,38
005-0801-01,38
005-0916-00,161
005-0916-01,161
005-1214-00,1358
005-1214-01,1358
005-1215-00,221
005-1215-01,221
005-1215-02,161
005-1215-03,161
