"CODIGO","PRECIO","TITULO","DESCRIPCION","TALLES","COLORES","URL","FOTO1","FOTO2","FOTO3","FOTO4","FOTO5","FOTO6","FOTO7","FOTO8","FOTO9","FOTO10","FOTO11","FOTO12","FOTO13","FOTO14","FOTO15","FOTO16"
"0458","$97.30","Hivernal Tobimedia","Tobimedias térmicas largas hasta la rodilla, para utilizar con pantalones y botas. Fácil de lavar, secado rápido. Adaptable a cualquier talla por su tejido de microfibra. Denier: 40.","Unica","#000000
#06365d
#583b37
#ffffff","http://chemisette.com.mx/comercio/termico/medias/producto/hivernal-tobimedia","https://chemisette-web.s3.amazonaws.com/uploads/color/image/56/0458_80.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/54/0458_02.jpg","-","https://chemisette-web.s3.amazonaws.com/uploads/color/image/55/0458_A1.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/53/0458_oi17.jpg","-","-","-","-","-","-","-","-","-","-","-"
"0465","$203.00","Chemisette Microfibra Térmica Manga Corta Hombre","Cuello bajo,manga corta, tejido ultra-delgado, resistente e invisible bajo la ropa. Para utilizar diariamente en la oficina, en la casa o para realizar deportes al aire libre. Ideal para viajar. Ultrasuave, ligera, muy confortable e hipoalergénica-Fácil de lavar- Secado rápido. UMC: 40","Mediana
G/EG","#000000
#ffffff","http://chemisette.com.mx/comercio/termico/termicos-hombre/producto/chemisette-microfibra-termica-manga-corta-hombre","https://chemisette-web.s3.amazonaws.com/uploads/color/image/60/0465_oi17_2.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/59/0465_oi17_1.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0466","$188.30","Chemisette Microfibra Térmica Manga Larga Niños","Camiseta interior, de microfibra Chilena, para protegerlos de los cambios bruscos de temperatura. Muy suavecitas y combinables para todos los días de la semana. Ultrasuave-Ligera-Muy confortable-Hipoalergénica-Fácil de lavar- Secado rápido Denier: 40","( de 4 a 6 Años )
( de 8 a 12 Años )","#06365d
#ffffff","http://chemisette.com.mx/comercio/termico/termicos-ninos/producto/chemisette-microfibra-termica-manga-larga-ninos","https://chemisette-web.s3.amazonaws.com/uploads/color/image/63/0466_80_2.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/61/0466_02_2.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0467","$188.30","Chemisette Microfibra Térmica Manga Corta Niños","Camiseta interior, de microfibra Chilena, para protegerlos de los cambios bruscos de temperatura. Muy suavecitas y combinables para todos los días de la semana. Microfibra térmica.","( de 4 a 6 Años )
( de 8 a 10 Años )","#06365d
#c8afa8
#ffffff","http://chemisette.com.mx/comercio/termico/termicos-ninos/producto/chemisette-microfibra-termica-manga-corta-ninos","https://chemisette-web.s3.amazonaws.com/uploads/color/image/66/0467_80_2.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/65/0467_93_2.jpg","-","https://chemisette-web.s3.amazonaws.com/uploads/color/image/551/0467_02.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/552/0467_93.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/553/0467_80.jpg","-","-","-","-","-","-","-","-","-","-"
"0467493","$188.30","Chemisette térmica infantil color piel",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/chemisette-termica-infantil-color-piel","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1450/0467.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0471","$181.30","Capri Microfibra Térmica Niños","Capri interior, todo lo que necesitas para cuidarlos del invierno. De microfibra Chilena, para protegerlas de los cambios de temperatura. Hipoalergénica, delgada, fácil de lavar, secado rápido. Denier: 40","( de 12 a 14 Años )
( de 4 a 6 Años )
( de 8 a 10 Años )","#000000
#1a3b68
#ffffff","http://chemisette.com.mx/comercio/termico/capris-y-leggings/producto/capri-microfibra-termica-ninos","https://chemisette-web.s3.amazonaws.com/uploads/color/image/68/0471_02_2.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/67/0471_90.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0472","$181.30","Malla Lisa","Malla lisa, todo lo que necesitas para cuidarlas del invierno. Camisetas interiores de microfibra Chilena, para protegerlas de los cambios de temperatura. Hipoalergénica, delgada, fácil de lavar, secado rápido. Denier: 40","( de 4 a 6 Años )
( de 8 a 10 Años )","#e3c6dc
#ffffff","http://chemisette.com.mx/comercio/termico/capris-y-leggings/producto/malla-lisa","https://chemisette-web.s3.amazonaws.com/uploads/color/image/74/0472_58.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/75/0472_oi17.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0505","$15.00","Block solicitud de producto 25 piezas",,"-","-","http://chemisette.com.mx/comercio/herramientas-de-venta/herramientas-de-venta/producto/block-solicitud-de-producto-25-piezas","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1202/NOTADEVENTA.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0526","$10.00","Folletos escolar infantil 50 piezas",,"-","-","http://chemisette.com.mx/comercio/herramientas-de-venta/herramientas-de-venta/producto/folletos-escolar-infantil-50-piezas","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1188/0526.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"06012","$20.00","Bolsa Gel refrigerante (Pack con 2)",,"-","-","http://chemisette.com.mx/comercio/herramientas-de-venta/herramientas-de-venta/producto/bolsa-gel-refrigerante-(pack-con-2)","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1191/06012.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0654","$100.00","Bolsa ejecutiva Chemisette café",,"-","-","http://chemisette.com.mx/comercio/herramientas-de-venta/herramientas-de-venta/producto/bolsa-ejecutiva-chemisette-cafe","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1189/0654.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0750","$200.00","Bolsa Chemisette negra con logo en plata",,"-","-","http://chemisette.com.mx/comercio/herramientas-de-venta/herramientas-de-venta/producto/bolsa-chemisette-negra-con-logo-en-plata","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1144/PX313.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1145/PX313_2.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0793","$25.00","Dije Corazón",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/dije-corazon","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1182/0793.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0795","$18.00","Difusor ambiental Chemisette + Vela",,"-","-","http://chemisette.com.mx/comercio/herramientas-de-venta/herramientas-de-venta/producto/difusor-ambiental-chemisette-+-vela","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1195/0795.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0799","$40.00","Bolsa Compacta","Ligera, amplia y reutilizable, ideal para llevar en tu bolso cuando sales de compras o de viaje.","-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/bolsa-compacta","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1176/0799.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1177/0799_1.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0801","$0.00","Dije Cisne Dorado",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/dije-cisne-dorado","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1174/dije_chemisette.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0804","$0.00","Aretes Club Cisne Dorado",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/aretes-club-cisne-dorado","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1175/ARETES.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0825","$35.00","Guía giratoria de aromaterapia",,"-","-","http://chemisette.com.mx/comercio/herramientas-de-venta/herramientas-de-venta/producto/guia-giratoria-de-aromaterapia","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1196/0825.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0836","$35.00","Guía conSentidos",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/guia-consentidos","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1151/manual.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0837","$35.00","Manual de uso para guía conSentidos Chemisette",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/manual-de-uso-para-guia-consentidos-chemisette","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1152/GUI_ACONSENTIDOS.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0857R","$10.00","Menú de sugerencias diarias Quantum",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/menu-de-sugerencias-diarias-quantum","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1342/DIETAQUANTUM.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0885","$130.00","Vaso shaker 600 ml",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/vaso-shaker-600-ml","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1136/PV1720.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0891","$136.50","Película Osmótica Yodada mediana para Brazos y Piernas","Reduce y tonifica las áreas a tratar, moldea la figura, no desprende olores y no mancha la ropa.","-","-","http://chemisette.com.mx/comercio/cuidado-de-la-piel/cuidado-personal/producto/pelicula-osmotica-yodada-mediana-para-brazos-y-piernas","https://chemisette-web.s3.amazonaws.com/uploads/color/image/312/0891_01.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/313/P_0891_02.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0893","$20.00","Bolsa ecológica de Aromaterapia",,"-","-","http://chemisette.com.mx/comercio/herramientas-de-venta/herramientas-de-venta/producto/bolsa-ecologica-de-aromaterapia","https://chemisette-web.s3.amazonaws.com/uploads/color/image/907/BOLSAAROMATERAPIA.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0922-5","$60.00","Alajero",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/alajero","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1204/PX307_Alajero.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0922-7","$60.00","Set organizador + lapicero",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/set-organizador-+-lapicero","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1205/PX307_Organizadores.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0922-8","$150.00","Juego Organizador de 5 Piezas",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/juego-organizador-de-5-piezas","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1206/PX312.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0923","$220.00","Clóset Portátil","Guarda tus térmicas en ésta linda caja portátil. Un lugar especial, ideal para tener a la mano toda tu colección de Chemisettes.","-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/closet-portatil","https://chemisette-web.s3.amazonaws.com/uploads/color/image/315/0923_01.jpg",,"-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0947","$336.00","Pure Garden Eau de Parfum","Perfume eleaborado con Gardenia fina, pétalos de rosas blancas y suaves notas de Patchouli, en una fragancia fresca y aterciopelada que celebra la feminidad de la mujer. Aceites Esenciales de Aromaterapia 100% natural.","-","-","http://chemisette.com.mx/comercio/aromaterapia/productos-naturales/producto/pure-garden-eau-de-parfum","https://chemisette-web.s3.amazonaws.com/uploads/color/image/803/0947_2.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1252/0947.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0947M1","$120.00","Pure Garden 10ml",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/pure-garden-10ml","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1225/PX308_Puregarden10ml.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0950","$1,920.00","Alkaline Pure Jarra","Alkaline Pure es un sistema de filtración avanzada con el que podrás tomar agua directamente del grifo ya que posee un filtro que purifica y alcaliniza el agua en minutos. Remueve el 99.9999% de todos los contaminantes en el agua y además sube el pH del agua común logrando obtener agua alcalina de hasta pH 9.5 Libre de BPA. Jarra con un innovador diseño. 3 lts.","-","-","http://chemisette.com.mx/comercio/salud/alkaline-pure/producto/alkaline-pure-jarra","https://chemisette-web.s3.amazonaws.com/uploads/color/image/872/P_0950_1.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0956","$349.30","Set de romero",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/set-de-romero","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1133/P_LT1023_01.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1134/P_LT1024_01.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0957","$70.00","Set de Romero muestras 35ml",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/set-de-romero-muestras-35ml","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1156/muestrasromero.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0962P","$15.00","Tríptico Alkaline Pure (Pack con 5)",,"-","-","http://chemisette.com.mx/comercio/herramientas-de-venta/herramientas-de-venta/producto/triptico-alkaline-pure-(pack-con-5)","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1198/ALKALINE_FOLLETO.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0963","$0.00","Díptico Club Cisne Dorado - Colección 2017",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/diptico-club-cisne-dorado-_-coleccion-2017","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1146/dipticocisnedorado.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0965","$0.00","Juego de 6 Tazas CCD 2017","Finas tazas de porcelana importada","-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/juego-de-6-tazas-ccd-2017","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1111/Juego6tazas.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0966","$0.00","PLATO MEDIANO DE 6 PIEZAS CCD 2017","PLATO MEDIANO DE 6 PIEZAS CCD 2017","-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/plato-mediano-de-6-piezas-ccd-2017","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0976","$30.00","Cotton Pads (20 piezas)",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/cotton-pads-(20-piezas)","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1150/0976.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0979","$588.00","Repuesto Filtro Alkaline Pure",,"-","-","http://chemisette.com.mx/comercio/salud/alkaline-pure/producto/repuesto-filtro-alkaline-pure","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1166/0979.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1309/0979_1.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0980","$1,134.00","Filtros para jarra Alkaline Pure","Incluye los 2 Filtros de repuesto para la jarra Alkaline Pure","-","-","http://chemisette.com.mx/comercio/salud/alkaline-pure/producto/filtros-para-jarra-alkaline-pure","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1167/0980.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1310/0980_1.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0987","$0.00","Volante Jueves Dorado",,"-","-","http://chemisette.com.mx/comercio/paquetes/productos-individuales/producto/volante-jueves-dorado","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1387/FLYERWEB_GRANDE.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10022","$97.30","Tobimedia Polar Afelpada","Doble tejido polar, para olvidarte de las bajas temperaturas.","Unica","#000000","http://chemisette.com.mx/comercio/termico/medias/producto/tobimedia-polar-afelpada","https://chemisette-web.s3.amazonaws.com/uploads/color/image/809/10022_oi17.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10403","$265.30","Calceta Escolar","¡Para los días de clases! Calcetas para acompañar el uniforme escolar. Hipoalergénicas, delgadas, fáciles de lavar y secado rápido. Denier: 100","(de 6 a 10 años)
Unica","#ffffff","http://chemisette.com.mx/comercio/mas-lineas/ninos/producto/calceta-escolar","https://chemisette-web.s3.amazonaws.com/uploads/color/image/572/10403_80.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/86/10403_80_2.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10655","$125.30","Tobimedia Descanso Preventivo","Tobimedia hasta la rodilla que brinda una sensación de descanso a las piernas durante todo el día. Compresión media que trata los primeros signos de várices estimulando la circulación y oxigenación de la sangre. El uso diario de la tobimedia de descanso previene problemas de venas varicosas. Denier: 40.","Unica","#000000
#c8afa8
#ebc9c2","http://chemisette.com.mx/comercio/mas-lineas/varices-y-diabetes/producto/tobimedia-descanso-preventivo","https://chemisette-web.s3.amazonaws.com/uploads/color/image/88/10655.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/89/10655_88.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10679","$118.30","Tobimedia para pantalón Moena","¡Olvidate del frío! Agrega un detalle femenino a cualquier look. Tobimedias altas hasta la rodilla de elástico suave que se adhiere sin apretar. Suaves, cómodas y muy resistentes.","Unica","#000000","http://chemisette.com.mx/comercio/termico/medias/producto/tobimedia-para-pantalon-moena","https://chemisette-web.s3.amazonaws.com/uploads/color/image/787/10679_90.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10695","$125.30","Calcetín Compresión Media Descanso","Calcetines que brindan una sensación de descanso a las piernas durante todo el día. Compresión media que trata los primeros signos de várices estimulando la circulación y oxigenación de la sangre. El uso diario previene problemas de venas varicosas. Denier: 40.","Unica","#000000","http://chemisette.com.mx/comercio/mas-lineas/varices-y-diabetes/producto/calcetin-compresion-media-descanso","https://chemisette-web.s3.amazonaws.com/uploads/color/image/90/CALCETINCOMPRESIONMEDIA.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1229/CALCETINCOMPRESIONMEDIA_2.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10752","$118.30","Tobimedia para pantalón Sofia","¡Olvídate del frío! Agrega un detalle femenino a cualquier look. Tobimedias altas hasta la rodilla de elástico suave que se adhiere sin apretar. Suaves, cómodas y muy resistentes.","Unica","#000000","http://chemisette.com.mx/comercio/termico/medias/producto/tobimedia-para-pantalon-sofia","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1104/10752_oi172.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10755","$258.30","Media encaje","Toda la sensualidad y suavidad de la seda en fino encaje italiano. Un toque de coquetería y elegancia.","Unica","#000000","http://chemisette.com.mx/comercio/moda/medias-diseno/producto/media-encaje","https://chemisette-web.s3.amazonaws.com/uploads/color/image/92/10755_90.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11348","$371.00","Anti-celulitis Emana Bermuda","Nuevas fibras de alta tecnología especializada en combatir la celulitis. EMANA es una fibra que contiene cristales naturales bio-activos, que al contacto con la piel absorben el calor convirtiéndolo en rayos infrarrojos de onda larga, dando como resultado una mejor microcirculación, reduciendo la celulitis y estimulando la producción de colágeno en la piel. Reduce la celulitis, ayuda a mejorar la circulacion sanguínea y no disminuye efecto con lavados. Ideal para tipo de cuerpo Triángulo y reloj de arena. Compresión: Alta.","Mediana
Gde
E.Grande","#c8afa8","http://chemisette.com.mx/comercio/modelante/fajas/producto/anti_celulitis-emana-bermuda","https://chemisette-web.s3.amazonaws.com/uploads/color/image/97/11348_93_3.jpg","https://chemisette-web.s3.amazonaws.com/uploads/color/image/642/11348_93_2.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11427","$147.00","Pantymedia Cristal","Luce tus piernas también en invierno con un toque de coquetería y elegancia.","M/G","#000000","http://chemisette.com.mx/comercio/moda/medias-diseno/producto/pantymedia-cristal","https://chemisette-web.s3.amazonaws.com/uploads/color/image/98/11427_90.jpg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
