"Name","Description","Phone","Directions","Website","Email","Cuisines","Horarios","Feactures","Meals","GoodFor","Url"
"Trattoria Rita","The best Italian Restaurant in Santiago. Salads, pastas and pizzas. At the Boulevard Parque Arauco.","+56 2 2656 7014","Boulevard Parque Arauco | Boulevard Mall Parque Arauco, Avenida Presidente Kennedy 5413, Local 369, Las Condes, Santiago, Chile, Santiago 7550000, Chile","http://www.rita.cl/es/index.html","reservas@rita.cl","Italian, Pizza, Mediterranean, Vegetarian Friendly","Sunday  12:00 pm - 11:00 pm
Monday  12:00 pm - 12:00 am
Tuesday  12:00 pm - 12:00 am
Wednesday  12:00 pm - 12:00 am
Thursday  12:00 pm - 1:00 am
Friday  12:00 pm - 1:00 am
Saturday  12:00 pm - 1:00 am
","Serves Alcohol, Full Bar, Digital Payments, Free Wifi, Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Highchairs Available, Wheelchair Accessible, Wine and Beer","Lunch, Dinner, Breakfast, Late Night","Special occasions, Kids, Business meetings, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d3825177-Reviews-Trattoria_Rita-Santiago_Santiago_Metropolitan_Region.html"
"Ruca Bar","Ruca Bar will close for vacation for Christmas from 24 of December until 2 of January inclusive. We are very sorry for the inconvenience. Ruca Bar is a gourmet tapa's bar located in the heart of the up and coming Barrio Italia, with a distinct atmosphere. Focusing on elaborating local produce to deliver exquisite tapas, Ruca Bar merges both gourmet food with sophisticated drinks at a very affordable price, without ignoring the importance of excellent service. Just like its name indicates, our clients always feel at home.","+56 2 2706 0813","Avenida Condell 868 | Barrio Italia, Providencia, Santiago 7501186, Chile","http://rucabar.com/","info@rucabar.com","Bar, Mediterranean, European, Spanish, Pub, International, Vegetarian Friendly","Monday  6:00 pm - 1:00 am
Tuesday  6:00 pm - 1:00 am
Wednesday  6:00 pm - 1:00 am
Thursday  6:00 pm - 1:00 am
Friday  6:00 pm - 2:30 am
Saturday  6:00 pm - 2:30 am
","Outdoor Seating, Seating, Waitstaff, Street Parking, Television, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Reservations","Dinner, Late Night","Bar scene, Special occasions","https://www.tripadvisor.com/Restaurant_Review-g294305-d6838988-Reviews-Ruca_Bar-Santiago_Santiago_Metropolitan_Region.html"
"Ocean Pacific's",,"+56 9 6831 0750","Avenida Ricardo Cumming 221, Santiago 8340471, Chile","http://www.oceanpacifics.cl/","gerencia@oceanpacifics.cl","Seafood, Soups, Chilean, South American, International","Sunday  12:00 pm - 11:00 pm
Monday  12:00 pm - 11:30 pm
Tuesday  12:00 pm - 11:30 pm
Wednesday  12:00 pm - 11:30 pm
Thursday  12:00 pm - 11:30 pm
Friday  12:00 pm - 12:30 am
Saturday  12:00 pm - 12:30 am
","Takeout, Seating, Waitstaff, Parking Available, Street Parking, Validated Parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Reservations, Private Dining","Drinks, Lunch, Dinner, Late Night","Special occasions, Kids, Business meetings, Local cuisine, Families with children, Bar scene, Romantic, Large groups","https://www.tripadvisor.com/Restaurant_Review-g294305-d1006325-Reviews-Ocean_Pacific_s-Santiago_Santiago_Metropolitan_Region.html"
"Casaluz Restaurant",,"+56 2 2918 7204","Av Italia 805 | Barrio Italia, Santiago 8320000, Chile","http://www.casaluzrestaurant.cl/","reservas@casaluzrestaurant.cl","International, Vegetarian Friendly","Sunday  1:00 pm - 4:00 pm
Tuesday  1:00 pm - 4:00 pm / 7:15 pm - 12:00 am
Wednesday  1:00 pm - 4:00 pm / 7:15 pm - 12:00 am
Thursday  1:00 pm - 4:00 pm / 7:15 pm - 12:00 am
Friday  1:00 pm - 4:00 pm / 7:15 pm - 12:00 am
Saturday  1:00 pm - 4:00 pm / 7:15 pm - 12:00 am
","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Street Parking, Validated Parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only","Lunch, Dinner, Drinks, Late Night","Romantic, Bar scene, Local cuisine, Large groups, Special occasions, Business meetings, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d3215240-Reviews-Casaluz_Restaurant-Santiago_Santiago_Metropolitan_Region.html"
"La Perla del Pacifico","Exclusive seafood restaurant located at the Parque Arauco Mall Boulevard. The ideal place to share with friends and spend a relaxing afternoon.","+56 2 2656 7013","Av. Kennedy 5413 | Local 372-A, Santiago 7550000, Chile","http://www.laperladelpacifico.cl/","reservas@laperladelpacifico.cl","Seafood, Mediterranean, Chilean, South American, Vegetarian Friendly, Gluten Free Options","Sunday  12:00 pm - 12:00 am
Monday  12:00 pm - 12:00 am
Tuesday  12:00 pm - 12:00 am
Wednesday  12:00 pm - 12:00 am
Thursday  12:00 pm - 1:00 am
Friday  12:00 pm - 1:00 am
Saturday  12:00 pm - 1:00 am
","Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Highchairs Available","Lunch, Dinner","Bar scene, Families with children, Large groups, Local cuisine, Kids, Special occasions","https://www.tripadvisor.com/Restaurant_Review-g294305-d1582656-Reviews-La_Perla_del_Pacifico-Santiago_Santiago_Metropolitan_Region.html"
"Bao Bar",,"+56 2 3267 4334","Av. Manuel Montt 925 | Providencia, Santiago 7500000, Chile","https://www.facebook.com/baobarsantiago/?ref=page_internal","info@baobar.cl","International, Bar, European, Spanish, Vegetarian Friendly","Tuesday  12:30 pm - 3:30 pm / 6:00 pm - 1:00 am
Wednesday  12:30 pm - 3:30 pm / 6:00 pm - 1:00 am
Thursday  12:30 pm - 3:30 pm / 6:00 pm - 1:00 am
Friday  12:30 pm - 3:30 pm / 6:00 pm - 2:30 am
Saturday  12:30 pm - 2:30 am
","Reservations, Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Outdoor Seating, Waitstaff","Dinner, Lunch","Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d12346269-Reviews-Bao_Bar-Santiago_Santiago_Metropolitan_Region.html"
"Peluqueria Francesa",,"+56 2 2682 5243","Calle Compania de Jesus | 2799, Santiago, Chile","http://www.boulevardlavaud.cl/",,"French",,"Reservations, Private Dining, Seating, Waitstaff, Highchairs Available, Serves Alcohol, Full Bar","Lunch, Dinner, Late Night","Romantic, Business meetings, Families with children, Local cuisine, Special occasions","https://www.tripadvisor.com/Restaurant_Review-g294305-d6168359-Reviews-Peluqueria_Francesa-Santiago_Santiago_Metropolitan_Region.html"
"Le Due Torri",,"+56 2 2231 3427","Avenida Isidora Goyenechea 2908 | Santiago Centro, Santiago 8320000, Chile","https://www.facebook.com/Le-Due-Torri-1382757048442745/?rf=151647261569213",,"Italian, Seafood, Mediterranean, Vegetarian Friendly",,"Reservations, Outdoor Seating, Private Dining, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi","Lunch, Dinner, Breakfast, Late Night","Romantic, Kids, Large groups, Families with children, Business meetings, Special occasions","https://www.tripadvisor.com/Restaurant_Review-g294305-d1070545-Reviews-Le_Due_Torri-Santiago_Santiago_Metropolitan_Region.html"
"Sangucheria La Gloria",,"5698773623","Avenida Providencia 1315, Santiago 8320000, Chile","https://www.facebook.com/sangucheria.lagloria",,"Peruvian, Latin, Fast Food, South American",,"Takeout, Outdoor Seating, Seating, Waitstaff, Serves Alcohol","Lunch",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7076771-Reviews-Sangucheria_La_Gloria-Santiago_Santiago_Metropolitan_Region.html"
"Olan","Location We currently have two restaurant in Providencia: -Av. Condell # 200, Providencia. Not to be confused with the street Condell that comes after Rancagua If you travel by car from the East, go down Providencia, after Salvador there is access to Condell on the left. Once on Condell, the reference is Quebec with Condell. If you travel by car from the centre, go up the Alameda that becomes Providencia. You need to turn right into Condell. Once on Condell, the reference is Quebec with Condell. -Av. Seminario #67, providencia. If travelling by car from the West, take the street Francisco Bilbao and turn right into the street Seminario. If travelling by car from the center, take the street Diagonal Paraguay that turns into Rancagua. Cross ParqueBustamente and then turn left.","+56 2 2223 9342","Avenida Condell 200, Santiago 7500796, Chile","http://www.restaurantolan.com/home.php","reservas@restaurantolan.com","Peruvian, Latin, Seafood, South American, Vegetarian Friendly","Sunday  1:00 pm - 3:45 pm
Monday  1:00 pm - 11:45 pm
Tuesday  1:00 pm - 11:45 pm
Wednesday  1:00 pm - 11:45 pm
Thursday  1:00 pm - 11:45 pm
Friday  1:00 pm - 11:45 pm
Saturday  1:00 pm - 11:45 pm
","Takeout, Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Highchairs Available","Lunch, Dinner","Families with children, Kids, Business meetings, Special occasions, Large groups","https://www.tripadvisor.com/Restaurant_Review-g294305-d800101-Reviews-Olan-Santiago_Santiago_Metropolitan_Region.html"
"Zanzibar",,"+56 2 2218 0118","Monsenor Escriva De Balaguer 6400 | San JM Escriva de Balaguer, Santiago 6400, Chile","http://zanzibar.cl/","susanaschnell@zanzibar.cl","Moroccan, Mediterranean, Asian, Middle Eastern, Pakistani, Vegetarian Friendly",,"Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi","Lunch, Dinner, Breakfast, Late Night","Romantic, Large groups, Families with children, Business meetings, Bar scene, Special occasions","https://www.tripadvisor.com/Restaurant_Review-g294305-d777610-Reviews-Zanzibar-Santiago_Santiago_Metropolitan_Region.html"
"Rishtedar","An innovative and exotic place , intended for adult , highlighting the extraordinary traditional cuisine of the coast of India, with exclusive dishes, we are becoming one of the favorite sites of Asian food","+56 2 3204 0981","Vitacura 5461 | Vitacura, Santiago 7630182, Chile","http://www.rishtedar.com/","info@rishtedar.com","Indian, Asian, Vegetarian Friendly, Vegan Options","Sunday  12:00 pm - 3:30 pm
Monday  12:00 pm - 3:30 pm / 7:00 pm - 11:00 pm
Tuesday  12:00 pm - 3:30 pm / 7:00 pm - 11:00 pm
Wednesday  12:00 pm - 3:30 pm / 7:00 pm - 11:00 pm
Thursday  12:00 pm - 3:30 pm / 7:00 pm - 11:00 pm
Friday  12:00 pm - 3:30 pm / 7:00 pm - 11:00 pm
Saturday  12:00 pm - 3:30 pm / 7:00 pm - 11:00 pm
","Delivery, Takeout, Reservations, Seating, Waitstaff, Parking Available, Street Parking, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Accepts Discover","Lunch, Dinner","Business meetings, Kids, Families with children, Special occasions, Romantic, Large groups","https://www.tripadvisor.com/Restaurant_Review-g294305-d7755054-Reviews-Rishtedar-Santiago_Santiago_Metropolitan_Region.html"
"Fuente Mardoqueo",,"+56 2 2681 4211","Libertad 551 | entre Santo Domingo y Catedral, Santiago, Chile","http://www.fuentemardoqueo.cl/","gerencia@fuentemardoqueo.cl","Fast Food, Chilean","Sunday  12:00 pm - 11:00 pm
Monday  12:00 pm - 11:00 pm
Tuesday  12:00 pm - 11:00 pm
Wednesday  12:00 pm - 11:00 pm
Thursday  12:00 pm - 11:00 pm
Friday  12:00 pm - 11:00 pm
Saturday  12:00 pm - 11:00 pm
","Takeout, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol","Lunch, Dinner, Brunch, Late Night","Local cuisine, Families with children, Kids, Large groups","https://www.tripadvisor.com/Restaurant_Review-g294305-d3385704-Reviews-Fuente_Mardoqueo-Santiago_Santiago_Metropolitan_Region.html"
"Laminga","Tasty Chilean Food","+56 9 4243 8490","Constitucion 125 | Barrio Bellavista, Santiago 7530215, Chile","http://www.lamingabella.cl/","CONTACTO.LAMINGA@GMAIL.COM","Latin, Seafood, Chilean, Vegetarian Friendly","Sunday  1:00 pm - 5:00 pm
Tuesday  1:00 pm - 1:00 am
Wednesday  1:00 pm - 1:00 am
Thursday  1:00 pm - 1:00 am
Friday  1:00 pm - 1:00 am
Saturday  1:00 pm - 2:00 am
","Takeout, Outdoor Seating, Seating, Waitstaff, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Discover, Reservations","Lunch, Dinner","Romantic, Kids, Families with children, Bar scene, Local cuisine, Special occasions","https://www.tripadvisor.com/Restaurant_Review-g294305-d8145833-Reviews-Laminga-Santiago_Santiago_Metropolitan_Region.html"
"Ciudadano",,"+56 2 2248 9548","Seminario 400, Santiago 8320000, Chile","http://www.ciudadanorestaurant.cl/",,"Italian, Bar, Pizza, Pub, Vegetarian Friendly, Vegan Options","Monday  12:30 pm - 1:00 am
Tuesday  12:30 pm - 1:00 am
Wednesday  12:30 pm - 1:30 am
Thursday  12:30 pm - 2:00 am
Friday  12:30 pm - 3:00 am
Saturday  12:30 pm - 3:00 am
","Reservations, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi","Lunch, Dinner, Breakfast, Late Night, Drinks","Local cuisine, Large groups, Special occasions, Bar scene","https://www.tripadvisor.com/Restaurant_Review-g294305-d795569-Reviews-Ciudadano-Santiago_Santiago_Metropolitan_Region.html"
"Puerto Bellavista","Puerto Bellavista, especializado en pescados y mariscos con preparaciones chilenas, rememora los puertos de Chile que se ven plasmados en su decoracion, ambiente, y por supuesto en cada uno de sus platos. En su carta encontraras platos como �Merluza a la lata con mariscos y verduras� que es parte de nuestra Tradicion de Caleta, �Ostiones y Pinzas de Jaiba, sobre papas nativas con mote y cebollin� de las Aventuras del Capitan, o un �Jardin de Mariscos� de nuestras Joyas del Puerto. Los invitamos a adentrarse en el puerto y vivir la esencia del mar que nos rodea de norte a sur, con la picardia y sensualidad del marisco, y el esfuerzo y tenacidad del pescador; platos con tradicion que te despertaran tus sentidos y te llevaran al hogar de los amantes del mar.","+56 2 2656 7015","Pio Nono 77 | Patio Bellavista, Constitucin 30-70, Providencia, Santiago 7530280, Chile","http://www.puertobellavista.cl/","reservas@puertobellavista.cl","Seafood, Latin, Chilean, South American","Sunday  12:00 pm - 12:00 am
Monday  12:00 pm - 12:00 am
Tuesday  12:00 pm - 12:00 am
Wednesday  12:00 pm - 1:00 am
Thursday  12:00 pm - 2:00 am
Friday  12:00 pm - 2:00 am
Saturday  12:00 pm - 2:00 am
","Reservations, Outdoor Seating, Seating, Waitstaff, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Highchairs Available","Lunch, Dinner","Bar scene, Large groups, Romantic, Special occasions, Kids, Local cuisine, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d8279583-Reviews-Puerto_Bellavista-Santiago_Santiago_Metropolitan_Region.html"
"Mulato",,"+56 2 2638 4931","Jose Victorino Lastarria 307 | Jose Victorino Lastarria 307, Santiago 8320126, Chile","http://www.mulato.cl/","reservas@mulato.cl","Latin, Seafood, Chilean, South American, Vegetarian Friendly","Sunday  9:00 am - 8:00 pm
Monday  8:30 am - 12:00 am
Tuesday  8:30 am - 12:00 am
Wednesday  8:30 am - 12:00 am
Thursday  8:30 am - 12:30 am
Friday  8:30 am - 12:30 am
Saturday  8:30 am - 12:30 am
","Reservations, Outdoor Seating, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi","Lunch, Dinner, Breakfast, Late Night, Drinks","Local cuisine, Special occasions, Families with children, Bar scene, Business meetings, Romantic","https://www.tripadvisor.com/Restaurant_Review-g294305-d4163799-Reviews-Mulato-Santiago_Santiago_Metropolitan_Region.html"
"Carrer Nou",,"+56 2 2727 1161","Jose Miguel Claro 1802 | Providencia, Santiago, Chile","http://www.carrernou.cl/",,"Mediterranean, European, Spanish","Monday  1:00 pm - 3:30 pm / 7:00 pm - 12:00 am
Tuesday  1:00 pm - 3:30 pm / 7:00 pm - 12:00 am
Wednesday  1:00 pm - 3:30 pm / 7:00 pm - 12:00 am
Thursday  1:00 pm - 3:30 pm / 7:00 pm - 12:00 am
Friday  1:00 pm - 3:30 pm / 7:00 pm - 12:00 am
Saturday  7:00 pm - 12:00 am
","Reservations, Outdoor Seating, Seating, Waitstaff, Serves Alcohol","Lunch, Dinner, Late Night","Special occasions, Large groups, Bar scene, Families with children, Romantic","https://www.tripadvisor.com/Restaurant_Review-g294305-d3547430-Reviews-Carrer_Nou-Santiago_Santiago_Metropolitan_Region.html"
"Domino",,"+56 2 2963 7601","Paseo Ahumada 146, Santiago 8320248, Chile","http://www.domino.cl/inicio.html","clientes@domino.cl","Chilean","Monday  8:00 am - 9:30 pm
Tuesday  8:00 am - 9:30 pm
Wednesday  8:00 am - 9:30 pm
Thursday  8:00 am - 9:30 pm
Friday  8:00 am - 9:30 pm
Saturday  11:00 am - 4:30 pm
","Takeout, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Wine and Beer","Lunch, Brunch, Late Night","Kids, Local cuisine, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d1127914-Reviews-Domino-Santiago_Santiago_Metropolitan_Region.html"
"Golfo Di Napoli",,"+56 2 2341 3675","Duble Almeyda 2435 | a Pasos de Pedro de Valdivia, Santiago, Chile","http://www.golfodinapoli.cl/",,"Italian, Pizza, Vegetarian Friendly","Tuesday  12:00 pm - 12:00 am
Wednesday  12:00 pm - 12:00 am
Thursday  12:00 pm - 12:00 am
Friday  12:00 pm - 12:00 am
Saturday  12:00 pm - 12:00 am
","Takeout, Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol","Lunch, Dinner, Breakfast, Late Night","Large groups, Kids, Special occasions, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d790173-Reviews-Golfo_Di_Napoli-Santiago_Santiago_Metropolitan_Region.html"
